Concept,Image Link
Sabiá-laranjeira (https://en.wikipedia.org/wiki/Rufous-bellied_thrush),https://images.app.goo.gl/hUX2rqZ6wHh1KuoH8
Green-headed tanager (https://en.wikipedia.org/wiki/Green-headed_tanager),https://images.app.goo.gl/WDd5iApfaW8xoqUF7
Great kiskadee (https://en.wikipedia.org/wiki/Great_kiskadee),https://images.app.goo.gl/2ZMH3uJSC5GEWvWA6
Arara (https://pt.wikipedia.org/wiki/Arara),https://images.app.goo.gl/j8pC9m8Q17nH1GBM7
Tucano (https://pt.wikipedia.org/wiki/Tucano) ,https://images.app.goo.gl/KHsMPwYg2wQ5ZmsE7
Capybara (https://en.wikipedia.org/wiki/Capybara),https://images.app.goo.gl/ELZY7UxsMWvPngaB8
Jaguar (https://en.wikipedia.org/wiki/Jaguar),https://images.app.goo.gl/RgpAXpY5C3tzBdLJ6
Maned wolf (https://en.wikipedia.org/wiki/Maned_wolf),https://images.app.goo.gl/YzJaoiPbjw4sTRNc7
Giant anteater (https://en.wikipedia.org/wiki/Giant_anteater),https://images.app.goo.gl/3Q9bifdba3Y4akKw9
Capivara (https://pt.wikipedia.org/wiki/Capivara),https://images.app.goo.gl/FhkfSrmbQmfysPCU6
Coxinha (https://en.wikipedia.org/wiki/Coxinha),https://images.app.goo.gl/pc8Qzfo5nd5CbMiP7
Feijoada (https://en.wikipedia.org/wiki/Feijoada),https://images.app.goo.gl/D1e45FSpLUoeztsT8
Brigadeiro (https://en.wikipedia.org/wiki/Brigadeiro),https://images.app.goo.gl/5nbULwQpWDUQtQKLA
Pão de queijo (https://en.wikipedia.org/wiki/P%C3%A3o_de_queijo),https://images.app.goo.gl/wajnM9kE2vW7woCv7
Churrasco (https://en.wikipedia.org/wiki/Churrasco),https://images.app.goo.gl/AjCMunhEVuapXGJk9
Caipirinha (https://en.wikipedia.org/wiki/Caipirinha),https://images.app.goo.gl/fX4XN2oNJZSRASHW9
Mate (https://en.wikipedia.org/wiki/Mate_(drink)),https://images.app.goo.gl/15S3jwKUs7fjThZa6
Cachaça (https://en.wikipedia.org/wiki/Cachaça),https://images.app.goo.gl/LwZGEQGzKeXFzq357
Coconut water (https://en.wikipedia.org/wiki/Coconut_water),https://images.app.goo.gl/WEXydtf439Jo4cTC6
Sugarcane juice (https://en.wikipedia.org/wiki/Sugarcane_juice),https://images.app.goo.gl/eYSxft9q8zCF4xhY7
Havaianas (https://en.wikipedia.org/wiki/Havaianas),https://images.app.goo.gl/9LNNCDz6sS34WKwj8
Bikini (https://en.wikipedia.org/wiki/Bikini),https://images.app.goo.gl/xReUJVN78BGaRkqW7
Sleeveless shirt (https://en.wikipedia.org/wiki/Sleeveless_shirt),https://images.app.goo.gl/xamp98tpEmW21w7r9
Shorts (https://en.wikipedia.org/wiki/Shorts),https://images.app.goo.gl/3oZd1C9i4FawLWXXA
Flip-flops (https://en.wikipedia.org/wiki/Flip-flops),https://images.app.goo.gl/HamJQ8h2mMNpPvBTA
Favela (https://en.wikipedia.org/wiki/Favela),https://images.app.goo.gl/wMkkWQMvcrzNU6iq6
Colonial architecture of Brazil (https://en.wikipedia.org/wiki/Colonial_architecture_of_Brazil),https://images.app.goo.gl/iqjUV9FNZ9RWQxR16
Sobrado (https://en.wikipedia.org/wiki/Sobrado),https://images.app.goo.gl/WpCVSJaXM8dCNc9U9
Palafita (https://pt.wikipedia.org/wiki/Palafita),https://images.app.goo.gl/YfpodAATVogvTTBV9
Casas Bahia (https://en.wikipedia.org/wiki/Casas_Bahia),https://images.app.goo.gl/KRSUP6SRQWSKWmKo8
Handroanthus (https://en.wikipedia.org/wiki/Handroanthus),https://images.app.goo.gl/kaWanyvn3AFL4fnM9
Cattleya (https://en.wikipedia.org/wiki/Cattleya),https://images.app.goo.gl/EVLHYomLDUkPHc629
Heliconia (https://en.wikipedia.org/wiki/Heliconia),https://images.app.goo.gl/aWcxSSL5X6Ymhobp6
Bromelia (https://en.wikipedia.org/wiki/Bromelia),https://images.app.goo.gl/s6vYpH961EdJEB4R9
Jacaranda (https://en.wikipedia.org/wiki/Jacaranda),https://images.app.goo.gl/nn6iokZhP5Jmznu66
Guava (https://en.wikipedia.org/wiki/Guava),https://images.app.goo.gl/jgnGvuzyT5T4zU7S6
Jabuticaba (https://en.wikipedia.org/wiki/Jabuticaba),https://images.app.goo.gl/Xo2BtgEzbx1jguV8A
Papaya (https://en.wikipedia.org/wiki/Papaya),https://images.app.goo.gl/TjjCCRHDThvcmZsP7
