Concept,Image Link
Crane (https://en.wikipedia.org/wiki/Crane_(bird)),https://en.wikipedia.org/wiki/Crane_(bird)#/media/File:Double_Trouble_(4919788838).jpg
Japanese bush warbler (https://en.wikipedia.org/wiki/Japanese_bush_warbler),https://en.wikipedia.org/wiki/Japanese_bush_warbler#/media/File:Cettia_diphone_(crying).JPG
House sparrow (https://en.wikipedia.org/wiki/House_sparrow),https://en.wikipedia.org/wiki/House_sparrow#/media/File:House_sparrow_male_in_Prospect_Park_(53532).jpg
Crow (https://en.wikipedia.org/wiki/Crow),"https://en.wikipedia.org/wiki/Crow#/media/File:Corvus_corone_-near_Canford_Cliffs,_Poole,_England-8.jpg"
Kiji (https://en.wikipedia.org/wiki/Green_pheasant),https://en.wikipedia.org/wiki/Green_pheasant#/media/File:Phasianus_versicolor_in_Japan.JPG
Japanese macaque (https://en.wikipedia.org/wiki/Japanese_macaque),https://en.wikipedia.org/wiki/Japanese_macaque#/media/File:Japanese_Snow_Monkey_(Macaque)_Mother_Grooms_Her_Young.jpg
Japanese serow (https://en.wikipedia.org/wiki/Japanese_serow),https://en.wikipedia.org/wiki/Japanese_serow#/media/File:Nihonkamoshika-akita.JPG
Yezo sika deer (https://en.wikipedia.org/wiki/Yezo_sika_deer),https://en.wikipedia.org/wiki/Yezo_sika_deer#/media/File:C.n.yesoensis--modified.jpg
Ezo red fox (https://en.wikipedia.org/wiki/Ezo_red_fox),https://en.wikipedia.org/wiki/Ezo_red_fox#/media/File:Vulpes_vulpes_laying_in_snow.jpg
Common raccoon dog (https://en.wikipedia.org/wiki/Common_raccoon_dog),https://en.wikipedia.org/wiki/Common_raccoon_dog#/media/File:%D0%84%D0%BD%D0%BE%D1%82%D0%BE%D0%B2%D0%B8%D0%B4%D0%BD%D0%B8%D0%B9_%D1%81%D0%BE%D0%B1%D0%B0%D0%BA%D0%B0_(Nyctereutes_procyonoides).jpg
Sushi (https://en.wikipedia.org/wiki/Sushi),https://en.wikipedia.org/wiki/Sushi#/media/File:Sushi_platter.jpg
Ramen (https://en.wikipedia.org/wiki/Ramen),"https://en.wikipedia.org/wiki/Ramen#/media/File:Shoyu_ramen,_at_Kasukabe_Station_(2014.05.05)_1.jpg"
Tempura (https://en.wikipedia.org/wiki/Tempura),https://en.wikipedia.org/wiki/Tempura#/media/File:%E3%81%A4%E3%81%AA%E5%85%AB_%E7%9B%9B%E3%82%8A%E4%BB%98%E3%81%91_(25086067202).jpg
Miso soup (https://en.wikipedia.org/wiki/Miso_soup),https://en.wikipedia.org/wiki/Miso_soup#/media/File:Miso_Soup_001.jpg
Mochi (https://en.wikipedia.org/wiki/Mochi),https://en.wikipedia.org/wiki/Mochi#/media/File:Rice_Cake.jpg
Sake (https://en.wikipedia.org/wiki/Sake),https://en.wikipedia.org/wiki/Sake#/media/File:Sake_set.jpg
Calpis (https://en.wikipedia.org/wiki/Calpis),https://en.wikipedia.org/wiki/Calpis#/media/File:Calpis_karupisu.JPG
Matcha (https://en.wikipedia.org/wiki/Matcha),https://en.wikipedia.org/wiki/Matcha#/media/File:Matcha_(6328677556).jpg
Yakult (https://en.wikipedia.org/wiki/Yakult),https://en.wikipedia.org/wiki/Yakult#/media/File:Yakult_drink.jpg
Barley tea (https://en.wikipedia.org/wiki/Barley_tea),https://en.wikipedia.org/wiki/Barley_tea#/media/File:Boricha_(barley_tea).jpg
Kimono (https://en.wikipedia.org/wiki/Kimono),https://en.wikipedia.org/wiki/Kimono#/media/File:Young_Woman_at_Kennin-ji_Zen_Temple_-_Kyoto_-_Japan_-_01_(47929418887).jpg
Yukata (https://en.wikipedia.org/wiki/Yukata),https://en.wikipedia.org/wiki/Yukata#/media/File:A_Japanese_lady_wearing_a_Yukata.jpg
Tabi (https://en.wikipedia.org/wiki/Tabi),https://en.wikipedia.org/wiki/Tabi#/media/File:Gyoda_Tabi_2020-11_ac_(1).jpg
Hakama (https://en.wikipedia.org/wiki/Hakama),https://en.wikipedia.org/wiki/Hakama#/media/File:Hihakama.JPG
Hanten (https://en.wikipedia.org/wiki/Hanten),https://en.wikipedia.org/wiki/Hanten#/media/File:Hanten-red-2009.jpg
