Concept,Image Link
Owl (https://en.wikipedia.org/wiki/Owl),https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Portrait_of_owls.jpg/800px-Portrait_of_owls.jpg
Ostrich (https://en.wikipedia.org/wiki/Ostrich),https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Struthio_Diversity.jpg/1024px-Struthio_Diversity.jpg
Duck (https://en.wikipedia.org/wiki/Duck),https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Bucephala-albeola-010.jpg/800px-Bucephala-albeola-010.jpg
Guineafowl (https://en.wikipedia.org/wiki/Guineafowl),https://upload.wikimedia.org/wikipedia/commons/a/af/Numida_meleagris_-Serengeti_National_Park%2C_Tanzania-8_%281%29.jpg
Eagle (https://en.wikipedia.org/wiki/Eagle),https://upload.wikimedia.org/wikipedia/commons/6/60/Eagles_together.jpg
Aardvark (https://en.wikipedia.org/wiki/Aardvark),https://upload.wikimedia.org/wikipedia/commons/f/f0/Orycteropus_afer_175359469.jpg
Bat (https://en.wikipedia.org/wiki/Bat),https://upload.wikimedia.org/wikipedia/commons/4/41/Desmo-Flug-01.jpg
Chimpanzee (https://en.wikipedia.org/wiki/Chimpanzee),https://upload.wikimedia.org/wikipedia/commons/4/42/015_Chimpanzee_at_Kibale_forest_National_Park_Photo_by_Giles_Laurent.jpg
African forest elephant (https://en.wikipedia.org/wiki/African_forest_elephant),https://upload.wikimedia.org/wikipedia/commons/f/f3/Loxodontacyclotis.jpg
Greater cane rat (https://en.wikipedia.org/wiki/Greater_cane_rat),https://upload.wikimedia.org/wikipedia/commons/c/cb/Thryonomys_swinderianus1.jpeg
Jollof rice (https://en.wikipedia.org/wiki/Jollof_rice),https://upload.wikimedia.org/wikipedia/commons/0/0a/Jollof_Rice_with_Stew.jpg
Akara (https://en.wikipedia.org/wiki/Akara),https://upload.wikimedia.org/wikipedia/commons/a/a4/Acaraje-Baiana.jpg
Egusi (https://en.wikipedia.org/wiki/Egusi),https://upload.wikimedia.org/wikipedia/commons/d/d0/EGUSI.JPG
Efo riro (https://en.wikipedia.org/wiki/Efo_riro),https://upload.wikimedia.org/wikipedia/commons/9/94/Efo-Riro_%287370530836%29_%28cropped%29.jpg
Pounded yam (https://en.wikipedia.org/wiki/Pounded_yam),https://upload.wikimedia.org/wikipedia/commons/c/ca/Iyan_%26_Efo-Riro_%287370530836%29.jpg
Roselle juice (https://en.wikipedia.org/wiki/Roselle_juice),https://upload.wikimedia.org/wikipedia/commons/0/07/Sobolo.jpg
Palm wine (https://en.wikipedia.org/wiki/Palm_wine),https://upload.wikimedia.org/wikipedia/commons/e/e7/Toddy_Bottle_and_Glass.jpg
Kunu (https://en.wikipedia.org/wiki/Kunu),https://guardian.ng/wp-content/uploads/2018/11/Kunu-Photo-credit-The-Cable.png
Zobo (https://en.wikipedia.org/wiki/Zobo),https://proveg.com/ng/wp-content/uploads/sites/12/2023/09/Zobo-drink-scaled-e1696244205636-1013x1024.jpg
Chapman (https://en.wikipedia.org/wiki/Chapman_(drink)),https://jehancancook.com/wp-content/uploads/2018/08/chapman-3-1440x1474.jpg
Agbada (https://en.wikipedia.org/wiki/Agbada),https://upload.wikimedia.org/wikipedia/commons/c/c7/A_Yoruba_man_garbed_in_traditional_clothing_%282%29.png
Isiagu (https://en.wikipedia.org/wiki/Isiagu),https://upload.wikimedia.org/wikipedia/commons/8/80/Igbo_hat_and_Isiagu.jpg
Wrapper (https://en.wikipedia.org/wiki/Wrapper_(clothing)),https://upload.wikimedia.org/wikipedia/commons/2/24/Nigerian_women.jpg
Aso oke (https://en.wikipedia.org/wiki/Aso_oke),https://upload.wikimedia.org/wikipedia/commons/7/76/African_Lace_VLM_02.jpg
Boubou (https://en.wikipedia.org/wiki/Boubou_(clothing)),https://upload.wikimedia.org/wikipedia/commons/b/b9/Mamadou_Tandja_2005.jpg
Aso Villa (https://en.wikipedia.org/wiki/Aso_Villa),https://upload.wikimedia.org/wikipedia/commons/8/85/Olusegun_Obasanjo_with_Laura_Bush_January_18%2C_2006.jpg
Koutammakou (https://en.wikipedia.org/wiki/Koutammakou),https://upload.wikimedia.org/wikipedia/commons/6/65/Togo_Taberma_house_02.jpg
Duplex (https://en.wikipedia.org/wiki/Duplex),https://i.pinimg.com/564x/1a/16/2c/1a162ca2f756d8417c6e8cc977bc7fbc.jpg
Igbo architecture (https://en.wikipedia.org/wiki/Igbo_architecture),https://upload.wikimedia.org/wikipedia/commons/b/b6/Ekpe_%28leopard_society%29_meeting_house.jpg
Yoruba architecture (https://en.wikipedia.org/wiki/Yoruba_architecture),https://upload.wikimedia.org/wikipedia/commons/c/c6/The_Old_Palace_Of_The_Deji_Of_Akure_5.jpg
Aloe vera (https://en.wikipedia.org/wiki/Aloe_vera),https://upload.wikimedia.org/wikipedia/commons/4/4b/Aloe_vera_flower_inset.png
Hibiscus (https://en.wikipedia.org/wiki/Hibiscus),https://upload.wikimedia.org/wikipedia/commons/c/cb/Hibiscus_flower_TZ.jpg
Orchid (https://en.wikipedia.org/wiki/Orchid),https://upload.wikimedia.org/wikipedia/commons/2/2a/White_orchid_in_Clara_bog._03.jpg
Ixora (https://en.wikipedia.org/wiki/Ixora),https://upload.wikimedia.org/wikipedia/commons/7/7a/Red_ixora.jpg
Royal poinciana (https://en.wikipedia.org/wiki/Royal_poinciana),https://upload.wikimedia.org/wikipedia/commons/8/87/Royal_Poinciana.jpg
Mango (https://en.wikipedia.org/wiki/Mango),https://upload.wikimedia.org/wikipedia/commons/7/74/Mangos_-_single_and_halved.jpg
Papaya (https://en.wikipedia.org/wiki/Papaya),https://upload.wikimedia.org/wikipedia/commons/8/84/Carica_papaya_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-029.jpg
Pineapple (https://en.wikipedia.org/wiki/Pineapple),https://upload.wikimedia.org/wikipedia/commons/7/74/%E0%B4%95%E0%B5%88%E0%B4%A4%E0%B4%9A%E0%B5%8D%E0%B4%9A%E0%B4%95%E0%B5%8D%E0%B4%95.jpg
Banana (https://en.wikipedia.org/wiki/Banana),https://upload.wikimedia.org/wikipedia/commons/d/de/Bananavarieties.jpg
Guava (https://en.wikipedia.org/wiki/Guava),https://upload.wikimedia.org/wikipedia/commons/0/02/Guava_ID.jpg
Okra (https://en.wikipedia.org/wiki/Okra),https://upload.wikimedia.org/wikipedia/commons/9/95/Hong_Kong_Okra_Aug_25_2012.JPG
Vernonia amygdalina (https://en.wikipedia.org/wiki/Vernonia_amygdalina),https://upload.wikimedia.org/wikipedia/commons/d/d4/Vernonia_amygdalina_06.jpg
Telfairia occidentalis (https://en.wikipedia.org/wiki/Telfairia_occidentalis),https://upload.wikimedia.org/wikipedia/commons/5/51/Telfairia_occidentalis.jpg
Carrot (https://en.wikipedia.org/wiki/Carrot),https://upload.wikimedia.org/wikipedia/commons/a/a2/Vegetable-Carrot-Bundle-wStalks.jpg
Coriander (https://en.wikipedia.org/wiki/coriander),https://upload.wikimedia.org/wikipedia/commons/1/13/Coriandrum_sativum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-193.jpg
Maize Field (https://en.wikipedia.org/wiki/Maize),https://upload.wikimedia.org/wikipedia/commons/e/e3/Zea_mays_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-283.jpg
Cassava Plantation (https://en.wikipedia.org/wiki/Cassava),https://upload.wikimedia.org/wikipedia/commons/f/f1/Manihot_esculenta_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-090.jpg
Cocoa Plantation (https://en.wikipedia.org/wiki/Cocoa),https://d2jx2rerrg6sh3.cloudfront.net/image-handler/ts/20220107111224/ri/750/src/images/Article_Images/ImageForArticle_21829_16415719441098916.jpg
"Sugarcane Plantation
(https://en.wikipedia.org/wiki/Sugarcane)",https://upload.wikimedia.org/wikipedia/commons/7/74/Saccharum_officinarum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-125.jpg
Palm oil (https://en.wikipedia.org/wiki/Palm_oil),https://content.health.harvard.edu/wp-content/uploads/2021/08/723f36e0-71b8-4bcc-8c0b-9d0ddfd009cc.jpg
Mortar and pestle (https://en.wikipedia.org/wiki/Mortar_and_pestle),https://upload.wikimedia.org/wikipedia/commons/a/af/White-Mortar-and-Pestle.jpg
Wooden spoon (https://en.wikipedia.org/wiki/Wooden_spoon),https://upload.wikimedia.org/wikipedia/commons/a/a3/Cuiller_en_bois_-_%C3%A9chelle.jpg
Cutting board (https://en.wikipedia.org/wiki/Cutting_board),https://upload.wikimedia.org/wikipedia/commons/7/74/Chopping_Board.jpg
Knife (https://en.wikipedia.org/wiki/Knife),https://upload.wikimedia.org/wikipedia/commons/3/33/Damascus_Bowie.jpg
Meat grinder (https://en.wikipedia.org/wiki/Meat_grinder),https://upload.wikimedia.org/wikipedia/commons/5/54/22_HFG.jpg
Football (https://en.wikipedia.org/wiki/Football),https://upload.wikimedia.org/wikipedia/commons/4/42/Football_in_Bloomington%2C_Indiana%2C_1995.jpg
Basketball (https://en.wikipedia.org/wiki/Basketball),https://upload.wikimedia.org/wikipedia/commons/7/73/Chicago_Bulls_and_New_Jersey_Nets%2C_March_28%2C_1991.jpg
Boxing (https://en.wikipedia.org/wiki/Boxing),https://upload.wikimedia.org/wikipedia/commons/2/2a/Boxing_Tournament_in_Aid_of_King_George%27s_Fund_For_Sailors_at_the_Royal_Naval_Air_Station%2C_Henstridge%2C_Somerset%2C_July_1945_A29806.jpg
Volleyball (https://en.wikipedia.org/wiki/Volleyball),https://upload.wikimedia.org/wikipedia/commons/b/bf/Algeria_and_Japan_women%27s_national_volleyball_team_at_the_2012_Summer_Olympics_%287913959028%29.jpg
Badminton (https://en.wikipedia.org/wiki/Badminton),https://upload.wikimedia.org/wikipedia/commons/f/fd/Olympics_2012_Mixed_Doubles_Final.jpg
New Yam Festival of the Igbo (https://en.wikipedia.org/wiki/New_Yam_Festival_of_the_Igbo),https://upload.wikimedia.org/wikipedia/commons/6/69/NewYam-IgboFestival-Dublin.jpg
Osun-Osogbo (https://en.wikipedia.org/wiki/Osun-Osogbo),https://upload.wikimedia.org/wikipedia/commons/1/1a/First_Palace_in_Osogbo_Inside_Osun_Sacred_Grove_forest.jpg
Calabar Carnival (https://en.wikipedia.org/wiki/Calabar_Carnival),https://upload.wikimedia.org/wikipedia/commons/6/69/Calabar_carnival_Dec_2016...3.jpg
Eyo festival (https://en.wikipedia.org/wiki/Eyo_festival),https://upload.wikimedia.org/wikipedia/commons/8/81/CrouchingEyo.jpg
Christmas (https://en.wikipedia.org/wiki/Christmas),https://upload.wikimedia.org/wikipedia/commons/8/8f/NativityChristmasLights2.jpg
Igbo apprentice system (https://en.wikipedia.org/wiki/Igbo_apprentice_system),https://terraskills.com/wp-content/uploads/2021/02/TLS_Apprenticeship-1160x560.jpg
Diploma (https://en.wikipedia.org/wiki/diploma),https://upload.wikimedia.org/wikipedia/commons/b/b7/SheepskinDiploma.jpg
Primary school (https://en.wikipedia.org/wiki/Primary_school),https://upload.wikimedia.org/wikipedia/commons/e/ea/Head%2C_Shoulders%2C_Knees_and_Toes.jpg
University of Abuja (https://en.wikipedia.org/wiki/University_of_Abuja),https://upload.wikimedia.org/wikipedia/commons/7/79/UniAbuja.Entrance_Gate_MG_0137.jpg
University of Port Harcourt (https://en.wikipedia.org/wiki/University_of_Port_Harcourt),https://upload.wikimedia.org/wikipedia/commons/1/18/Uniport._01.jpg
Afrobeat (https://en.wikipedia.org/wiki/Afrobeat),https://upload.wikimedia.org/wikipedia/commons/1/13/Sean_Kuti_%26_Egypt_80_at_NH7_Weekender.jpg
Highlife (https://en.wikipedia.org/wiki/Highlife),https://upload.wikimedia.org/wikipedia/commons/5/57/Amakye_Dede_%28Iron_Boy%29.jpg
Jazz (https://en.wikipedia.org/wiki/Jazz),https://cdn.britannica.com/27/125427-050-28FB4BA8/Louis-Armstrong-1953.jpg
hip hop (https://en.wikipedia.org/wiki/hip hop),https://www.rollingstone.com/wp-content/uploads/2018/06/rs_lead_hiphop-bdc1102b-e54c-4437-be42-2ceee107e42b.jpg?w=1410&h=788&crop=1
Reggae (https://en.wikipedia.org/wiki/Reggae),https://upload.wikimedia.org/wikipedia/commons/5/5e/Bob-Marley.jpg
Wood carving (https://en.wikipedia.org/wiki/Wood_carving),https://upload.wikimedia.org/wikipedia/commons/f/f4/Patrick-damiaens-1323207754.jpg
Bronze Work (https://en.wikipedia.org/wiki/Bronze_Work),https://upload.wikimedia.org/wikipedia/commons/e/e4/Statue_of_a_Victorious_Youth%2C_front_-_Getty_Museum_%2877.AB.30%29.jpg
Igbo art (https://en.wikipedia.org/wiki/Igbo_art),https://upload.wikimedia.org/wikipedia/commons/3/3d/Complex_sculpture_Nigeria_BM_Af1954_23_522_img02.jpg
Glass art (https://en.wikipedia.org/wiki/Glass_art),https://upload.wikimedia.org/wikipedia/commons/3/3e/Emona_trgovina_in_obrt_%281%29a.jpg
