Concept,Image Link
Common blackbird (https://en.wikipedia.org/wiki/Common_blackbird),https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Common_blackbird_%28Turdus_merula%29_male%2C_young_adult.jpg/1920px-Common_blackbird_%28Turdus_merula%29_male%2C_young_adult.jpg
Gull (https://en.wikipedia.org/wiki/Gull),https://upload.wikimedia.org/wikipedia/commons/6/6a/23-Gaivota_Romana.jpg
Rock dove (https://en.wikipedia.org/wiki/Rock_dove),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Columba_livia_Baltasound_Shetland_1.jpg/330px-Columba_livia_Baltasound_Shetland_1.jpg
Melro-preto (https://pt.wikipedia.org/wiki/Melro-preto),https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Turdus_merula_-Gran_Canaria%2C_Canary_Islands%2C_Spain-8_%282%29.jpg/420px-Turdus_merula_-Gran_Canaria%2C_Canary_Islands%2C_Spain-8_%282%29.jpg
Gaivota (https://pt.wikipedia.org/wiki/Gaivota),https://upload.wikimedia.org/wikipedia/commons/6/6a/23-Gaivota_Romana.jpg
Iberian lynx (https://en.wikipedia.org/wiki/Iberian_lynx),https://upload.wikimedia.org/wikipedia/commons/5/54/Lince_ib%C3%A9rico_%28Lynx_pardinus%29%2C_Almuradiel%2C_Ciudad_Real%2C_Espa%C3%B1a%2C_2021-12-19%2C_DD_03.jpg
Wild boar (https://en.wikipedia.org/wiki/Wild_boar),https://s3.animalia.bio/animals/photos/full/original/1620px-hardehausen-2017-07-23-wildschweine-02jpg.webp
Red squirrel (https://en.wikipedia.org/wiki/Red_squirrel),https://s3.animalia.bio/animals/photos/full/original/V0y6nlLIFaiJoFNgmGiE.webp
Lince-ibérico (https://pt.wikipedia.org/wiki/Lince-ib%C3%A9rico),https://upload.wikimedia.org/wikipedia/commons/5/54/Lince_ib%C3%A9rico_%28Lynx_pardinus%29%2C_Almuradiel%2C_Ciudad_Real%2C_Espa%C3%B1a%2C_2021-12-19%2C_DD_03.jpg
Porco (https://pt.wikipedia.org/wiki/Porco),https://s3.animalia.bio/animals/photos/full/original/pig.webp
Francesinha (https://en.wikipedia.org/wiki/Francesinha),https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/A_Francesinha_%285401346513%29.jpg/1280px-A_Francesinha_%285401346513%29.jpg
Pastel de nata (https://en.wikipedia.org/wiki/Pastel_de_nata),https://upload.wikimedia.org/wikipedia/commons/9/97/Pasteis_de_Nata.jpg
Bacalhau (https://en.wikipedia.org/wiki/Bacalhau),https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Klippfisk.jpg/330px-Klippfisk.jpg
Cozido à portuguesa (https://en.wikipedia.org/wiki/Cozido_%C3%A0_portuguesa),https://feed.continente.pt/media/503psoft/cozido-a-portuguesa.jpg?anchor=center&mode=crop&width=826&height=620&rnd=133541106345870000&format=webp
Bifana (https://en.wikipedia.org/wiki/Bifana),https://i.pinimg.com/736x/2b/89/22/2b89220682e793aa1a3ea1fe399af273.jpg
Poncha (https://en.wikipedia.org/wiki/Poncha),https://live.staticflickr.com/3433/3385713795_530178a4f7_b.jpg
Vinho Verde (https://en.wikipedia.org/wiki/Vinho_Verde),https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Vinho_verde_rose.jpg/330px-Vinho_verde_rose.jpg
Sagres (beer) (https://en.wikipedia.org/wiki/Sagres_(beer)),https://myboozi.co.uk/wp-content/uploads/2020/08/sagres.jpg
Port wine (https://en.wikipedia.org/wiki/Port_wine),https://zahil.com.br/wp-content/uploads/2023/11/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvbHIvYnMyNjI1LWltYWdlLWt3dnlrNnZvLmpwZw.jpg
Ginjinha (https://en.wikipedia.org/wiki/Ginjinha),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Ginjinha_2020.jpg/330px-Ginjinha_2020.jpg
Ribeira (traje) (https://pt.wikipedia.org/wiki/Ribeira_(traje)),https://live.staticflickr.com/65535/48229344817_cf187edc74_b.jpg
Capote alentejano (https://pt.wikipedia.org/wiki/Capote_alentejano),https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/PB080027.jpg/330px-PB080027.jpg
Traje académico (https://pt.wikipedia.org/wiki/Traje_académico),https://upload.wikimedia.org/wikipedia/commons/7/7e/Tuna_IPS_2.jpg
Camisola poveira (https://pt.wikipedia.org/wiki/Camisola_poveira),https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Rancho_poveiro.JPG/345px-Rancho_poveiro.JPG
Caretos de Podence (https://pt.wikipedia.org/wiki/Caretos_de_Podence),https://live.staticflickr.com/2031/2260450343_f27d86f6c6_b.jpg
Aldeias do Xisto (https://pt.wikipedia.org/wiki/Aldeias_do_Xisto),https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Talasnal_%22Casa_Ti_Pito%22.jpg/330px-Talasnal_%22Casa_Ti_Pito%22.jpg
