Concept,Image Link
Gull (https://en.wikipedia.org/wiki/Gull),https://image.hurimg.com/i/hurriyet/75/0x0/6037a11d7152d80f50922413.jpg
Crow (https://en.wikipedia.org/wiki/Crow),https://upload.wikimedia.org/wikipedia/commons/7/71/Pied_Crow-2.JPG
Greater flamingo (https://en.wikipedia.org/wiki/Greater_flamingo),https://en.wikipedia.org/wiki/Greater_flamingo
Domestic pigeon (https://en.wikipedia.org/wiki/Domestic_pigeon),https://images.freeimages.com/images/large-previews/509/ankara-pigeon-1399654.jpg
Mallard (https://en.wikipedia.org/wiki/Mallard),https://upload.wikimedia.org/wikipedia/commons/e/e6/Anas_platyrhynchos_-_Mallard_Duck_01.jpg
Red fox (https://en.wikipedia.org/wiki/Red_fox),https://bilimgenc.tubitak.gov.tr/sites/default/files/inline-images/Kizil_tilki_site_2.jpg
Kangal Shepherd Dog (https://en.wikipedia.org/wiki/Kangal_Shepherd_Dog,https://upload.wikimedia.org/wikipedia/commons/0/08/Anatolian_shepherd_dog.jpg
Sheep (https://en.wikipedia.org/wiki/Sheep),https://st4.depositphotos.com/15394166/20134/i/1600/depositphotos_201349072-stock-photo-herd-adorable-white-sheep-walking.jpg
Roe deer (https://en.wikipedia.org/wiki/Roe_deer),https://upload.wikimedia.org/wikipedia/commons/8/8b/Capreolus_capreolus_2_Jojo.jpg
Angora Cat (https://en.wikipedia.org/wiki/Turkish_Angora),https://upload.wikimedia.org/wikipedia/commons/7/76/Turkish_Angora_in_Ankara_Zoo_%28AO%C3%87%29.JPG
Kebab (https://en.wikipedia.org/wiki/Kebab),https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/EbuElem-Adana.jpg/640px-EbuElem-Adana.jpg
Simit (https://en.wikipedia.org/wiki/Simit),https://upload.wikimedia.org/wikipedia/commons/0/0f/Ankara_simidi_or_simit_of_Ankara.jpg
İçli pide (https://en.wikipedia.org/wiki/%C4%B0%C3%A7li_pide),https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Pide_with_veal_%28dana%29.jpg/640px-Pide_with_veal_%28dana%29.jpg
Baklava (https://en.wikipedia.org/wiki/Baklava),https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/2018-12-20-Baklava_Selection-1274.jpg/640px-2018-12-20-Baklava_Selection-1274.jpg
Börek (https://en.wikipedia.org/wiki/B%C3%B6rek),https://storage.needpix.com/rsynced_images/turkish-food-1379215_1280.jpg
Turnip water (https://en.wikipedia.org/wiki/Turnip_water),https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Glass_of_%C5%9Falgam.jpg/640px-Glass_of_%C5%9Falgam.jpg
Ayran (https://en.wikipedia.org/wiki/Ayran),https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Fresh_ayran.jpg/640px-Fresh_ayran.jpg
Rakı (https://en.wikipedia.org/wiki/Rak%C4%B1),https://live.staticflickr.com/7246/7672084494_46f92312bf_b.jpg
Turkish coffee (https://en.wikipedia.org/wiki/Turkish_coffee),https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Turkish_coffee_in_Istanbul.jpg/640px-Turkish_coffee_in_Istanbul.jpg
Boza (https://en.wikipedia.org/wiki/Boza),https://upload.wikimedia.org/wikipedia/commons/d/df/Boza_and_leblebi.jpg
Kaftan (https://en.wikipedia.org/wiki/Kaftan),https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Kaftan_green_front.jpg/640px-Kaftan_green_front.jpg
Turkish salvar (https://en.wikipedia.org/wiki/Turkish_salvar),https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Selcuk_woman.JPG/640px-Selcuk_woman.JPG
Tesettür (https://tr.wikipedia.org/wiki/Tesett%C3%BCr),https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Kurdish_Women_in_Hijab_Headscarves_-_Dogubayazit_-_Turkey_%285804735184%29.jpg/640px-Kurdish_Women_in_Hijab_Headscarves_-_Dogubayazit_-_Turkey_%285804735184%29.jpg
Fez (hat) (https://en.wikipedia.org/wiki/Fez_(hat)),https://en.wikipedia.org/wiki/Fez_(hat)#/media/File:Fez.jpg
Yelek (https://en.wikipedia.org/wiki/Yelek),https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Waistcoat.jpg/800px-Waistcoat.jpg
Apartment (https://en.wikipedia.org/wiki/Apartment),https://upload.wikimedia.org/wikipedia/commons/2/26/Konya_apartman_2021_6384747378191.jpg
Mosque (https://en.wikipedia.org/wiki/Mosque),https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Kocatepe_camissi.jpg/640px-Kocatepe_camissi.jpg
Yalı (https://en.wikipedia.org/wiki/Yal%C4%B1),https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Haci_Ahmet_Bey_Yali_on_Bosphorus%2C_Kanlica%2C_Turkey.JPG/640px-Haci_Ahmet_Bey_Yali_on_Bosphorus%2C_Kanlica%2C_Turkey.JPG
Konak (residence) (https://en.wikipedia.org/wiki/Konak_(residence)),"https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/86159717-f221-4efe-abf8-1cf5b166615b/d34vzap-6a783e57-bcb4-4223-b89c-4c0cc3f0d2ef.jpg/v1/fill/w_900,h_685,q_75,strp/evlerinin_onu______a__kizilay_by_fiyonk14_d34vzap-fullview.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9Njg1IiwicGF0aCI6IlwvZlwvODYxNTk3MTctZjIyMS00ZWZlLWFiZjgtMWNmNWIxNjY2MTViXC9kMzR2emFwLTZhNzgzZTU3LWJjYjQtNDIyMy1iODljLTRjMGNjM2YwZDJlZi5qcGciLCJ3aWR0aCI6Ijw9OTAwIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmltYWdlLm9wZXJhdGlvbnMiXX0.aafhlaz6ayxT70yfBVH_y06UlzfnFngX0xN3UKcGxnk"
Villa (https://en.wikipedia.org/wiki/Villa),https://images.pexels.com/photos/18297708/pexels-photo-18297708/free-photo-of-maslak-pavilion-in-istanbul.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
Tulip (https://en.wikipedia.org/wiki/Tulip),https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Tulipa_suaveolens_floriade_to_Canberra.jpg/640px-Tulipa_suaveolens_floriade_to_Canberra.jpg
Rose (https://en.wikipedia.org/wiki/Rose),https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Rosa_x_damascena_2zz.jpg/640px-Rosa_x_damascena_2zz.jpg
Bellis perennis (https://en.wikipedia.org/wiki/Bellis_perennis),https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/A_G%C3%A4nseblk%C3%BCmchen_45be_1.jpg/800px-A_G%C3%A4nseblk%C3%BCmchen_45be_1.jpg
Hyacinth (https://en.wikipedia.org/wiki/Hyacinth),https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/S%C3%BCmb%C3%BCl_DSCF0165.jpg/800px-S%C3%BCmb%C3%BCl_DSCF0165.jpg
Lale (https://tr.wikipedia.org/wiki/Lale),https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Tulipa_suaveolens_floriade_to_Canberra.jpg/640px-Tulipa_suaveolens_floriade_to_Canberra.jpg
Apple (https://en.wikipedia.org/wiki/Apple),https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Red_Apple.jpg/640px-Red_Apple.jpg
Watermelon (https://en.wikipedia.org/wiki/Watermelon),https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Starr-091122-0098-Citrullus_lanatus-fruit_in_half-Olinda-Maui_%2824964726856%29.jpg/640px-Starr-091122-0098-Citrullus_lanatus-fruit_in_half-Olinda-Maui_%2824964726856%29.jpg
Cherry (https://en.wikipedia.org/wiki/Cherry),https://upload.wikimedia.org/wikipedia/commons/f/f6/Cherry_season_%2848216568227%29.jpg
Fig (https://en.wikipedia.org/wiki/Fig),https://upload.wikimedia.org/wikipedia/commons/a/a1/Feigen_incir_fig.jpg
Plum (https://en.wikipedia.org/wiki/Plum),https://upload.wikimedia.org/wikipedia/commons/2/2f/Prunus_cerasifera_fruits.jpg
Cucumber (https://en.wikipedia.org/wiki/Cucumber),https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Starr-150326-0880-Cucumis_sativus-fruit_in_Hydroponics_greenhouse-Town_Sand_Island-Midway_Atoll_%2824640282433%29.jpg/640px-Starr-150326-0880-Cucumis_sativus-fruit_in_Hydroponics_greenhouse-Town_Sand_Island-Midway_Atoll_%2824640282433%29.jpg
Zucchini (https://en.wikipedia.org/wiki/Zucchini),https://upload.wikimedia.org/wikipedia/commons/c/c2/These_are_all_kabak_in_Turkish.jpg
Eggplant (https://en.wikipedia.org/wiki/Eggplant),https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Aubergine.jpg/640px-Aubergine.jpg
Tomato (https://en.wikipedia.org/wiki/Tomato),https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Solanum_lycopersicum_-_fruits.jpg/640px-Solanum_lycopersicum_-_fruits.jpg
Green bean (https://en.wikipedia.org/wiki/Green_bean),https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Green_Beans_1.jpg/640px-Green_Beans_1.jpg
Apricot (https://en.wikipedia.org/wiki/Apricot),https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Apricot_and_cross_section.jpg/640px-Apricot_and_cross_section.jpg
Wheat (https://en.wikipedia.org/wiki/Wheat),https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Vehn%C3%A4pelto_6.jpg/1920px-Vehn%C3%A4pelto_6.jpg
Greenhouse (https://en.wikipedia.org/wiki/Greenhouse),https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Greenhouse_for_strawberry.jpg/640px-Greenhouse_for_strawberry.jpg
Olive (https://en.wikipedia.org/wiki/Olive),https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Olivesfromjordan.jpg/640px-Olivesfromjordan.jpg
Hazelnut production in Turkey (https://en.wikipedia.org/wiki/Hazelnut_production_in_Turkey),https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/F%C4%B1nd%C4%B1k.JPG/640px-F%C4%B1nd%C4%B1k.JPG
Drill (https://en.wikipedia.org/wiki/Drill),https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Drill_%2B_tools.jpg/640px-Drill_%2B_tools.jpg
Hammer (https://en.wikipedia.org/wiki/Hammer),https://upload.wikimedia.org/wikipedia/commons/7/7b/Hammer2.jpg
Cezve (https://en.wikipedia.org/wiki/Cezve),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/T%C3%BCrk_Kahvesi_-_Bakir_Cezve.jpg/640px-T%C3%BCrk_Kahvesi_-_Bakir_Cezve.jpg
Sieve (https://en.wikipedia.org/wiki/Sieve),https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Kar%C4%B1%C5%9F%C4%B1ma_eleme_yapan_biri.jpg/800px-Kar%C4%B1%C5%9F%C4%B1ma_eleme_yapan_biri.jpg
Peşkir (https://tr.wikipedia.org/wiki/Pe%C5%9Fkir),https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/%C3%87ank%C4%B1r%C4%B1_M%C3%BCzesi_i%C5%9Flemeli_pe%C5%9Fkir.jpg/800px-%C3%87ank%C4%B1r%C4%B1_M%C3%BCzesi_i%C5%9Flemeli_pe%C5%9Fkir.jpg
Volleyball (https://en.wikipedia.org/wiki/Volleyball),https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Bulgaria-serbia_volley_2012.jpg/640px-Bulgaria-serbia_volley_2012.jpg
Football (https://en.wikipedia.org/wiki/Football),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/NewcastleUnited-Fenerbahce_FK_%28356633397%29.jpg/640px-NewcastleUnited-Fenerbahce_FK_%28356633397%29.jpg
Basketball (https://en.wikipedia.org/wiki/Basketball),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Three_point_shoot.JPG/640px-Three_point_shoot.JPG
Wrestling (https://en.wikipedia.org/wiki/Wrestling),https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Yagli_gures5.jpg/484px-Yagli_gures5.jpg?20130426182910
Tennis (https://en.wikipedia.org/wiki/Tennis),https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/US_Open_2007%2C_Maria_Sharapova_serving.jpg/1920px-US_Open_2007%2C_Maria_Sharapova_serving.jpg
Republic Day (Turkey) (https://en.wikipedia.org/wiki/Republic_Day_(Turkey)),https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/TGB%27nin_29_Ekim_y%C3%BCr%C3%BCy%C3%BC%C5%9F.jpg/640px-TGB%27nin_29_Ekim_y%C3%BCr%C3%BCy%C3%BC%C5%9F.jpg
Ramadan (https://en.wikipedia.org/wiki/Ramadan),https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Istanbul.Sultanahmet.BlueMosque.Ramazan.01.jpg/800px-Istanbul.Sultanahmet.BlueMosque.Ramazan.01.jpg?20060928201217
Eid al-Adha (https://en.wikipedia.org/wiki/Eid_al-Adha),https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Kurban_bayraminda_kesilen_kurbanliklarin_etleri_ismail_k%C3%B6y%C3%BC_2014-08-10_13-41.jpg/337px-Kurban_bayraminda_kesilen_kurbanliklarin_etleri_ismail_k%C3%B6y%C3%BC_2014-08-10_13-41.jpg?20140810134210
