src_domain,model_1,model_2,model_3,id,instructpix2pix_src_clip,instructpix2pix_tgt_clip,instructpix2pix_src_tgt_dino,blip-gpt-plugnplay_src_clip,blip-gpt-plugnplay_tgt_clip,blip-gpt-plugnplay_src_tgt_dino,retrieval_src_clip,retrieval_tgt_clip,retrieval_src_tgt_dino
brazil_utensil_artesanato-nordestino,plugnplay,retrieval,instruct,0,0.12251565605401993,0.12322752922773361,0.9964061975479126,0.12251565605401993,0.12840288877487183,0.9252225756645203,0.12251565605401993,0.14251697063446045,0.7666860818862915
india_religion_mosque,retrieval,instruct,plugnplay,1,0.18337512016296387,0.18004286289215088,0.9922444224357605,0.18337512016296387,0.18555250763893127,0.9680137038230896,0.18337512016296387,0.19364017248153687,0.8650169968605042
nigeria_food_nigeria-jollof-rice-and-chicken-meat,plugnplay,retrieval,instruct,2,0.11648935079574585,0.12486503273248672,0.988100528717041,0.11648935079574585,0.179809108376503,0.957118034362793,0.11648935079574585,0.20827558636665344,0.712489664554596
india_utensil_masala-dabba,instruct,plugnplay,retrieval,3,0.20354662835597992,0.20694845914840698,0.9975530505180359,0.20354662835597992,0.17586322128772736,0.9684686660766602,0.20354662835597992,0.19851037859916687,0.7690393924713135
nigeria_beverages_star,retrieval,plugnplay,instruct,4,0.14221110939979553,0.14864206314086914,0.9973832964897156,0.14221110939979553,0.11806672811508179,0.9530619382858276,0.14221110939979553,0.21602758765220642,0.8122832775115967
india_vegetable_cabbage,retrieval,instruct,plugnplay,5,0.16465739905834198,0.1588646024465561,0.9889861345291138,0.16465739905834198,0.18410532176494598,0.9394716024398804,0.16465739905834198,0.17766116559505463,0.7365305423736572
japan_beverages_matcha-(green-tea),plugnplay,instruct,retrieval,6,0.12144684046506882,0.12604239583015442,0.9975638389587402,0.12144684046506882,0.1300651878118515,0.9055447578430176,0.12144684046506882,0.16330909729003906,0.8147436380386353
japan_celebrations_tanabata-(star-festival),plugnplay,retrieval,instruct,7,0.12592586874961853,0.12923428416252136,0.9952945113182068,0.12592586874961853,0.1403816044330597,0.9564652442932129,0.12592586874961853,0.22040009498596191,0.8609764575958252
nigeria_agriculture_poultry-farming,plugnplay,instruct,retrieval,8,0.11276990175247192,0.12129620462656021,0.987241268157959,0.11276990175247192,0.15429913997650146,0.9156718254089355,0.11276990175247192,0.14452259242534637,0.8630229234695435
nigeria_utensil_fork,retrieval,instruct,plugnplay,9,0.18977278470993042,0.2083740532398224,0.887377142906189,0.18977278470993042,0.18249469995498657,0.9094644784927368,0.18977278470993042,0.18989281356334686,0.8275905251502991
