src_domain,model_1,model_2,model_3,id,instructpix2pix_src_clip,instructpix2pix_tgt_clip,instructpix2pix_src_tgt_dino,blip-gpt-plugnplay_src_clip,blip-gpt-plugnplay_tgt_clip,blip-gpt-plugnplay_src_tgt_dino,retrieval_src_clip,retrieval_tgt_clip,retrieval_src_tgt_dino
united-states_religion_megachurch,plugnplay,instruct,retrieval,0,0.16247901320457458,0.15638640522956848,0.9961149096488953,0.16247901320457458,0.07499496638774872,0.9596964120864868,0.16247901320457458,0.14777697622776031,0.8954918384552002
nigeria_food_egusi-soup-and-poundo,plugnplay,instruct,retrieval,1,0.19827689230442047,0.1919635385274887,0.9984745383262634,0.19827689230442047,0.18048959970474243,0.943305492401123,0.19827689230442047,0.21119222044944763,0.8199740052223206
united-states_agriculture_dairy-farm,plugnplay,instruct,retrieval,2,0.10483688861131668,0.15124395489692688,0.9413946270942688,0.10483688861131668,0.10391879081726074,0.9317201972007751,0.10483688861131668,0.12151754647493362,0.7483762502670288
portugal_celebrations_santos-populares,retrieval,plugnplay,instruct,3,0.09308744221925735,0.09613039344549179,0.9985668659210205,0.09308744221925735,0.21634547412395477,0.9571835994720459,0.09308744221925735,0.1751852035522461,0.9057103991508484
japan_celebrations_tanabata-(star-festival),plugnplay,retrieval,instruct,4,0.13740016520023346,0.14071756601333618,0.995132565498352,0.13740016520023346,0.13416442275047302,0.9486939907073975,0.13740016520023346,0.13000145554542542,0.7741949558258057
turkey_Sports_Archery,plugnplay,instruct,retrieval,5,0.11865442246198654,0.12029947340488434,0.9975318312644958,0.11865442246198654,0.19675670564174652,0.9251431226730347,0.11865442246198654,0.18859869241714478,0.8218785524368286
japan_houses_kawarayane-(tiled-roof),instruct,retrieval,plugnplay,6,0.11469241976737976,0.11062760651111603,0.9954087138175964,0.11469241976737976,0.15949244797229767,0.9367045164108276,0.11469241976737976,0.17856338620185852,0.9172457456588745
turkey_Vegetable_Eggplant,instruct,plugnplay,retrieval,7,0.19838044047355652,0.18600285053253174,0.8189303874969482,0.19838044047355652,0.19606132805347443,0.95364910364151,0.19838044047355652,0.15273499488830566,0.6636849641799927
portugal_mammal_wild-boar,instruct,retrieval,plugnplay,8,0.13157327473163605,0.12191270291805267,0.9946038126945496,0.13157327473163605,0.11827655136585236,0.9412372708320618,0.13157327473163605,0.11728033423423767,0.8155403137207031
united-states_bird_turkey,retrieval,instruct,plugnplay,9,0.12733237445354462,0.13742288947105408,0.9976008534431458,0.12733237445354462,0.16720522940158844,0.8808808326721191,0.12733237445354462,0.17277441918849945,0.8275378942489624
india_mammal_bengal-tiger,instruct,plugnplay,retrieval,10,0.15221543610095978,0.15540729463100433,0.9971446990966797,0.15221543610095978,0.1733650416135788,0.9002103805541992,0.15221543610095978,0.15411561727523804,0.755815327167511
nigeria_agriculture_farm-ploughing,plugnplay,retrieval,instruct,11,0.1431455910205841,0.1276307851076126,0.9914237260818481,0.1431455910205841,0.17039801180362701,0.9119911789894104,0.1431455910205841,0.1642499715089798,0.7330892086029053
india_houses_urban-housing,plugnplay,retrieval,instruct,12,0.10772304236888885,0.11786096543073654,0.9915269017219543,0.10772304236888885,0.12348876148462296,0.9302932024002075,0.10772304236888885,0.18729229271411896,0.82746422290802
india_visual arts_taj-mahal,retrieval,plugnplay,instruct,13,0.1429855227470398,0.15100450813770294,0.9724484086036682,0.1429855227470398,0.1457359343767166,0.9611294269561768,0.1429855227470398,0.18693068623542786,0.7545638084411621
brazil_vegetable_feijoa,plugnplay,instruct,retrieval,14,0.15481770038604736,0.1549747735261917,0.9986047744750977,0.15481770038604736,0.16567401587963104,0.9577955007553101,0.15481770038604736,0.17036807537078857,0.893744707107544
india_celebrations_holi,retrieval,plugnplay,instruct,15,0.1613214612007141,0.1633133739233017,0.9986706376075745,0.1613214612007141,0.22586864233016968,0.9591266512870789,0.1613214612007141,0.20402491092681885,0.862873911857605
united-states_houses_cabin,retrieval,plugnplay,instruct,16,0.1411798596382141,0.19993899762630463,0.9097762703895569,0.1411798596382141,0.20313072204589844,0.923521101474762,0.1411798596382141,0.18542996048927307,0.8805530667304993
united-states_fruit_cranberries,plugnplay,retrieval,instruct,17,0.15043075382709503,0.12987640500068665,0.9861317873001099,0.15043075382709503,0.14939528703689575,0.9882845878601074,0.15043075382709503,0.14400416612625122,0.7120503783226013
india_utensil_idli-steamer,instruct,retrieval,plugnplay,18,0.17946365475654602,0.17520222067832947,0.9968394637107849,0.17946365475654602,0.18016579747200012,0.8743917942047119,0.17946365475654602,0.21353408694267273,0.8016770482063293
india_education_iim-mba,retrieval,plugnplay,instruct,19,0.10297045111656189,0.09994587302207947,0.9959732890129089,0.10297045111656189,0.16177162528038025,0.9467902183532715,0.10297045111656189,0.10228955000638962,0.7270952463150024
nigeria_education_secondary-school-students,plugnplay,instruct,retrieval,20,0.1446305364370346,0.15566708147525787,0.9986799955368042,0.1446305364370346,0.14494436979293823,0.982040286064148,0.1446305364370346,0.18123702704906464,0.8938107490539551
turkey_Clothing_Şalvar,retrieval,plugnplay,instruct,21,0.15839426219463348,0.16448628902435303,0.9963591694831848,0.15839426219463348,0.19788159430027008,0.9512274265289307,0.15839426219463348,0.18913136422634125,0.8531364798545837
india_flower_jasmine,plugnplay,retrieval,instruct,22,0.15371176600456238,0.14803171157836914,0.9990375638008118,0.15371176600456238,0.13596181571483612,0.9483252763748169,0.15371176600456238,0.14658835530281067,0.8601221442222595
portugal_clothing_traje-lavradeira-do-minho,retrieval,instruct,plugnplay,23,0.13754989206790924,0.15091854333877563,0.9956598281860352,0.13754989206790924,0.21074774861335754,0.9623878598213196,0.13754989206790924,0.20331701636314392,0.8885356783866882
portugal_sport_surf,instruct,retrieval,plugnplay,24,0.11832006275653839,0.19509175419807434,0.9030179977416992,0.11832006275653839,0.12169817090034485,0.9313681721687317,0.11832006275653839,0.19730587303638458,0.8177042007446289
turkey_Fruit_Quince,plugnplay,retrieval,instruct,25,0.1302063912153244,0.12817516922950745,0.9988576769828796,0.1302063912153244,0.12564711272716522,0.9688808917999268,0.1302063912153244,0.16847673058509827,0.8824177980422974
turkey_Flower_Rose,instruct,plugnplay,retrieval,26,0.1305941641330719,0.13657811284065247,0.998491644859314,0.1305941641330719,0.14037996530532837,0.9206701517105103,0.1305941641330719,0.12920144200325012,0.8624163269996643
nigeria_religion_dibia-(native-doctor),retrieval,instruct,plugnplay,27,0.20443235337734222,0.20316269993782043,0.9976216554641724,0.20443235337734222,0.19675444066524506,0.9680692553520203,0.20443235337734222,0.1628761887550354,0.8446013927459717
united-states_celebrations_thanksgiving,plugnplay,instruct,retrieval,28,0.18344703316688538,0.17325209081172943,0.9895465970039368,0.18344703316688538,0.15740706026554108,0.9406048059463501,0.18344703316688538,0.20496323704719543,0.8592836856842041
