src_domain,model_1,model_2,model_3,id,instructpix2pix_src_clip,instructpix2pix_tgt_clip,instructpix2pix_src_tgt_dino,blip-gpt-plugnplay_src_clip,blip-gpt-plugnplay_tgt_clip,blip-gpt-plugnplay_src_tgt_dino,retrieval_src_clip,retrieval_tgt_clip,retrieval_src_tgt_dino
turkey_Visual Arts_Islamic Calligraphy,plugnplay,instruct,retrieval,0,0.13166391849517822,0.12585203349590302,0.9936801195144653,0.13166391849517822,0.2331606149673462,0.8320255279541016,0.13166391849517822,0.2473442703485489,0.8241320848464966
nigeria_food_egusi-soup-and-poundo,plugnplay,instruct,retrieval,1,0.12798161804676056,0.14547099173069,0.9704864025115967,0.12798161804676056,0.12417925894260406,0.9725309610366821,0.12798161804676056,0.1612626314163208,0.6841388940811157
united-states_agriculture_dairy-farm,plugnplay,instruct,retrieval,2,0.10825458914041519,0.2293313443660736,0.8996542692184448,0.10825458914041519,0.14329493045806885,0.9597992897033691,0.10825458914041519,0.18764936923980713,0.8622081875801086
turkey_Flower_Cyclamen,plugnplay,retrieval,instruct,3,0.0976131409406662,0.09547994285821915,0.9982342720031738,0.0976131409406662,0.10612413287162781,0.9436992406845093,0.0976131409406662,0.1343458741903305,0.8817991018295288
japan_celebrations_tanabata-(star-festival),plugnplay,retrieval,instruct,4,0.11122529208660126,0.132816880941391,0.9949634075164795,0.11122529208660126,0.1414821296930313,0.950883150100708,0.11122529208660126,0.18661856651306152,0.8780615329742432
turkey_Sports_Archery,plugnplay,instruct,retrieval,5,0.13950590789318085,0.13140951097011566,0.9569624066352844,0.13950590789318085,0.16998377442359924,0.9543330669403076,0.13950590789318085,0.18596109747886658,0.8037729263305664
turkey_Music_Qanun,retrieval,plugnplay,instruct,6,0.16226239502429962,0.1638249009847641,0.714699387550354,0.16226239502429962,0.14047113060951233,0.9597389698028564,0.16226239502429962,0.10754922032356262,0.7936828136444092
turkey_Vegetable_Eggplant,instruct,plugnplay,retrieval,7,0.18128639459609985,0.1461181640625,0.9307482242584229,0.18128639459609985,0.1784217655658722,0.95364910364151,0.18128639459609985,0.19426633417606354,0.8867006897926331
brazil_houses_casa-de-enxaimel,plugnplay,instruct,retrieval,8,0.1561368852853775,0.23618163168430328,0.9451799392700195,0.1561368852853775,0.16555143892765045,0.9539654850959778,0.1561368852853775,0.11952812969684601,0.8258832097053528
india_vegetable_cabbage,retrieval,instruct,plugnplay,9,0.1672489494085312,0.16393791139125824,0.9911345839500427,0.1672489494085312,0.14464379847049713,0.8876150846481323,0.1672489494085312,0.22720682621002197,0.7776510715484619
brazil_sport_capoeira,instruct,plugnplay,retrieval,10,0.15563826262950897,0.15576285123825073,0.9975586533546448,0.15563826262950897,0.15976616740226746,0.953381359577179,0.15563826262950897,0.15229550004005432,0.9032784700393677
portugal_celebrations_carnaval-de-podence,retrieval,plugnplay,instruct,11,0.24918141961097717,0.23649188876152039,0.9973365068435669,0.24918141961097717,0.20639553666114807,0.9597263336181641,0.24918141961097717,0.11839219182729721,0.8687174320220947
japan_houses_tatami-(mat-flooring),retrieval,plugnplay,instruct,12,0.114445760846138,0.08325648307800293,0.987830638885498,0.114445760846138,0.14632366597652435,0.9496646523475647,0.114445760846138,0.21888504922389984,0.8334553837776184
brazil_religion_santo-daime,retrieval,plugnplay,instruct,13,0.11173437535762787,0.13449954986572266,0.9975091218948364,0.11173437535762787,0.20106790959835052,0.9371196031570435,0.11173437535762787,0.16124597191810608,0.899360716342926
brazil_utensil_entalhado-a-madeira,plugnplay,instruct,retrieval,14,0.1679784655570984,0.16714276373386383,0.947844922542572,0.1679784655570984,0.15604384243488312,0.9275333881378174,0.1679784655570984,0.18027418851852417,0.7656685709953308
india_celebrations_holi,retrieval,plugnplay,instruct,15,0.14030884206295013,0.13995492458343506,0.9899100661277771,0.14030884206295013,0.14815370738506317,0.9313105344772339,0.14030884206295013,0.18894195556640625,0.8373721837997437
nigeria_bird_chicken,plugnplay,retrieval,instruct,16,0.14845222234725952,0.15977588295936584,0.9966245889663696,0.14845222234725952,0.15177008509635925,0.8653604388237,0.14845222234725952,0.14909537136554718,0.6986880302429199
united-states_houses_cabin,retrieval,plugnplay,instruct,17,0.13869132101535797,0.22451698780059814,0.8336576223373413,0.13869132101535797,0.21113020181655884,0.926720380783081,0.13869132101535797,0.16059105098247528,0.8777972459793091
united-states_fruit_cranberries,plugnplay,retrieval,instruct,18,0.16579845547676086,0.13030976057052612,0.9748023748397827,0.16579845547676086,0.15521112084388733,0.9887089133262634,0.16579845547676086,0.2147822082042694,0.70964515209198
brazil_sport_futevôlei,instruct,plugnplay,retrieval,19,0.1545397788286209,0.14499478042125702,0.9980417490005493,0.1545397788286209,0.16537144780158997,0.9752549529075623,0.1545397788286209,0.21811595559120178,0.7565692663192749
united-states_utensil_spoon,plugnplay,retrieval,instruct,20,0.20910976827144623,0.19141210615634918,0.943323016166687,0.20910976827144623,0.1789344847202301,0.9086543321609497,0.20910976827144623,0.1808186173439026,0.7363766431808472
india_bird_sparrow,instruct,plugnplay,retrieval,21,0.1455676108598709,0.12576642632484436,0.965936005115509,0.1455676108598709,0.12432701885700226,0.8898043036460876,0.1455676108598709,0.14637263119220734,0.7821201086044312
india_bird_pigeon,instruct,plugnplay,retrieval,22,0.1978597640991211,0.1947353482246399,0.9705440998077393,0.1978597640991211,0.18717333674430847,0.9125270843505859,0.1978597640991211,0.19326654076576233,0.7156736254692078
brazil_bird_tucano,retrieval,plugnplay,instruct,23,0.16258834302425385,0.16836798191070557,0.9589539766311646,0.16258834302425385,0.14365820586681366,0.902927577495575,0.16258834302425385,0.14637263119220734,0.8237305879592896
united-states_houses_high-rise-apartment,retrieval,instruct,plugnplay,24,0.12538425624370575,0.19694408774375916,0.7558910846710205,0.12538425624370575,0.23211148381233215,0.9354968070983887,0.12538425624370575,0.2241540551185608,0.8202171325683594
nigeria_visual arts_pottery,retrieval,plugnplay,instruct,25,0.14034432172775269,0.14480067789554596,0.9786364436149597,0.14034432172775269,0.17251436412334442,0.9632768034934998,0.14034432172775269,0.1962701827287674,0.8367812037467957
portugal_sport_surf,instruct,retrieval,plugnplay,26,0.16469380259513855,0.15524065494537354,0.994473934173584,0.16469380259513855,0.1607852280139923,0.9116940498352051,0.16469380259513855,0.1436864733695984,0.7907601594924927
