src_domain,model_1,model_2,model_3,id,instructpix2pix_src_clip,instructpix2pix_tgt_clip,instructpix2pix_src_tgt_dino,blip-gpt-plugnplay_src_clip,blip-gpt-plugnplay_tgt_clip,blip-gpt-plugnplay_src_tgt_dino,retrieval_src_clip,retrieval_tgt_clip,retrieval_src_tgt_dino
united-states_religion_megachurch,plugnplay,instruct,retrieval,0,0.16164301335811615,0.15470609068870544,0.995734453201294,0.16164301335811615,0.13093578815460205,0.947189211845398,0.16164301335811615,0.1494843065738678,0.8771753311157227
nigeria_food_egusi-soup-and-poundo,plugnplay,instruct,retrieval,1,0.11710146069526672,0.11807601898908615,0.9981335401535034,0.11710146069526672,0.11567119508981705,0.9435309171676636,0.11710146069526672,0.16089153289794922,0.840223491191864
united-states_agriculture_dairy-farm,plugnplay,instruct,retrieval,2,0.11766556650400162,0.1960938721895218,0.9148768186569214,0.11766556650400162,0.12374866008758545,0.9547001123428345,0.11766556650400162,0.15673469007015228,0.8916927576065063
portugal_celebrations_santos-populares,retrieval,plugnplay,instruct,3,0.12660562992095947,0.15279829502105713,0.9984344244003296,0.12660562992095947,0.17837846279144287,0.9744555354118347,0.12660562992095947,0.18794655799865723,0.9263955950737
japan_celebrations_tanabata-(star-festival),plugnplay,retrieval,instruct,4,0.12861794233322144,0.1383027285337448,0.9950973987579346,0.12861794233322144,0.15756267309188843,0.9606583118438721,0.12861794233322144,0.20844033360481262,0.8901336789131165
turkey_Sports_Archery,plugnplay,instruct,retrieval,5,0.18906168639659882,0.18717209994792938,0.9817293286323547,0.18906168639659882,0.18199315667152405,0.932414174079895,0.18906168639659882,0.2172725796699524,0.8096047639846802
united-states_education_middle-school,instruct,retrieval,plugnplay,6,0.12669064104557037,0.14584766328334808,0.9956053495407104,0.12669064104557037,0.14172053337097168,0.9832253456115723,0.12669064104557037,0.11981070786714554,0.8866962194442749
turkey_Vegetable_Eggplant,instruct,plugnplay,retrieval,7,0.19026170670986176,0.1811145842075348,0.9547078609466553,0.19026170670986176,0.18197602033615112,0.8468286991119385,0.19026170670986176,0.12517113983631134,0.6349831819534302
portugal_mammal_wild-boar,instruct,retrieval,plugnplay,8,0.1804402619600296,0.17846408486366272,0.9966731071472168,0.1804402619600296,0.1728227585554123,0.9633855819702148,0.1804402619600296,0.26803192496299744,0.67557692527771
india_vegetable_cabbage,retrieval,instruct,plugnplay,9,0.1782306432723999,0.18011611700057983,0.9983708262443542,0.1782306432723999,0.1872204691171646,0.9431382417678833,0.1782306432723999,0.18511539697647095,0.7936428785324097
india_mammal_bengal-tiger,instruct,plugnplay,retrieval,10,0.14807836711406708,0.15757888555526733,0.9971927404403687,0.14807836711406708,0.16032540798187256,0.9572800993919373,0.14807836711406708,0.1658431440591812,0.7938472032546997
nigeria_agriculture_farm-ploughing,plugnplay,retrieval,instruct,11,0.12216265499591827,0.12814846634864807,0.9890077114105225,0.12216265499591827,0.1484936773777008,0.9168360829353333,0.12216265499591827,0.17643648386001587,0.7281752824783325
brazil_bird_papagaio,plugnplay,retrieval,instruct,12,0.13493238389492035,0.13611820340156555,0.9984630346298218,0.13493238389492035,0.16875432431697845,0.9435737133026123,0.13493238389492035,0.15241508185863495,0.6811918020248413
india_visual arts_taj-mahal,retrieval,plugnplay,instruct,13,0.13619984686374664,0.14501336216926575,0.9956658482551575,0.13619984686374664,0.15400926768779755,0.9673304557800293,0.13619984686374664,0.16807536780834198,0.8690356016159058
brazil_vegetable_feijoa,plugnplay,instruct,retrieval,14,0.16155408322811127,0.1607123464345932,0.9986273050308228,0.16155408322811127,0.17324921488761902,0.960359513759613,0.16155408322811127,0.13861940801143646,0.6930155754089355
india_celebrations_holi,retrieval,plugnplay,instruct,15,0.15329216420650482,0.15757519006729126,0.99854576587677,0.15329216420650482,0.17703434824943542,0.958181619644165,0.15329216420650482,0.17145861685276031,0.8299598693847656
nigeria_bird_chicken,plugnplay,retrieval,instruct,16,0.1699652373790741,0.17377589643001556,0.9981167912483215,0.1699652373790741,0.16720232367515564,0.902279794216156,0.1699652373790741,0.1658431440591812,0.745483934879303
united-states_houses_cabin,retrieval,plugnplay,instruct,17,0.162978395819664,0.20467785000801086,0.9692938923835754,0.162978395819664,0.1650214046239853,0.931267499923706,0.162978395819664,0.1639397293329239,0.8465378284454346
united-states_fruit_cranberries,plugnplay,retrieval,instruct,18,0.1948617845773697,0.1419323831796646,0.9841654896736145,0.1948617845773697,0.1881393939256668,0.9894874691963196,0.1948617845773697,0.16514182090759277,0.6905151605606079
united-states_agriculture_corn,instruct,retrieval,plugnplay,19,0.0672062337398529,0.09787169098854065,0.9775965213775635,0.0672062337398529,0.14087022840976715,0.933941662311554,0.0672062337398529,0.20928353071212769,0.775387167930603
india_education_iim-mba,retrieval,plugnplay,instruct,20,0.0744127705693245,0.0728166326880455,0.9963328838348389,0.0744127705693245,0.17836138606071472,0.9166410565376282,0.0744127705693245,0.15585966408252716,0.7943814396858215
nigeria_education_secondary-school-students,plugnplay,instruct,retrieval,21,0.07144992053508759,0.08172159641981125,0.9987456798553467,0.07144992053508759,0.1301548033952713,0.9679641723632812,0.07144992053508759,0.16233132779598236,0.8623948693275452
united-states_visual arts_painting,instruct,plugnplay,retrieval,22,0.1866241991519928,0.19153836369514465,0.9986306428909302,0.1866241991519928,0.18872319161891937,0.9576875567436218,0.1866241991519928,0.21065542101860046,0.88819420337677
turkey_Clothing_Şalvar,retrieval,plugnplay,instruct,23,0.19285942614078522,0.2211068570613861,0.9960466623306274,0.19285942614078522,0.19935470819473267,0.9398050904273987,0.19285942614078522,0.21874040365219116,0.861342191696167
india_flower_jasmine,plugnplay,retrieval,instruct,24,0.131974458694458,0.1343626081943512,0.9988536238670349,0.131974458694458,0.14317432045936584,0.9383169412612915,0.131974458694458,0.15241508185863495,0.6867650151252747
portugal_clothing_traje-lavradeira-do-minho,retrieval,instruct,plugnplay,25,0.15611454844474792,0.14889678359031677,0.9962373971939087,0.15611454844474792,0.19315235316753387,0.9616729021072388,0.15611454844474792,0.2131870985031128,0.9183951616287231
portugal_sport_surf,instruct,retrieval,plugnplay,26,0.12854118645191193,0.11691571772098541,0.994736909866333,0.12854118645191193,0.135903000831604,0.9338022470474243,0.12854118645191193,0.2075519859790802,0.8255240321159363
turkey_Fruit_Quince,plugnplay,retrieval,instruct,27,0.1488562971353531,0.1509595364332199,0.9987485408782959,0.1488562971353531,0.15712589025497437,0.9669606685638428,0.1488562971353531,0.15057912468910217,0.8267626762390137
turkey_Flower_Rose,instruct,plugnplay,retrieval,28,0.13066965341567993,0.14215144515037537,0.9463928937911987,0.13066965341567993,0.13739988207817078,0.8996495008468628,0.13066965341567993,0.1782660037279129,0.8618780970573425
nigeria_religion_dibia-(native-doctor),retrieval,instruct,plugnplay,29,0.11438842117786407,0.11303676664829254,0.9976743459701538,0.11438842117786407,0.18473941087722778,0.9642656445503235,0.11438842117786407,0.15207897126674652,0.7984256148338318
