src_domain,model_1,model_2,model_3,id,instructpix2pix_src_clip,instructpix2pix_tgt_clip,instructpix2pix_src_tgt_dino,blip-gpt-plugnplay_src_clip,blip-gpt-plugnplay_tgt_clip,blip-gpt-plugnplay_src_tgt_dino,retrieval_src_clip,retrieval_tgt_clip,retrieval_src_tgt_dino
india_vegetable_baingan,plugnplay,retrieval,instruct,0,0.21457388997077942,0.23011241853237152,0.8543851971626282,0.21457388997077942,0.19288761913776398,0.9380841851234436,0.21457388997077942,0.14564897119998932,0.7050912380218506
india_religion_mosque,retrieval,instruct,plugnplay,1,0.13202060759067535,0.21177372336387634,0.8642343282699585,0.13202060759067535,0.16722524166107178,0.9256860017776489,0.13202060759067535,0.2029794156551361,0.7943316102027893
portugal_flower_dahlia,plugnplay,retrieval,instruct,2,0.13977259397506714,0.14934904873371124,0.9861622452735901,0.13977259397506714,0.1544221043586731,0.9749100804328918,0.13977259397506714,0.1408255696296692,0.8763096332550049
india_utensil_masala-dabba,instruct,plugnplay,retrieval,3,0.1582796275615692,0.1559278964996338,0.9639379978179932,0.1582796275615692,0.166218563914299,0.9572389721870422,0.1582796275615692,0.14747601747512817,0.7825407981872559
nigeria_beverages_star,retrieval,plugnplay,instruct,4,0.14862874150276184,0.16238896548748016,0.9834271669387817,0.14862874150276184,0.13832099735736847,0.939716100692749,0.14862874150276184,0.1614750623703003,0.8796894550323486
united-states_bird_turkey,retrieval,instruct,plugnplay,5,0.17444972693920135,0.1718757003545761,0.985103189945221,0.17444972693920135,0.19066962599754333,0.8900571465492249,0.17444972693920135,0.1877424120903015,0.7902472019195557
japan_beverages_matcha-(green-tea),plugnplay,instruct,retrieval,6,0.15394186973571777,0.14178355038166046,0.9746612906455994,0.15394186973571777,0.15173624455928802,0.8863145709037781,0.15394186973571777,0.12199176847934723,0.8290748596191406
japan_celebrations_tanabata-(star-festival),plugnplay,retrieval,instruct,7,0.1488276720046997,0.14632806181907654,0.9951605796813965,0.1488276720046997,0.15210483968257904,0.9418391585350037,0.1488276720046997,0.12315390259027481,0.8573404550552368
nigeria_agriculture_poultry-farming,plugnplay,instruct,retrieval,8,0.11564184725284576,0.19226861000061035,0.9653167128562927,0.11564184725284576,0.16044539213180542,0.9174399375915527,0.11564184725284576,0.1889406144618988,0.7915436029434204
nigeria_utensil_fork,retrieval,instruct,plugnplay,9,0.19836010038852692,0.23894590139389038,0.8576791882514954,0.19836010038852692,0.21843017637729645,0.9489595890045166,0.19836010038852692,0.13573193550109863,0.7438346743583679
japan_music_idol,plugnplay,instruct,retrieval,10,0.1317937672138214,0.13371141254901886,0.9986227750778198,0.1317937672138214,0.15780922770500183,0.9849331378936768,0.1317937672138214,0.15118102729320526,0.91926509141922
brazil_bird_joão-de-barro,instruct,plugnplay,retrieval,11,0.12207633256912231,0.11507588624954224,0.9732405543327332,0.12207633256912231,0.15120463073253632,0.8286453485488892,0.12207633256912231,0.11554747074842453,0.8159603476524353
united-states_agriculture_chickens,plugnplay,retrieval,instruct,12,0.17651928961277008,0.21990619599819183,0.7478389143943787,0.17651928961277008,0.17250947654247284,0.9017975926399231,0.17651928961277008,0.1889406144618988,0.7624403238296509
united-states_food_hamburger,retrieval,plugnplay,instruct,13,0.2076505869626999,0.21965301036834717,0.9734251499176025,0.20765075087547302,0.20604310929775238,0.9519236087799072,0.2076505869626999,0.17431771755218506,0.7563584446907043
india_vegetable_green-beans,plugnplay,retrieval,instruct,14,0.17982248961925507,0.18093429505825043,0.9987797737121582,0.17982248961925507,0.17199258506298065,0.9731282591819763,0.17982248961925507,0.13502345979213715,0.8177261352539062
nigeria_celebrations_ofala-festival,retrieval,instruct,plugnplay,15,0.11672079563140869,0.12443558871746063,0.9983490109443665,0.11672079563140869,0.14605793356895447,0.9339395761489868,0.11672079563140869,0.1566711962223053,0.8793930411338806
united-states_agriculture_dairy-farm,plugnplay,instruct,retrieval,16,0.13767875730991364,0.158812016248703,0.9605647325515747,0.13767875730991364,0.13783226907253265,0.9503820538520813,0.13767875730991364,0.15467394888401031,0.8762997984886169
portugal_sport_surf,instruct,retrieval,plugnplay,17,0.13247399032115936,0.12838247418403625,0.9944760203361511,0.13247399032115936,0.14691556990146637,0.914661169052124,0.13247399032115936,0.13462568819522858,0.7843968868255615
india_religion_ganesh-chaturthi,plugnplay,retrieval,instruct,18,0.10947170108556747,0.11881880462169647,0.9878776669502258,0.10947170108556747,0.13161756098270416,0.9524816870689392,0.10947170108556747,0.14022296667099,0.8937633633613586
brazil_flower_primavera,plugnplay,retrieval,instruct,19,0.1391039341688156,0.13140277564525604,0.9847902655601501,0.1391039341688156,0.15321525931358337,0.9367516040802002,0.1391039341688156,0.14329670369625092,0.7981524467468262
portugal_music_fado-de-lisboa,plugnplay,retrieval,instruct,20,0.13948650658130646,0.1370076835155487,0.9964329600334167,0.13948650658130646,0.1273600161075592,0.9484818577766418,0.13948650658130646,0.11544723063707352,0.8446160554885864
brazil_food_pão-de-queijo,instruct,retrieval,plugnplay,21,0.18301589787006378,0.1745692640542984,0.9878483414649963,0.18301589787006378,0.164014533162117,0.9650086164474487,0.18301589787006378,0.20211049914360046,0.7509683966636658
nigeria_food_egusi-soup-and-poundo,plugnplay,instruct,retrieval,22,0.12168967723846436,0.11284531652927399,0.998442530632019,0.12168967723846436,0.12016929686069489,0.9725309610366821,0.12168967723846436,0.14984548091888428,0.8064773082733154
portugal_food_cozido-à-portuguesa,retrieval,instruct,plugnplay,23,0.13901327550411224,0.13219253718852997,0.9908684492111206,0.13901327550411224,0.12526020407676697,0.9563512206077576,0.13901327550411224,0.14780175685882568,0.901708722114563
turkey_Clothing_Ghutra,instruct,retrieval,plugnplay,24,0.15567909181118011,0.14640817046165466,0.9842984676361084,0.15567909181118011,0.14764109253883362,0.9436376094818115,0.15567909181118011,0.14743304252624512,0.8500990271568298
brazil_agriculture_algodão,instruct,plugnplay,retrieval,25,0.15190009772777557,0.20601008832454681,0.9578165411949158,0.15190009772777557,0.1647438108921051,0.9538190364837646,0.15190009772777557,0.20276537537574768,0.8324843049049377
india_flower_hibiscus,retrieval,plugnplay,instruct,26,0.14982269704341888,0.15524131059646606,0.9915333390235901,0.14982275664806366,0.14403606951236725,0.9386801719665527,0.14982269704341888,0.1888701319694519,0.7651293873786926
united-states_bird_robin,retrieval,instruct,plugnplay,27,0.16721099615097046,0.2147793024778366,0.9041745066642761,0.16721099615097046,0.15420983731746674,0.9691048860549927,0.16721099615097046,0.1337652951478958,0.7640542984008789
united-states_sport_american-football,plugnplay,retrieval,instruct,28,0.15451472997665405,0.1471027433872223,0.9976470470428467,0.15451472997665405,0.1604101061820984,0.9462824463844299,0.15451472997665405,0.11469230055809021,0.8729874491691589
united-states_vegetable_brocolli,instruct,retrieval,plugnplay,29,0.16065551340579987,0.1570403128862381,0.973125159740448,0.16065551340579987,0.14971669018268585,0.9542372226715088,0.16065551340579987,0.1347922831773758,0.8234841227531433
united-states_vegetable_potato,retrieval,plugnplay,instruct,30,0.1982952207326889,0.19721798598766327,0.7514283657073975,0.1982952207326889,0.1792886108160019,0.9738951325416565,0.1982952207326889,0.19766303896903992,0.7194851636886597
nigeria_vegetable_nigerian-waterleaf,plugnplay,instruct,retrieval,31,0.13981609046459198,0.1265355348587036,0.9715615510940552,0.13981609046459198,0.1420363038778305,0.9335774183273315,0.13981609046459198,0.14005883038043976,0.8173257112503052
turkey_Education_Bogazici University,plugnplay,retrieval,instruct,32,0.11432645469903946,0.20585142076015472,0.8949193358421326,0.11432645469903946,0.13299894332885742,0.8953793048858643,0.11432645469903946,0.12309416383504868,0.8388726711273193
india_religion_gurudwara,instruct,retrieval,plugnplay,33,0.1319577693939209,0.19899222254753113,0.9378672242164612,0.1319577693939209,0.1301579624414444,0.9773402214050293,0.1319577693939209,0.1172943040728569,0.9118194580078125
brazil_utensil_artesanato-indigena,instruct,plugnplay,retrieval,34,0.1606295257806778,0.1510089933872223,0.9972896575927734,0.1606295257806778,0.15758326649665833,0.9447497129440308,0.1606295257806778,0.10153830051422119,0.8270430564880371
united-states_bird_pigeon,instruct,plugnplay,retrieval,35,0.17559489607810974,0.17353452742099762,0.9845888018608093,0.17559489607810974,0.17240475118160248,0.8560534715652466,0.17559489607810974,0.14638079702854156,0.7732155323028564
nigeria_religion_christianity,retrieval,plugnplay,instruct,36,0.09700994938611984,0.09272107481956482,0.9979543685913086,0.09700994938611984,0.10740187019109726,0.9743585586547852,0.09700994938611984,0.12613171339035034,0.8708385229110718
japan_celebrations_oshōgatsu-(new-year),instruct,retrieval,plugnplay,37,0.1458204686641693,0.15738412737846375,0.9761499166488647,0.1458204686641693,0.13209472596645355,0.9611257910728455,0.1458204686641693,0.11995933949947357,0.899491012096405
turkey_Agriculture_Cotton Farming,plugnplay,instruct,retrieval,38,0.15786850452423096,0.15370114147663116,0.9957154393196106,0.15786850452423096,0.16481295228004456,0.9031132459640503,0.15786850452423096,0.14500516653060913,0.8314726948738098
portugal_utensil_fishing-nets,plugnplay,retrieval,instruct,39,0.13995696604251862,0.1605597287416458,0.9321835041046143,0.13995696604251862,0.14799708127975464,0.9486484527587891,0.13995696604251862,0.12639252841472626,0.8146174550056458
brazil_religion_tupi-guarani,instruct,retrieval,plugnplay,40,0.14858049154281616,0.13664333522319794,0.9970896244049072,0.14858049154281616,0.14405038952827454,0.8659428358078003,0.14858049154281616,0.12857288122177124,0.8077542781829834
turkey_Sports_Arda Turan,instruct,retrieval,plugnplay,41,0.1084078773856163,0.12239028513431549,0.9941092729568481,0.1084078773856163,0.10221433639526367,0.9913727045059204,0.1084078773856163,0.12168845534324646,0.7766839265823364
brazil_houses_palafitas,plugnplay,retrieval,instruct,42,0.12890899181365967,0.14870846271514893,0.9939605593681335,0.12890896201133728,0.13962322473526,0.9721376895904541,0.12890899181365967,0.14058734476566315,0.815171480178833
nigeria_bird_chicken,plugnplay,retrieval,instruct,43,0.156325101852417,0.15628285706043243,0.9943821430206299,0.156325101852417,0.1568664163351059,0.9178457856178284,0.156325101852417,0.1694096177816391,0.7993515729904175
japan_visual arts_yayoi-kusama-(artist),plugnplay,instruct,retrieval,44,0.171309694647789,0.22660823166370392,0.7428751587867737,0.171309694647789,0.18146884441375732,0.93800288438797,0.171309694647789,0.13502489030361176,0.7822831273078918
japan_education_gakkō-seifuku-(school-uniform),plugnplay,retrieval,instruct,45,0.15678536891937256,0.1604667454957962,0.9980820417404175,0.15678536891937256,0.1447884887456894,0.964403510093689,0.15678536891937256,0.10581605136394501,0.921412467956543
india_flower_jasmine,instruct,plugnplay,retrieval,46,0.13249164819717407,0.1375122219324112,0.9988445043563843,0.13249164819717407,0.13892506062984467,0.9379878044128418,0.13249164819717407,0.13971954584121704,0.883746325969696
united-states_flower_bluebonnet,retrieval,plugnplay,instruct,47,0.16566547751426697,0.157037153840065,0.993864119052887,0.16566547751426697,0.17942318320274353,0.9200129508972168,0.16566547751426697,0.16379603743553162,0.7683058977127075
nigeria_food_dodo-(fried-ripe-plantain),plugnplay,instruct,retrieval,48,0.16637544333934784,0.1537298709154129,0.9789434671401978,0.16637544333934784,0.16132882237434387,0.956074595451355,0.16637544333934784,0.14246219396591187,0.8391000032424927
united-states_flower_daisy,retrieval,instruct,plugnplay,49,0.16884730756282806,0.17477045953273773,0.9435105323791504,0.16884730756282806,0.1636931598186493,0.9763432145118713,0.16884730756282806,0.15057367086410522,0.905717134475708
united-states_fruit_concord-grapes,plugnplay,instruct,retrieval,50,0.14066654443740845,0.13348950445652008,0.9984995126724243,0.14066654443740845,0.15458115935325623,0.7446117401123047,0.14066654443740845,0.22198767960071564,0.7413586974143982
portugal_bird_common-blackbird,retrieval,plugnplay,instruct,51,0.16868019104003906,0.17951449751853943,0.9630654454231262,0.16868019104003906,0.17067614197731018,0.9212179183959961,0.16868019104003906,0.1482006460428238,0.7639358043670654
portugal_education_cartilha-maternal,plugnplay,instruct,retrieval,52,0.12799161672592163,0.13405992090702057,0.9980150461196899,0.12799161672592163,0.15423651039600372,0.9187169671058655,0.12799161672592163,0.13410082459449768,0.893743097782135
brazil_agriculture_soja,retrieval,plugnplay,instruct,53,0.15225178003311157,0.2058195322751999,0.9532105922698975,0.15225178003311157,0.20274575054645538,0.905443549156189,0.15225178003311157,0.18375900387763977,0.8733806014060974
turkey_Bird_Owl,retrieval,plugnplay,instruct,54,0.1744985580444336,0.20433585345745087,0.9392271041870117,0.1744985580444336,0.18467631936073303,0.9408949613571167,0.1744985580444336,0.14704981446266174,0.7737866044044495
turkey_Vegetable_Eggplant,instruct,plugnplay,retrieval,55,0.16065192222595215,0.23717299103736877,0.8427985906600952,0.16065192222595215,0.1680448055267334,0.9630746245384216,0.16065192222595215,0.14216655492782593,0.7060232758522034
brazil_visual arts_anita-malfatti,retrieval,plugnplay,instruct,56,0.14296641945838928,0.1479668915271759,0.9951992034912109,0.14296641945838928,0.1672465205192566,0.9564825296401978,0.14296641945838928,0.12089748680591583,0.8760441541671753
japan_utensil_ohashi-(chopsticks),plugnplay,retrieval,instruct,57,0.15150298178195953,0.20141887664794922,0.846838116645813,0.15150298178195953,0.15219657123088837,0.8006148338317871,0.15150298178195953,0.17575283348560333,0.7207434773445129
united-states_flower_rose,retrieval,plugnplay,instruct,58,0.1758958101272583,0.17578329145908356,0.956896185874939,0.1758958250284195,0.1643400937318802,0.932051956653595,0.1758958101272583,0.16842429339885712,0.7832717895507812
united-states_flower_violet,plugnplay,instruct,retrieval,59,0.16232571005821228,0.18786944448947906,0.8255106806755066,0.16232571005821228,0.1438584327697754,0.918282151222229,0.16232571005821228,0.13106697797775269,0.8624587059020996
united-states_religion_synagogue,instruct,plugnplay,retrieval,60,0.1458895355463028,0.13584157824516296,0.9962596893310547,0.1458895355463028,0.13649192452430725,0.9576475620269775,0.1458895355463028,0.11507811397314072,0.8721294403076172
turkey_Houses_Odunpazarı Houses,plugnplay,retrieval,instruct,61,0.1132277324795723,0.1527065634727478,0.9839400053024292,0.1132277324795723,0.13921408355236053,0.9693939089775085,0.1132277324795723,0.1776774525642395,0.8978255987167358
india_clothing_lungi,instruct,plugnplay,retrieval,62,0.13923761248588562,0.151320680975914,0.9870937466621399,0.13923761248588562,0.1335044652223587,0.9325957894325256,0.13923761248588562,0.1529337763786316,0.8734192252159119
