id,src_domain,domain_1,domain_2,domain_3,instructpix2pix_src_clip,instructpix2pix_tgt_clip,instructpix2pix_src_tgt_dino,blip-gpt-plugnplay_src_clip,blip-gpt-plugnplay_tgt_clip,blip-gpt-plugnplay_src_tgt_dino,retrieval_src_clip,retrieval_tgt_clip,retrieval_src_tgt_dino
0,ncert-currency-1,instruct,retrieval,plugnplay,0.12961438298225403,0.21173813939094543,0.9474217891693115,0.12961438298225403,0.17052362859249115,0.9769295454025269,0.12961438298225403,0.16319990158081055,0.8710660934448242
1,k5-count-10,instruct,plugnplay,retrieval,0.11830753833055496,0.12470252066850662,0.9762870669364929,0.11830753833055496,0.16119910776615143,0.9128559827804565,0.11830753833055496,0.2087554931640625,0.8675503730773926
2,k5-sort_count-6,retrieval,instruct,plugnplay,0.12456321716308594,0.16626757383346558,0.8744655847549438,0.12456321716308594,0.13446474075317383,0.9809542894363403,0.12456321716308594,0.16973407566547394,0.8893729448318481
3,ncert-fill-4,instruct,plugnplay,retrieval,0.12391455471515656,0.16696828603744507,0.9038214087486267,0.12391459941864014,0.14311476051807404,0.9833064079284668,0.12391455471515656,0.15561601519584656,0.7572107911109924
4,ncert-fill-6,instruct,plugnplay,retrieval,0.12405924499034882,0.1449218988418579,0.8630604147911072,0.1240592747926712,0.12345056980848312,0.9739247560501099,0.12405924499034882,0.16973412036895752,0.9202970862388611
5,k5-sort_data-4,instruct,plugnplay,retrieval,0.14265182614326477,0.13851942121982574,0.9622052907943726,0.14265182614326477,0.14777834713459015,0.9688156247138977,0.14265182614326477,0.1512610912322998,0.8719865083694458
6,ncert-count-objects-2,plugnplay,instruct,retrieval,0.14056579768657684,0.15392959117889404,0.9069247245788574,0.14056579768657684,0.11117216944694519,0.9649410247802734,0.14056579768657684,0.16485121846199036,0.8809171915054321
7,k5-sort_data-5,retrieval,instruct,plugnplay,0.17186285555362701,0.23094786703586578,0.8875945806503296,0.17186285555362701,0.17837397754192352,0.967229425907135,0.17186285555362701,0.2087554931640625,0.8959013819694519
8,k5-belong-1,retrieval,plugnplay,instruct,0.13193978369235992,0.18255344033241272,0.9218568801879883,0.13193978369235992,0.1350155472755432,0.9665665626525879,0.13193978369235992,0.22167810797691345,0.8518824577331543
9,ncert-currency-3,plugnplay,retrieval,instruct,0.12907737493515015,0.17443139851093292,0.918327808380127,0.12907737493515015,0.14273393154144287,0.9607146978378296,0.12907737493515015,0.2087554931640625,0.9201422929763794
