id,src_domain,domain_1,domain_2,domain_3,instructpix2pix_src_clip,instructpix2pix_tgt_clip,instructpix2pix_src_tgt_dino,blip-gpt-plugnplay_src_clip,blip-gpt-plugnplay_tgt_clip,blip-gpt-plugnplay_src_tgt_dino,retrieval_src_clip,retrieval_tgt_clip,retrieval_src_tgt_dino
0,ncert-measure-1,plugnplay,instruct,retrieval,0.173017680644989,0.1747886836528778,0.9988672137260437,0.173017680644989,0.1618066430091858,0.9702463746070862,0.173017680644989,0.18920734524726868,0.8526575565338135
1,k5-sort_data-5,retrieval,instruct,plugnplay,0.1662258803844452,0.17041751742362976,0.995742917060852,0.1662258803844452,0.20986086130142212,0.9683864116668701,0.1662258803844452,0.16781333088874817,0.8746871948242188
2,ncert-count-objects-2,plugnplay,instruct,retrieval,0.14900031685829163,0.20067863166332245,0.8739822506904602,0.14900031685829163,0.15868142247200012,0.9790505170822144,0.14900031685829163,0.18309757113456726,0.8342210650444031
3,k5-count-7,retrieval,plugnplay,instruct,0.16292111575603485,0.21141083538532257,0.9404186010360718,0.16292111575603485,0.16877643764019012,0.9527673721313477,0.16292111575603485,0.1886381208896637,0.7901330590248108
4,k5-count-10,instruct,plugnplay,retrieval,0.13308647274971008,0.21645383536815643,0.9220758080482483,0.13308647274971008,0.14036007225513458,0.9570862054824829,0.13308647274971008,0.18655894696712494,0.7835403680801392
5,k5-analyse-6,instruct,retrieval,plugnplay,0.18157707154750824,0.18770772218704224,0.9318568706512451,0.18157707154750824,0.15984739363193512,0.9646087884902954,0.18157707154750824,0.1612275391817093,0.8649680614471436
6,ncert-count-objects-1,instruct,plugnplay,retrieval,0.1863033026456833,0.22333930432796478,0.876936674118042,0.1863033026456833,0.17030832171440125,0.9819818735122681,0.1863033026456833,0.14808519184589386,0.7444008588790894
7,k5-analyse-3,instruct,retrieval,plugnplay,0.16278207302093506,0.1912417709827423,0.9314547777175903,0.16278207302093506,0.18543434143066406,0.9813242554664612,0.16278207302093506,0.18534937500953674,0.8305718898773193
8,k5-analyse-8,retrieval,instruct,plugnplay,0.18226614594459534,0.2049313187599182,0.792120099067688,0.18226614594459534,0.1448606699705124,0.9333163499832153,0.18226614594459534,0.19171631336212158,0.8556987047195435
9,k5-belong-1,retrieval,plugnplay,instruct,0.16078685224056244,0.1605873703956604,0.9042812585830688,0.16078685224056244,0.17002061009407043,0.9640523195266724,0.16078685224056244,0.1773550659418106,0.8091062903404236
10,ncert-fill-6,instruct,plugnplay,retrieval,0.1433958262205124,0.22699743509292603,0.8844545483589172,0.14339587092399597,0.1367720067501068,0.9739247560501099,0.1433958262205124,0.17437966167926788,0.7360997200012207
11,ncert-larger-5,retrieval,instruct,plugnplay,0.19110819697380066,0.20234595239162445,0.8544054627418518,0.19110819697380066,0.17900899052619934,0.9861092567443848,0.19110819697380066,0.17510034143924713,0.7906709313392639
12,ncert-count-objects-5,retrieval,plugnplay,instruct,0.15261991322040558,0.15253689885139465,0.9958257675170898,0.15261991322040558,0.16998861730098724,0.9535925388336182,0.15261991322040558,0.19847875833511353,0.6791620254516602
13,k5-belong-3,instruct,retrieval,plugnplay,0.14384281635284424,0.15010015666484833,0.9978607296943665,0.14384281635284424,0.16585920751094818,0.9592728018760681,0.14384281635284424,0.17397981882095337,0.8075854778289795
14,ncert-match-2,instruct,plugnplay,retrieval,0.16201059520244598,0.1799144744873047,0.9506888389587402,0.16201059520244598,0.173169806599617,0.9891107082366943,0.16201059520244598,0.1331290304660797,0.905882716178894
15,k5-analyse-11,retrieval,instruct,plugnplay,0.201957568526268,0.2228105664253235,0.8149170875549316,0.201957568526268,0.2199798822402954,0.9897651672363281,0.201957568526268,0.1743796318769455,0.7118027210235596
16,k5-sort-1,plugnplay,retrieval,instruct,0.16436031460762024,0.2404036521911621,0.9349228143692017,0.16436031460762024,0.178436741232872,0.9437987804412842,0.16436031460762024,0.17889440059661865,0.8519048094749451
17,k5-count-9,instruct,plugnplay,retrieval,0.1493074595928192,0.12848058342933655,0.9415098428726196,0.1493074595928192,0.15678773820400238,0.9577786922454834,0.1493074595928192,0.16781333088874817,0.8540014624595642
18,ncert-fill-5,instruct,plugnplay,retrieval,0.16926366090774536,0.1773906946182251,0.9962491393089294,0.16926360130310059,0.18422235548496246,0.96579909324646,0.16926366090774536,0.18841707706451416,0.8064454793930054
19,ncert-roll-1,plugnplay,instruct,retrieval,0.160352423787117,0.18736647069454193,0.8235427141189575,0.160352423787117,0.1581362634897232,0.952477216720581,0.160352423787117,0.13781529664993286,0.8138798475265503
20,k5-sort_data-4,instruct,plugnplay,retrieval,0.16398856043815613,0.20901350677013397,0.9557101726531982,0.16398856043815613,0.14928141236305237,0.9628217220306396,0.16398856043815613,0.13961200416088104,0.8560116291046143
21,k5-count-8,retrieval,instruct,plugnplay,0.13788087666034698,0.2102430760860443,0.9128015637397766,0.13788087666034698,0.1141628623008728,0.9780142903327942,0.13788087666034698,0.15262383222579956,0.850658118724823
22,k5-count-3,instruct,retrieval,plugnplay,0.15355128049850464,0.20516705513000488,0.8300983905792236,0.15355128049850464,0.17499986290931702,0.9689666628837585,0.15355128049850464,0.1418958455324173,0.7455525398254395
23,k5-analyse-1,instruct,plugnplay,retrieval,0.1743800938129425,0.17960594594478607,0.941475510597229,0.1743800938129425,,0.8854988813400269,0.1743800938129425,0.18429970741271973,0.9198695421218872
24,k5-sort_count-3,plugnplay,retrieval,instruct,0.17546524107456207,0.19637179374694824,0.998274564743042,0.17546524107456207,0.17374323308467865,0.9702944755554199,0.17546524107456207,0.18309757113456726,0.8327468633651733
25,k5-sort_count-4,retrieval,instruct,plugnplay,0.16044536232948303,0.2278786599636078,0.9657608866691589,0.16044536232948303,0.16186827421188354,0.9163267612457275,0.16044536232948303,0.20650160312652588,0.7367607355117798
26,k5-analyse-10,plugnplay,retrieval,instruct,0.17748966813087463,0.20580530166625977,0.8826831579208374,0.17748966813087463,0.1782061755657196,0.9921916723251343,0.17748966813087463,0.187322199344635,0.8819452524185181
27,k5-belong-2,plugnplay,instruct,retrieval,0.12994882464408875,0.14608775079250336,0.9752771258354187,0.12994882464408875,0.13279928267002106,0.9714159965515137,0.12994882464408875,0.16977998614311218,0.8144557476043701
28,k5-sort_count-6,retrieval,instruct,plugnplay,0.13600900769233704,0.16107435524463654,0.9235732555389404,0.13600900769233704,0.12357236444950104,0.9699820280075073,0.13600900769233704,0.13823042809963226,0.8609793186187744
29,ncert-liquid-2,instruct,plugnplay,retrieval,0.1722402572631836,0.22623157501220703,0.8197370767593384,0.1722402572631836,0.1866554319858551,0.9712159633636475,0.1722402572631836,0.11643177270889282,0.7607481479644775
30,ncert-match-3,retrieval,plugnplay,instruct,0.21196958422660828,0.24067693948745728,0.952519416809082,0.21196958422660828,0.23201172053813934,0.9833476543426514,0.21196958422660828,0.1757872849702835,0.8367871046066284
31,ncert-larger-4,instruct,plugnplay,retrieval,0.15133360028266907,0.20753741264343262,0.905011773109436,0.15133360028266907,0.17751775681972504,0.9796978831291199,0.15133360028266907,0.19500714540481567,0.6977633237838745
32,ncert-calculate-1,instruct,plugnplay,retrieval,0.2318565845489502,0.23528560996055603,0.9892239570617676,0.2318565845489502,0.21770934760570526,0.9709233641624451,0.2318565845489502,0.19929687678813934,0.8216023445129395
33,k5-count-12,retrieval,plugnplay,instruct,0.14974701404571533,0.15869036316871643,0.9707385301589966,0.14974701404571533,0.1502993106842041,0.9918956756591797,0.14974701404571533,0.18309757113456726,0.8059539794921875
34,k5-analyse-7,instruct,retrieval,plugnplay,0.1912131905555725,0.21374844014644623,0.8590507507324219,0.1912131905555725,0.19866052269935608,0.9718106985092163,0.1912131905555725,0.16704577207565308,0.8461226224899292
35,ncert-standing-1,instruct,retrieval,plugnplay,0.18062551319599152,0.22416481375694275,0.8095886707305908,0.18062537908554077,0.1592140793800354,0.9262150526046753,0.18062551319599152,0.19500716030597687,0.6947938203811646
36,ncert-liquid-1,plugnplay,instruct,retrieval,0.16391363739967346,0.21201786398887634,0.8145568370819092,0.16391363739967346,0.20393222570419312,0.9552182555198669,0.16391363739967346,0.19270245730876923,0.7359867095947266
37,ncert-fill-2,retrieval,instruct,plugnplay,0.18400856852531433,0.2189832329750061,0.9240493774414062,0.18400856852531433,0.1807822585105896,0.9768865704536438,0.18400856852531433,0.15558816492557526,0.9058321714401245
38,k5-analyse-4,plugnplay,retrieval,instruct,0.16570618748664856,0.17644888162612915,0.9986891746520996,0.16570618748664856,0.15720415115356445,0.9917312264442444,0.16570618748664856,0.19250750541687012,0.9075688719749451
39,k5-analyse-2,plugnplay,instruct,retrieval,0.1884564608335495,0.18725502490997314,0.9972824454307556,0.1884564608335495,0.19314225018024445,0.9670393466949463,0.1884564608335495,0.14334772527217865,0.8850176334381104
40,ncert-subtract-1,plugnplay,retrieval,instruct,0.1868332475423813,0.18023762106895447,0.9899142980575562,0.1868332475423813,0.16678859293460846,0.9846487045288086,0.1868332475423813,0.1243625208735466,0.8569269180297852
41,k5-belong-6,retrieval,plugnplay,instruct,0.15237540006637573,0.22493848204612732,0.9091767072677612,0.15237540006637573,0.17142949998378754,0.9337510466575623,0.15237540006637573,0.18604573607444763,0.7571671009063721
42,k5-count-2,retrieval,plugnplay,instruct,0.14669771492481232,0.17597049474716187,0.910431981086731,0.14669771492481232,0.165073424577713,0.9339818954467773,0.14669771492481232,0.20650160312652588,0.7074240446090698
43,k5-count-6,retrieval,instruct,plugnplay,0.1676429808139801,0.17996372282505035,0.9250171184539795,0.1676429808139801,0.19131070375442505,0.9412811398506165,0.1676429808139801,0.18946892023086548,0.742592453956604
44,k5-count-4,instruct,retrieval,plugnplay,0.1359633505344391,0.2025349736213684,0.9298034906387329,0.1359633505344391,0.17591656744480133,0.9773480892181396,0.1359633505344391,0.20650160312652588,0.7411794662475586
45,ncert-fill-1,plugnplay,retrieval,instruct,0.15304234623908997,0.2143634855747223,0.8544101715087891,0.15304234623908997,0.15582647919654846,0.9820471405982971,0.15304234623908997,0.13732384145259857,0.7614866495132446
46,k5-count-11,retrieval,instruct,plugnplay,0.1955125629901886,0.18551984429359436,0.994666576385498,0.1955125629901886,0.19860604405403137,0.9776304364204407,0.1955125629901886,0.17643076181411743,0.7316651344299316
47,k5-analyse-9,instruct,retrieval,plugnplay,0.18733079731464386,0.187313973903656,0.9986934661865234,0.18733079731464386,0.18298548460006714,0.9781758189201355,0.18733079731464386,0.143166184425354,0.856977105140686
48,ncert-currency-3,plugnplay,retrieval,instruct,0.20971843600273132,0.2318764626979828,0.984870195388794,0.20971843600273132,0.13025808334350586,0.9791854023933411,0.20971843600273132,0.17643076181411743,0.6982183456420898
49,ncert-larger-3,instruct,plugnplay,retrieval,0.14139136672019958,0.21462978422641754,0.9330623745918274,0.14139136672019958,0.1527070701122284,0.9795474410057068,0.14139136672019958,0.16440731287002563,0.7286926507949829
