id,src_domain,domain_1,domain_2,domain_3,instructpix2pix_src_clip,instructpix2pix_tgt_clip,instructpix2pix_src_tgt_dino,blip-gpt-plugnplay_src_clip,blip-gpt-plugnplay_tgt_clip,blip-gpt-plugnplay_src_tgt_dino,retrieval_src_clip,retrieval_tgt_clip,retrieval_src_tgt_dino
0,ncert-measure-1,plugnplay,instruct,retrieval,0.17646284401416779,0.2053995132446289,0.9953365921974182,0.17646284401416779,0.16098040342330933,0.9805499911308289,0.17646284401416779,0.1107473373413086,0.8919715881347656
1,k5-sort_data-5,retrieval,instruct,plugnplay,0.15656837821006775,0.1884884089231491,0.9243379831314087,0.15656837821006775,0.19247718155384064,0.9629896879196167,0.15656837821006775,0.1931956559419632,0.787726640701294
2,ncert-count-objects-2,plugnplay,instruct,retrieval,0.14563043415546417,0.17328180372714996,0.9659292101860046,0.14563043415546417,0.14106714725494385,0.9731385707855225,0.14563043415546417,0.20595863461494446,0.7416682839393616
3,k5-count-7,retrieval,plugnplay,instruct,0.1551489681005478,0.18156564235687256,0.8747419714927673,0.1551489681005478,0.15507782995700836,0.9845055341720581,0.1551489681005478,0.15291514992713928,0.7975524663925171
4,k5-count-10,instruct,plugnplay,retrieval,0.124739870429039,0.17519505321979523,0.9861569404602051,0.124739870429039,0.13627688586711884,0.9559433460235596,0.124739870429039,0.2289126217365265,0.7647244334220886
5,k5-analyse-6,instruct,retrieval,plugnplay,0.1766698658466339,0.1826896071434021,0.9405595064163208,0.1766698658466339,0.13711875677108765,0.9676143527030945,0.1766698658466339,0.19346562027931213,0.8430781364440918
6,ncert-count-objects-1,instruct,plugnplay,retrieval,0.14497248828411102,0.1697283834218979,0.9390976428985596,0.14497248828411102,0.166973277926445,0.8662304878234863,0.14497248828411102,0.11649832129478455,0.7416554689407349
7,k5-analyse-3,instruct,retrieval,plugnplay,0.1643858551979065,0.23215237259864807,0.9324253797531128,0.1643858551979065,0.12103638052940369,0.9720607995986938,0.1643858551979065,0.13494108617305756,0.8773380517959595
8,k5-analyse-8,retrieval,instruct,plugnplay,0.17874564230442047,0.2010292261838913,0.854111909866333,0.17874564230442047,0.15253359079360962,0.9202289581298828,0.17874564230442047,0.17036807537078857,0.6408708095550537
9,k5-belong-1,retrieval,plugnplay,instruct,0.14648959040641785,0.22060440480709076,0.8711116313934326,0.14648959040641785,0.18839529156684875,0.9726678133010864,0.14648959040641785,0.26077163219451904,0.8394804000854492
10,ncert-fill-6,instruct,plugnplay,retrieval,0.1456023007631302,0.17139306664466858,0.968049943447113,0.14560239017009735,0.14019392430782318,0.9757630825042725,0.1456023007631302,0.16815686225891113,0.8170250654220581
11,ncert-larger-5,retrieval,instruct,plugnplay,0.19007417559623718,0.1680319458246231,0.8991676568984985,0.19007417559623718,0.1953100860118866,0.9591901302337646,0.19007417559623718,0.1835881620645523,0.9166712760925293
12,ncert-count-objects-5,retrieval,plugnplay,instruct,0.15714186429977417,0.1720927357673645,0.949978232383728,0.15714186429977417,0.18734551966190338,0.9482487440109253,0.15714186429977417,0.11749029159545898,0.8706183433532715
13,k5-belong-3,instruct,retrieval,plugnplay,0.12363042682409286,0.17020714282989502,0.8646976351737976,0.12363042682409286,0.14801602065563202,0.9634417295455933,0.12363042682409286,0.10649217665195465,0.7710438370704651
14,ncert-match-2,instruct,plugnplay,retrieval,0.13190102577209473,0.1811695098876953,0.9088670611381531,0.13190102577209473,0.15191863477230072,0.9891107082366943,0.13190102577209473,0.11395405977964401,0.8201587796211243
15,k5-analyse-11,retrieval,instruct,plugnplay,0.17961600422859192,0.17853674292564392,0.8485937714576721,0.17961600422859192,0.18360571563243866,0.959108829498291,0.17961600422859192,0.14026248455047607,0.814293384552002
16,k5-sort-1,plugnplay,retrieval,instruct,0.14670737087726593,0.1720346361398697,0.8898317217826843,0.14670737087726593,0.14211702346801758,0.9313775897026062,0.14670737087726593,0.15830422937870026,0.8359885215759277
17,k5-count-9,instruct,plugnplay,retrieval,0.14382745325565338,0.16904419660568237,0.9383711814880371,0.14382745325565338,0.15977606177330017,0.9628124237060547,0.14382745325565338,0.21170322597026825,0.8072709441184998
18,ncert-fill-5,instruct,plugnplay,retrieval,0.18380911648273468,0.14098691940307617,0.9076706171035767,0.18380914628505707,0.14319376647472382,0.9517689347267151,0.18380911648273468,0.21119222044944763,0.777575671672821
19,ncert-roll-1,plugnplay,instruct,retrieval,0.15740671753883362,0.1669122725725174,0.8887125253677368,0.15740671753883362,0.16862331330776215,0.9581913948059082,0.15740671753883362,0.10756710916757584,0.7003937363624573
20,k5-sort_data-4,instruct,plugnplay,retrieval,0.1509407013654709,0.21980713307857513,0.9562565088272095,0.1509407013654709,0.13207107782363892,0.979472815990448,0.1509407013654709,0.20166441798210144,0.7857099175453186
21,k5-count-8,retrieval,instruct,plugnplay,0.13694575428962708,0.19214648008346558,0.9403427243232727,0.13694575428962708,0.10498596727848053,0.9784008264541626,0.13694575428962708,0.17196790874004364,0.7346663475036621
22,k5-count-3,instruct,retrieval,plugnplay,0.142947256565094,0.23153215646743774,0.9510387182235718,0.142947256565094,0.20250678062438965,0.9737324714660645,0.142947256565094,0.1107473373413086,0.8481576442718506
23,k5-analyse-1,instruct,plugnplay,retrieval,0.16602882742881775,0.19312314689159393,0.8973119258880615,0.16602882742881775,,0.8940415382385254,0.16602882742881775,0.1797107458114624,0.8013240098953247
24,k5-sort_count-3,plugnplay,retrieval,instruct,0.18120616674423218,0.23670393228530884,0.9171993136405945,0.18120616674423218,0.224176287651062,0.9721041321754456,0.18120616674423218,0.14746321737766266,0.7170815467834473
25,k5-sort_count-4,retrieval,instruct,plugnplay,0.14819978177547455,0.18908582627773285,0.9612220525741577,0.14819978177547455,0.1313740760087967,0.9862242937088013,0.14819978177547455,0.21455076336860657,0.7980616092681885
26,k5-analyse-10,plugnplay,retrieval,instruct,0.1665518879890442,0.15452566742897034,0.8941836357116699,0.1665518879890442,0.17135682702064514,0.9575586318969727,0.1665518879890442,0.21119222044944763,0.7164950370788574
27,k5-belong-2,plugnplay,instruct,retrieval,0.11722467094659805,0.22749322652816772,0.9360141754150391,0.11722467094659805,0.19002765417099,0.969003438949585,0.11722467094659805,0.20331701636314392,0.7201346158981323
28,k5-sort_count-6,retrieval,instruct,plugnplay,0.1440572589635849,0.19579729437828064,0.9023241400718689,0.1440572589635849,0.13623610138893127,0.9813811182975769,0.1440572589635849,0.1227591410279274,0.7547250986099243
29,ncert-liquid-2,instruct,plugnplay,retrieval,0.16417774558067322,0.22479695081710815,0.8791236877441406,0.16417774558067322,0.15549887716770172,0.9778116345405579,0.16417774558067322,0.1757977455854416,0.6755473017692566
30,ncert-match-3,retrieval,plugnplay,instruct,0.1622806042432785,0.18038585782051086,0.9563454985618591,0.1622806042432785,0.23611997067928314,0.9866408109664917,0.1622806042432785,0.21267935633659363,0.847762942314148
31,ncert-larger-4,instruct,plugnplay,retrieval,0.15764294564723969,0.22253981232643127,0.9496057033538818,0.15764294564723969,0.18360278010368347,0.9515658617019653,0.15764294564723969,0.15250417590141296,0.7270672917366028
32,ncert-calculate-1,instruct,plugnplay,retrieval,0.16741609573364258,0.18097452819347382,0.9638819098472595,0.16741609573364258,0.20445138216018677,0.9648516178131104,0.16741609573364258,0.17381501197814941,0.7985553741455078
33,k5-count-12,retrieval,plugnplay,instruct,0.14722298085689545,0.16284765303134918,0.9645547866821289,0.14722298085689545,0.1547877937555313,0.9813377857208252,0.14722298085689545,0.21267935633659363,0.8345177173614502
34,k5-analyse-7,instruct,retrieval,plugnplay,0.19260971248149872,0.19721052050590515,0.8690165281295776,0.19260971248149872,0.1720040738582611,0.9681222438812256,0.19260971248149872,0.19726446270942688,0.734408438205719
35,ncert-standing-1,instruct,retrieval,plugnplay,0.17792023718357086,0.17948974668979645,0.9101265668869019,0.1779201477766037,0.1611122190952301,0.9293994903564453,0.17792023718357086,0.2149757742881775,0.685512125492096
36,ncert-liquid-1,plugnplay,instruct,retrieval,0.14573144912719727,0.15633447468280792,0.8159571886062622,0.14573144912719727,0.15691666305065155,0.971240758895874,0.14573144912719727,0.1757977455854416,0.6776248216629028
37,ncert-fill-2,retrieval,instruct,plugnplay,0.1764310598373413,0.22571709752082825,0.920566201210022,0.1764310598373413,0.17062163352966309,0.974333643913269,0.1764310598373413,0.18410998582839966,0.893197774887085
