id,src_domain,domain_1,domain_2,domain_3,instructpix2pix_src_clip,instructpix2pix_tgt_clip,instructpix2pix_src_tgt_dino,blip-gpt-plugnplay_src_clip,blip-gpt-plugnplay_tgt_clip,blip-gpt-plugnplay_src_tgt_dino,retrieval_src_clip,retrieval_tgt_clip,retrieval_src_tgt_dino
0,ncert-measure-1,plugnplay,instruct,retrieval,0.17675398290157318,0.204633429646492,0.9735978841781616,0.17675398290157318,0.1625066101551056,0.959641695022583,0.17675398290157318,0.169138103723526,0.9117570519447327
1,k5-sort_data-5,retrieval,instruct,plugnplay,0.18641456961631775,0.24084460735321045,0.9456780552864075,0.18641456961631775,0.1780962347984314,0.9756797552108765,0.18641456961631775,0.10940699279308319,0.8110665082931519
2,ncert-count-objects-2,plugnplay,instruct,retrieval,0.15947145223617554,0.22474031150341034,0.9836521744728088,0.15947145223617554,0.14826279878616333,0.9660283923149109,0.15947145223617554,0.14210288226604462,0.8952490091323853
3,k5-count-7,retrieval,plugnplay,instruct,0.17370527982711792,0.20912621915340424,0.9215636253356934,0.17370527982711792,0.17628762125968933,0.9890888929367065,0.17370527982711792,0.11669186502695084,0.8800076246261597
4,k5-count-10,instruct,plugnplay,retrieval,0.17522954940795898,0.20706653594970703,0.8936745524406433,0.17522954940795898,0.1780264526605606,0.9595843553543091,0.17522954940795898,0.12749169766902924,0.8630467653274536
5,k5-analyse-6,instruct,retrieval,plugnplay,0.19446681439876556,0.21899449825286865,0.9569302201271057,0.19446681439876556,0.15103498101234436,0.956906795501709,0.19446681439876556,0.13878101110458374,0.8507294654846191
6,ncert-count-objects-1,instruct,plugnplay,retrieval,0.14961515367031097,0.23755891621112823,0.8647470474243164,0.14961515367031097,0.16148468852043152,0.9782780408859253,0.14961515367031097,0.11239851266145706,0.7385406494140625
7,k5-analyse-3,instruct,retrieval,plugnplay,0.17222803831100464,0.20061197876930237,0.9308377504348755,0.17222803831100464,0.1869027316570282,0.9772080183029175,0.17222803831100464,0.1529059112071991,0.8523923754692078
8,k5-analyse-8,retrieval,instruct,plugnplay,0.19434881210327148,0.22291825711727142,0.8667617440223694,0.19434881210327148,0.1674903780221939,0.9677807688713074,0.19434881210327148,0.18226628005504608,0.8507546186447144
9,k5-belong-1,retrieval,plugnplay,instruct,0.16573208570480347,0.19970136880874634,0.8975560665130615,0.16573208570480347,0.17210164666175842,0.9671889543533325,0.16573208570480347,0.1572781503200531,0.8314847946166992
10,ncert-fill-6,instruct,plugnplay,retrieval,0.1533040702342987,0.19579064846038818,0.913457453250885,0.15330415964126587,0.13671301305294037,0.9830992221832275,0.1533040851354599,0.14122819900512695,0.8298709392547607
11,ncert-larger-5,retrieval,instruct,plugnplay,0.18721795082092285,0.2176111787557602,0.9113255739212036,0.18721795082092285,0.19183067977428436,0.9784122109413147,0.18721795082092285,0.13176338374614716,0.7427243590354919
12,ncert-count-objects-5,retrieval,plugnplay,instruct,0.1673842817544937,0.21353687345981598,0.9743334650993347,0.1673842817544937,0.17792291939258575,0.9493699073791504,0.1673842817544937,0.1220453754067421,0.7848039865493774
13,k5-belong-3,instruct,retrieval,plugnplay,0.14753538370132446,0.22537747025489807,0.9026467800140381,0.14753538370132446,0.15670350193977356,0.9570717811584473,0.14753538370132446,0.13129070401191711,0.8189307451248169
14,ncert-match-2,instruct,plugnplay,retrieval,0.15796945989131927,0.1929141730070114,0.9456411600112915,0.15796945989131927,0.1576666235923767,0.9910157918930054,0.15796945989131927,0.16271547973155975,0.941314160823822
15,k5-analyse-11,retrieval,instruct,plugnplay,0.19367848336696625,0.24615222215652466,0.9008356928825378,0.19367848336696625,0.19306957721710205,0.9897651672363281,0.19367848336696625,0.19436995685100555,0.8806869983673096
16,k5-sort-1,plugnplay,retrieval,instruct,0.16354283690452576,0.20883551239967346,0.9138355255126953,0.16354283690452576,0.14926598966121674,0.9263969659805298,0.16354283690452576,0.19154904782772064,0.8520866632461548
17,k5-count-9,instruct,plugnplay,retrieval,0.16627702116966248,0.2302807718515396,0.9245724678039551,0.16627702116966248,0.15343189239501953,0.9771695733070374,0.16627702116966248,0.15647277235984802,0.7872399687767029
18,ncert-fill-5,instruct,plugnplay,retrieval,0.1892598569393158,0.20328041911125183,0.9254993796348572,0.1892598569393158,0.18315967917442322,0.9498182535171509,0.1892598569393158,0.16269831359386444,0.8023723363876343
19,ncert-roll-1,plugnplay,instruct,retrieval,0.15612457692623138,0.23904381692409515,0.8841705322265625,0.15612457692623138,0.18106648325920105,0.954026460647583,0.15612457692623138,0.11239851266145706,0.6928038597106934
20,k5-sort_data-4,instruct,plugnplay,retrieval,0.1703277975320816,0.2328842282295227,0.956655740737915,0.1703277975320816,0.1568858027458191,0.9834786057472229,0.1703277975320816,0.14371398091316223,0.920773983001709
