id,src_domain,domain_1,domain_2,domain_3,instructpix2pix_src_clip,instructpix2pix_tgt_clip,instructpix2pix_src_tgt_dino,blip-gpt-plugnplay_src_clip,blip-gpt-plugnplay_tgt_clip,blip-gpt-plugnplay_src_tgt_dino,retrieval_src_clip,retrieval_tgt_clip,retrieval_src_tgt_dino
0,dive,plugnplay,retrieval,instruct,0.14747333526611328,0.21148201823234558,0.885379433631897,0.14747333526611328,0.15591546893119812,0.9321084022521973,0.14747333526611328,0.1262982189655304,0.7628233432769775
1,ritu-letter,retrieval,plugnplay,instruct,0.13441039621829987,0.15056705474853516,0.9973795413970947,0.13441039621829987,0.15590739250183105,0.9115170240402222,0.13441039621829987,0.15897268056869507,0.8406928777694702
2,rama-town,instruct,plugnplay,retrieval,0.1319788694381714,0.2224797159433365,0.8419840335845947,0.1319788694381714,0.1344195157289505,0.9143259525299072,0.1319788694381714,0.15211781859397888,0.7582849860191345
3,bananas,retrieval,plugnplay,instruct,0.20191004872322083,0.20982855558395386,0.9982852935791016,0.20191004872322083,0.19785600900650024,0.9469462037086487,0.20191004872322083,0.210419699549675,0.8354487419128418
4,china-folktale,instruct,plugnplay,retrieval,0.13099752366542816,0.1385861486196518,0.9795562624931335,0.13099752366542816,0.16218741238117218,0.9705641269683838,0.13099752366542816,0.18279977142810822,0.863982081413269
5,the-cook,retrieval,instruct,plugnplay,0.14737078547477722,0.19419364631175995,0.9746828675270081,0.14737078547477722,0.16068525612354279,0.9687061309814453,0.14737078547477722,0.22648891806602478,0.8335045576095581
6,lake-spy,instruct,retrieval,plugnplay,0.16330885887145996,0.17751769721508026,0.959657609462738,0.16330885887145996,0.146786630153656,0.9184385538101196,0.16330885887145996,0.13364674150943756,0.8101045489311218
7,adventure,plugnplay,retrieval,instruct,0.12683843076229095,0.14058639109134674,0.9862338900566101,0.12683843076229095,0.17236383259296417,0.9077140092849731,0.12683843076229095,0.17984461784362793,0.8892253637313843
8,tea-rugs,retrieval,instruct,plugnplay,0.13030214607715607,0.1567709594964981,0.9432306289672852,0.13030214607715607,0.12976284325122833,0.9004251956939697,0.13030214607715607,0.10266569256782532,0.7797541618347168
9,food-monster,instruct,plugnplay,retrieval,0.1615007221698761,0.20941638946533203,0.8466944098472595,0.1615007221698761,0.18237262964248657,0.9430900812149048,0.1615007221698761,0.2033168077468872,0.7749749422073364
10,singing-tree,instruct,retrieval,plugnplay,0.14957968890666962,0.20257648825645447,0.9722543954849243,0.14957968890666962,0.14616788923740387,0.9393940567970276,0.14957968890666962,0.13062116503715515,0.8488585352897644
11,count-eggs,plugnplay,retrieval,instruct,0.1682378351688385,0.17386458814144135,0.9781751036643982,0.1682378351688385,0.14024877548217773,0.8668292760848999,0.1682378351688385,0.19631826877593994,0.7584376335144043
12,sweet-sour,instruct,retrieval,plugnplay,0.14215542376041412,0.18845665454864502,0.973270833492279,0.14215542376041412,0.15887625515460968,0.9823920726776123,0.14215542376041412,0.16875220835208893,0.8607332706451416
13,book-of-flower,plugnplay,retrieval,instruct,0.16426773369312286,0.18952564895153046,0.9877808094024658,0.16426773369312286,0.14819996058940887,0.9739329814910889,0.16426773369312286,0.18896740674972534,0.8040200471878052
14,the-tree,retrieval,plugnplay,instruct,0.15797364711761475,0.1966744363307953,0.8822547197341919,0.15797364711761475,0.19158270955085754,0.9166290760040283,0.15797364711761475,0.13220874965190887,0.8346669673919678
15,peacocks-pakoda,instruct,retrieval,plugnplay,0.1355755478143692,0.13793201744556427,0.9972630739212036,0.1355755478143692,0.176015242934227,0.8784665465354919,0.1355755478143692,0.09719792008399963,0.8120351433753967
16,mango-tree,plugnplay,retrieval,instruct,0.16304251551628113,0.16039615869522095,0.9954008460044861,0.16304251551628113,0.17732539772987366,0.9335782527923584,0.16304251551628113,0.15765349566936493,0.7821567058563232
17,grandfather-strike,plugnplay,instruct,retrieval,0.15203990042209625,0.23486408591270447,0.8731056451797485,0.15203990042209625,0.1774427592754364,0.9028828144073486,0.15203990042209625,0.1319139003753662,0.8919343948364258
18,my-family,plugnplay,instruct,retrieval,0.12545442581176758,0.2196393460035324,0.9110770225524902,0.12545442581176758,0.15660972893238068,0.9413110017776489,0.12545442581176758,0.18967938423156738,0.9315340518951416
19,going-home,retrieval,instruct,plugnplay,0.18047741055488586,0.1739930510520935,0.9405609369277954,0.18047741055488586,0.18820154666900635,0.9691418409347534,0.18047741055488586,0.17492274940013885,0.821489691734314
20,coffee-legend,plugnplay,retrieval,instruct,0.12991963326931,0.13498151302337646,0.939997136592865,0.12991963326931,0.14092321693897247,0.9223660230636597,0.12991963326931,0.16046655178070068,0.643409013748169
21,football,retrieval,plugnplay,instruct,0.16577287018299103,0.20787979662418365,0.9475593566894531,0.16577287018299103,0.18016162514686584,0.9778500199317932,0.16577287018299103,0.1785782128572464,0.7887306213378906
22,yummy-corn,retrieval,plugnplay,instruct,0.1742430031299591,0.1640404760837555,0.99312424659729,0.1742430031299591,0.16481582820415497,0.8796201944351196,0.1742430031299591,0.2586232125759125,0.8608741760253906
23,city-stories,plugnplay,retrieval,instruct,0.13946491479873657,0.16154079139232635,0.994516134262085,0.13946491479873657,0.18467596173286438,0.9511072635650635,0.13946491479873657,0.21336863934993744,0.794330358505249
24,father-inheritance,instruct,retrieval,plugnplay,0.15095385909080505,0.21986046433448792,0.935059666633606,0.15095385909080505,0.18876676261425018,0.8438326716423035,0.15095385909080505,0.12926608324050903,0.7396257519721985
25,rain-singing,plugnplay,instruct,retrieval,0.16667306423187256,0.16993291676044464,0.9890509843826294,0.16667306423187256,0.1749371588230133,0.9429063200950623,0.16667306423187256,0.18232080340385437,0.8186284899711609
26,king-food,retrieval,instruct,plugnplay,0.15073740482330322,0.2086675614118576,0.9456215500831604,0.15073740482330322,0.18571938574314117,0.9649837017059326,0.15073740482330322,0.1759326010942459,0.7837445735931396
27,tiffing-gang,retrieval,instruct,plugnplay,0.12087202817201614,0.12250305712223053,0.9859218597412109,0.12087202817201614,0.17833930253982544,0.9447590112686157,0.12087202817201614,0.1680508852005005,0.8085991144180298
28,carnival-day,instruct,retrieval,plugnplay,0.1465844362974167,0.1534150391817093,0.9958438873291016,0.1465844362974167,0.13620710372924805,0.973674476146698,0.1465844362974167,0.1791841685771942,0.731385350227356
29,kali-dance,retrieval,instruct,plugnplay,0.1747392863035202,0.21143756806850433,0.988745927810669,0.1747392863035202,0.19024814665317535,0.9346862435340881,0.1747392863035202,0.17492276430130005,0.78868567943573
30,friends-in-wild,instruct,retrieval,plugnplay,0.1422201246023178,0.13428448140621185,0.9963087439537048,0.1422201246023178,0.14858265221118927,0.9440382719039917,0.1422201246023178,0.13033807277679443,0.8790830373764038
31,camel-kalem,retrieval,plugnplay,instruct,0.1420036256313324,0.13862918317317963,0.9199811220169067,0.1420036256313324,0.19014331698417664,0.9183657169342041,0.1420036256313324,0.17513218522071838,0.8566461801528931
32,red-tshirt,plugnplay,instruct,retrieval,0.12818701565265656,0.14054390788078308,0.9817396998405457,0.12818701565265656,0.16096337139606476,0.9535918235778809,0.12818701565265656,0.183869406580925,0.840215802192688
33,make-ghee,retrieval,instruct,plugnplay,0.1333790123462677,0.22048670053482056,0.9210224747657776,0.1333790123462677,0.17406195402145386,0.8451129198074341,0.1333790123462677,0.195834219455719,0.7542723417282104
