id,src_domain,domain_1,domain_2,domain_3,instructpix2pix_src_clip,instructpix2pix_tgt_clip,instructpix2pix_src_tgt_dino,blip-gpt-plugnplay_src_clip,blip-gpt-plugnplay_tgt_clip,blip-gpt-plugnplay_src_tgt_dino,retrieval_src_clip,retrieval_tgt_clip,retrieval_src_tgt_dino
0,dive,plugnplay,retrieval,instruct,0.1503729224205017,0.14824718236923218,0.9912811517715454,0.1503729224205017,0.14395759999752045,0.8909839391708374,0.1503729224205017,0.15558816492557526,0.7538421154022217
1,ritu-letter,retrieval,plugnplay,instruct,0.20267224311828613,0.23433932662010193,0.9569518566131592,0.20267224311828613,0.20871266722679138,0.9140782356262207,0.20267224311828613,0.1885109841823578,0.8409031629562378
2,rama-town,instruct,plugnplay,retrieval,0.19089478254318237,0.20149469375610352,0.9698704481124878,0.19089478254318237,0.18210265040397644,0.9280252456665039,0.19089478254318237,0.2180355042219162,0.821750283241272
3,bananas,retrieval,plugnplay,instruct,0.24090448021888733,0.2199205756187439,0.8805557489395142,0.24090448021888733,0.22823697328567505,0.9600993394851685,0.24090448021888733,0.15558816492557526,0.7653128504753113
4,china-folktale,instruct,plugnplay,retrieval,0.16153182089328766,0.15939778089523315,0.9948015213012695,0.16153182089328766,0.19263207912445068,0.9711400270462036,0.16153182089328766,0.19383347034454346,0.8901616334915161
5,the-cook,retrieval,instruct,plugnplay,0.19836613535881042,0.20242394506931305,0.9969123005867004,0.19836613535881042,0.19083569943904877,0.9684639573097229,0.19836613535881042,0.16618111729621887,0.8415687084197998
6,lake-spy,instruct,retrieval,plugnplay,0.18574360013008118,0.1760488599538803,0.9974511861801147,0.18574360013008118,0.22388727962970734,0.886833906173706,0.18574360013008118,0.19333922863006592,0.8256657123565674
7,adventure,plugnplay,retrieval,instruct,0.1201557070016861,0.12199711799621582,0.9978411197662354,0.1201557070016861,0.17992167174816132,0.9397565722465515,0.1201557070016861,0.17754648625850677,0.8659852147102356
8,tea-rugs,retrieval,instruct,plugnplay,0.21345557272434235,0.21586394309997559,0.9015779495239258,0.21345557272434235,0.09990523010492325,0.9037235975265503,0.21345557272434235,0.14575530588626862,0.7988532781600952
9,food-monster,instruct,plugnplay,retrieval,0.19721364974975586,0.20063087344169617,0.9811291098594666,0.19721364974975586,0.16439250111579895,0.923251748085022,0.19721364974975586,0.18558835983276367,0.7796224355697632
10,singing-tree,instruct,retrieval,plugnplay,0.1308695524930954,0.21861012279987335,0.9503358602523804,0.1308695524930954,0.18661245703697205,0.9328118562698364,0.1308695524930954,0.18731023371219635,0.7739866375923157
11,count-eggs,plugnplay,retrieval,instruct,0.18044739961624146,0.17637214064598083,0.9959372878074646,0.18044739961624146,0.1518578827381134,0.8300426602363586,0.18044739961624146,0.18674606084823608,0.7775987982749939
12,sweet-sour,instruct,retrieval,plugnplay,0.2094133049249649,0.20099687576293945,0.9940631985664368,0.2094133049249649,0.20148372650146484,0.968977153301239,0.2094133049249649,0.2092193216085434,0.8349390625953674
13,book-of-flower,plugnplay,retrieval,instruct,0.17311331629753113,0.17534619569778442,0.998374342918396,0.17311331629753113,0.16584859788417816,0.9409809708595276,0.17311331629753113,0.2003748118877411,0.8148086071014404
14,the-tree,retrieval,plugnplay,instruct,0.1682567000389099,0.19420771300792694,0.9750820994377136,0.1682567000389099,0.16458430886268616,0.9074933528900146,0.1682567000389099,0.17082864046096802,0.8090741634368896
15,peacocks-pakoda,instruct,retrieval,plugnplay,0.18957841396331787,0.19289427995681763,0.9973347187042236,0.18957841396331787,0.2074691206216812,0.9211018681526184,0.18957841396331787,0.16377988457679749,0.768073558807373
16,mango-tree,plugnplay,retrieval,instruct,0.15350957214832306,0.1723901331424713,0.9717848300933838,0.15350957214832306,0.17429682612419128,0.9204820394515991,0.15350957214832306,0.18735148012638092,0.7991870641708374
17,grandfather-strike,plugnplay,instruct,retrieval,0.22016286849975586,0.2195993959903717,0.9967974424362183,0.22016286849975586,0.1611231565475464,0.9230262637138367,0.22016286849975586,0.16018059849739075,0.8268963694572449
18,my-family,plugnplay,instruct,retrieval,0.21065351366996765,0.21830374002456665,0.911032497882843,0.21065351366996765,0.21200305223464966,0.9829905033111572,0.21065351366996765,0.17016246914863586,0.8719674348831177
19,going-home,retrieval,instruct,plugnplay,0.17901112139225006,0.18595042824745178,0.9581837058067322,0.17901112139225006,0.18474821746349335,0.9627214670181274,0.17901112139225006,0.20740187168121338,0.8486456871032715
