id,src_domain,domain_1,domain_2,domain_3,instructpix2pix_src_clip,instructpix2pix_tgt_clip,instructpix2pix_src_tgt_dino,blip-gpt-plugnplay_src_clip,blip-gpt-plugnplay_tgt_clip,blip-gpt-plugnplay_src_tgt_dino,retrieval_src_clip,retrieval_tgt_clip,retrieval_src_tgt_dino
0,dive,plugnplay,retrieval,instruct,0.15406036376953125,0.17949867248535156,0.941806435585022,0.15406036376953125,0.15960094332695007,0.9386516213417053,0.15406036376953125,0.15973727405071259,0.8750793933868408
1,ritu-letter,retrieval,plugnplay,instruct,0.14067481458187103,0.15571537613868713,0.9976838827133179,0.14067481458187103,0.16052481532096863,0.9128578901290894,0.14067481458187103,0.13238893449306488,0.7196500301361084
2,rama-town,instruct,plugnplay,retrieval,0.14029084146022797,0.17070069909095764,0.997528076171875,0.14029084146022797,0.15129880607128143,0.9546948671340942,0.14029084146022797,0.21458211541175842,0.8202366828918457
3,bananas,retrieval,plugnplay,instruct,0.15655264258384705,0.15864792466163635,0.9985241889953613,0.15655264258384705,0.1998797506093979,0.9423727989196777,0.15655264258384705,0.1915908306837082,0.8637962341308594
4,china-folktale,instruct,plugnplay,retrieval,0.1552920937538147,0.154210165143013,0.9991850256919861,0.1552920937538147,0.18824338912963867,0.9835989475250244,0.1552920937538147,0.22427213191986084,0.8497519493103027
5,the-cook,retrieval,instruct,plugnplay,0.16089873015880585,0.17217127978801727,0.9983787536621094,0.16089873015880585,0.202645406126976,0.9710681438446045,0.16089873015880585,0.20183400809764862,0.710683286190033
6,lake-spy,instruct,retrieval,plugnplay,0.1669405996799469,0.18988077342510223,0.8665957450866699,0.1669405996799469,0.1966235190629959,0.8864740133285522,0.1669405996799469,0.209141343832016,0.7686302661895752
7,adventure,plugnplay,retrieval,instruct,0.11634673178195953,0.1192927211523056,0.9978328347206116,0.11634673178195953,0.12049107253551483,0.9202222228050232,0.11634673178195953,0.15723533928394318,0.7864073514938354
8,tea-rugs,retrieval,instruct,plugnplay,0.1273321956396103,0.12422311305999756,0.9957124590873718,0.1273321956396103,0.18337738513946533,0.9539498090744019,0.1273321956396103,0.17696574330329895,0.8000348806381226
9,food-monster,instruct,plugnplay,retrieval,0.1471220701932907,0.14284361898899078,0.9953957200050354,0.1471220701932907,0.13733936846256256,0.9358046650886536,0.1471220701932907,0.15638397634029388,0.7788339257240295
10,singing-tree,instruct,retrieval,plugnplay,0.12705321609973907,0.2000603973865509,0.905639111995697,0.12705321609973907,0.19105049967765808,0.9278740882873535,0.12705321609973907,0.20281362533569336,0.8322492837905884
11,count-eggs,plugnplay,retrieval,instruct,0.13972759246826172,0.1432306319475174,0.9895929098129272,0.13972759246826172,0.1973162591457367,0.8792214393615723,0.13972759246826172,0.1800389140844345,0.7591957449913025
12,sweet-sour,instruct,retrieval,plugnplay,0.1399584263563156,0.13444377481937408,0.993100106716156,0.1399584263563156,0.20517194271087646,0.9488711357116699,0.1399584263563156,0.16986578702926636,0.8331354260444641
13,book-of-flower,plugnplay,retrieval,instruct,0.15967398881912231,0.1562591791152954,0.99803227186203,0.15967398881912231,0.18059395253658295,0.9668005704879761,0.15967398881912231,0.16892953217029572,0.8617959022521973
14,the-tree,retrieval,plugnplay,instruct,0.15059512853622437,0.18719840049743652,0.8650655150413513,0.15059512853622437,0.1861487776041031,0.8894087076187134,0.15059512853622437,0.18756186962127686,0.7969719171524048
15,peacocks-pakoda,instruct,retrieval,plugnplay,0.14924581348896027,0.16385608911514282,0.9966460466384888,0.14924581348896027,0.1635555624961853,0.8724942207336426,0.14924581348896027,0.11228812485933304,0.7390509843826294
16,mango-tree,plugnplay,retrieval,instruct,0.1436750441789627,0.1416161060333252,0.9964773654937744,0.1436750441789627,0.19924066960811615,0.9482294321060181,0.1436750441789627,0.19668814539909363,0.7816932201385498
17,grandfather-strike,plugnplay,instruct,retrieval,0.13644829392433167,0.18822608888149261,0.8435919284820557,0.13644829392433167,0.15319137275218964,0.9136667251586914,0.13644829392433167,0.15316562354564667,0.8908768892288208
18,my-family,plugnplay,instruct,retrieval,0.11985590308904648,0.11782101541757584,0.9974099397659302,0.11985590308904648,0.19369573891162872,0.9755280017852783,0.11985590308904648,0.22181154787540436,0.9280725121498108
19,going-home,retrieval,instruct,plugnplay,0.16526436805725098,0.1744697540998459,0.8565207719802856,0.16526436805725098,0.1967877447605133,0.9610958099365234,0.16526436805725098,0.18742521107196808,0.832758903503418
20,coffee-legend,plugnplay,retrieval,instruct,0.12294955551624298,0.18337182700634003,0.8580539226531982,0.12294955551624298,0.17522110044956207,0.9374624490737915,0.12294955551624298,0.19124644994735718,0.8544450998306274
21,football,retrieval,plugnplay,instruct,0.1395118683576584,0.21416500210762024,0.9710417985916138,0.1395118683576584,0.16233590245246887,0.9560617208480835,0.1395118683576584,0.1718086153268814,0.7516985535621643
22,yummy-corn,retrieval,plugnplay,instruct,0.18487848341464996,0.21833489835262299,0.9957179427146912,0.18487848341464996,0.20648398995399475,0.8802261352539062,0.18487848341464996,0.18927106261253357,0.8329667448997498
23,city-stories,plugnplay,retrieval,instruct,0.12151451408863068,0.1358160376548767,0.9980486631393433,0.12151451408863068,0.16641560196876526,0.9188803434371948,0.12151451408863068,0.15986785292625427,0.8552619218826294
24,father-inheritance,instruct,retrieval,plugnplay,0.11648795008659363,0.11559244245290756,0.9978899955749512,0.11648795008659363,0.2117156833410263,0.8999700546264648,0.11648795008659363,0.20624512434005737,0.7446625232696533
25,rain-singing,plugnplay,instruct,retrieval,0.1347998082637787,0.13512194156646729,0.9975616335868835,0.1347998082637787,0.2116832733154297,0.9254318475723267,0.1347998082637787,0.21798701584339142,0.8325108885765076
26,king-food,retrieval,instruct,plugnplay,0.15260440111160278,0.15153354406356812,0.998725414276123,0.15260440111160278,0.1830253005027771,0.9877417683601379,0.15260440111160278,0.19822834432125092,0.8619124889373779
27,tiffing-gang,retrieval,instruct,plugnplay,0.10678662359714508,0.1692882776260376,0.9531375169754028,0.10678662359714508,0.1980845034122467,0.9477574825286865,0.10678662359714508,0.18748417496681213,0.8021080493927002
28,carnival-day,instruct,retrieval,plugnplay,0.14277268946170807,0.15220780670642853,0.9885236024856567,0.14277268946170807,0.14870230853557587,0.9328950643539429,0.14277268946170807,0.20012328028678894,0.8454744815826416
29,kali-dance,retrieval,instruct,plugnplay,0.170842707157135,0.1632266491651535,0.9974579811096191,0.170842707157135,0.12909053266048431,0.9452924728393555,0.170842707157135,0.13251091539859772,0.8617455959320068
30,friends-in-wild,instruct,retrieval,plugnplay,0.13010291755199432,0.13116738200187683,0.9978470802307129,0.13010291755199432,0.16398225724697113,0.9421886205673218,0.13010291755199432,0.15427082777023315,0.8455962538719177
31,camel-kalem,retrieval,plugnplay,instruct,0.1386558711528778,0.1263306736946106,0.9967049360275269,0.1386558711528778,0.1832718551158905,0.8996647596359253,0.1386558711528778,0.1695307046175003,0.8737953901290894
32,red-tshirt,plugnplay,instruct,retrieval,0.12134148180484772,0.12445932626724243,0.9986878633499146,0.12134148180484772,0.19644293189048767,0.965303361415863,0.12134148180484772,0.19124643504619598,0.8773062229156494
33,make-ghee,retrieval,instruct,plugnplay,0.1303454488515854,0.18818950653076172,0.8506928086280823,0.1303454488515854,0.1996430903673172,0.8182283043861389,0.1303454488515854,0.1937096118927002,0.7539354562759399
34,moon-pizza,retrieval,instruct,plugnplay,0.13176777958869934,0.17942629754543304,0.8724110126495361,0.13176777958869934,0.13085664808750153,0.946672797203064,0.13176777958869934,0.13225899636745453,0.6786797046661377
35,desert-camel,retrieval,instruct,plugnplay,0.1048896461725235,0.09586063772439957,0.9974830150604248,0.1048896461725235,0.18734526634216309,0.882455587387085,0.1048896461725235,0.15569159388542175,0.7370824217796326
36,lassi-icecream-falooda,retrieval,instruct,plugnplay,0.1286778599023819,0.13467015326023102,0.9973083138465881,0.1286778599023819,0.165683314204216,0.9421638250350952,0.1286778599023819,0.18277809023857117,0.8486371636390686
37,ammachi-machine,instruct,retrieval,plugnplay,0.11661283671855927,0.1221989095211029,0.996941864490509,0.11661283671855927,0.2014005184173584,0.8788942098617554,0.11661283671855927,0.17562445998191833,0.7959735989570618
38,mom-callbird,instruct,plugnplay,retrieval,0.13443195819854736,0.20637324452400208,0.8995398879051208,0.13443195819854736,0.13000652194023132,0.8553152084350586,0.13443195819854736,0.15638397634029388,0.7717905044555664
