id,src_domain,domain_1,domain_2,domain_3,instructpix2pix_src_clip,instructpix2pix_tgt_clip,instructpix2pix_src_tgt_dino,blip-gpt-plugnplay_src_clip,blip-gpt-plugnplay_tgt_clip,blip-gpt-plugnplay_src_tgt_dino,retrieval_src_clip,retrieval_tgt_clip,retrieval_src_tgt_dino
0,dive,plugnplay,retrieval,instruct,0.12900303304195404,0.14182107150554657,0.9858294725418091,0.12900303304195404,0.1472126841545105,0.9321084022521973,0.12900303304195404,0.1255418211221695,0.7878797054290771
1,ritu-letter,retrieval,plugnplay,instruct,0.12549102306365967,0.23606303334236145,0.936180591583252,0.12549102306365967,0.12511767446994781,0.9128578901290894,0.12549102306365967,0.1769917905330658,0.724158763885498
2,rama-town,instruct,plugnplay,retrieval,0.1577560156583786,0.1882571280002594,0.9972696304321289,0.1577560156583786,0.20092013478279114,0.9027085304260254,0.1577560156583786,0.21932938694953918,0.8399549722671509
3,bananas,retrieval,plugnplay,instruct,0.19280780851840973,0.22090788185596466,0.9241365790367126,0.19280780851840973,0.204879030585289,0.9699273109436035,0.19280780851840973,0.17600813508033752,0.8275054693222046
4,china-folktale,instruct,plugnplay,retrieval,0.15051835775375366,0.1637972742319107,0.9946272373199463,0.15051835775375366,0.19730393588542938,0.9714841842651367,0.15051835775375366,0.23596368730068207,0.8730815052986145
5,the-cook,retrieval,instruct,plugnplay,0.14443950355052948,0.2215423434972763,0.9716991186141968,0.14443950355052948,0.18292593955993652,0.9784941673278809,0.14443950355052948,0.19824078679084778,0.7231147289276123
6,lake-spy,instruct,retrieval,plugnplay,0.15757177770137787,0.1905187964439392,0.9870737791061401,0.15757177770137787,0.14678823947906494,0.9209510087966919,0.15757177770137787,0.15078911185264587,0.8072609901428223
7,adventure,plugnplay,retrieval,instruct,0.1741916686296463,0.1801512986421585,0.9977299571037292,0.1741916686296463,0.17619217932224274,0.9413800835609436,0.1741916686296463,0.2219102680683136,0.8720618486404419
8,tea-rugs,retrieval,instruct,plugnplay,0.14422298967838287,0.20041383802890778,0.9533724784851074,0.14422298967838287,0.12277437746524811,0.9124343395233154,0.14422298967838287,0.16132532060146332,0.7701025009155273
9,food-monster,instruct,plugnplay,retrieval,0.1552356481552124,0.17284321784973145,0.9951631426811218,0.1552356481552124,0.17622290551662445,0.923251748085022,0.1552356481552124,0.13650205731391907,0.8134714365005493
10,singing-tree,instruct,retrieval,plugnplay,0.167772114276886,0.21785706281661987,0.905055046081543,0.167772114276886,0.1578003466129303,0.9461265802383423,0.167772114276886,0.1875884085893631,0.7841058373451233
11,count-eggs,plugnplay,retrieval,instruct,0.1501365303993225,0.23436743021011353,0.9232981204986572,0.1501365303993225,0.18590068817138672,0.8679382801055908,0.1501365303993225,0.13446356356143951,0.8095803260803223
12,sweet-sour,instruct,retrieval,plugnplay,0.15318769216537476,0.16484159231185913,0.9892126321792603,0.15318769216537476,0.19266869127750397,0.9649577140808105,0.15318769216537476,0.20312677323818207,0.7987267971038818
13,book-of-flower,plugnplay,retrieval,instruct,0.14604370296001434,0.1904892772436142,0.8681260347366333,0.14604370296001434,0.13589242100715637,0.963685929775238,0.14604370296001434,0.14651918411254883,0.8208930492401123
14,the-tree,retrieval,plugnplay,instruct,0.1692158728837967,0.19377954304218292,0.8535016775131226,0.1692158728837967,0.17989328503608704,0.9156474471092224,0.1692158728837967,0.15411950647830963,0.7551093101501465
15,peacocks-pakoda,instruct,retrieval,plugnplay,0.14317524433135986,0.17182664573192596,0.9459146857261658,0.14317524433135986,0.1938898265361786,0.9222130179405212,0.14317524433135986,0.19400276243686676,0.8211493492126465
16,mango-tree,plugnplay,retrieval,instruct,0.15630830824375153,0.21040792763233185,0.9179848432540894,0.15630830824375153,0.18829382956027985,0.9252098798751831,0.15630830824375153,0.0778416246175766,0.8380836248397827
17,grandfather-strike,plugnplay,instruct,retrieval,0.1577630639076233,0.17686526477336884,0.9702504277229309,0.1577630639076233,0.1531752198934555,0.9105411767959595,0.1577630639076233,0.2020738422870636,0.8012674450874329
18,my-family,plugnplay,instruct,retrieval,0.13690593838691711,0.24539382755756378,0.9231029152870178,0.13690593838691711,0.15843641757965088,0.9786709547042847,0.13690593838691711,0.22191019356250763,0.8911222219467163
19,going-home,retrieval,instruct,plugnplay,0.16021962463855743,0.1577187329530716,0.997613787651062,0.16021962463855743,0.15157116949558258,0.9548176527023315,0.16021962463855743,0.15601414442062378,0.7985339164733887
20,coffee-legend,plugnplay,retrieval,instruct,0.14229094982147217,0.1503371000289917,0.9968082308769226,0.14229094982147217,0.14362837374210358,0.9376893639564514,0.14229094982147217,0.11395404487848282,0.7417358160018921
21,football,retrieval,plugnplay,instruct,0.19453591108322144,0.19247883558273315,0.9959728717803955,0.19453591108322144,0.19625049829483032,0.9773702621459961,0.19453591108322144,0.17326852679252625,0.7663150429725647
22,yummy-corn,retrieval,plugnplay,instruct,0.16276025772094727,0.23874150216579437,0.9459155797958374,0.16276025772094727,0.18586646020412445,0.8795303106307983,0.16276025772094727,0.2513706684112549,0.8411211371421814
23,city-stories,plugnplay,retrieval,instruct,0.12612932920455933,0.17212510108947754,0.9632337689399719,0.12612932920455933,0.17679789662361145,0.9614602327346802,0.12612932920455933,0.19933214783668518,0.7365826368331909
