id,src_domain,domain_1,domain_2,domain_3,instructpix2pix_src_clip,instructpix2pix_tgt_clip,instructpix2pix_src_tgt_dino,blip-gpt-plugnplay_src_clip,blip-gpt-plugnplay_tgt_clip,blip-gpt-plugnplay_src_tgt_dino,retrieval_src_clip,retrieval_tgt_clip,retrieval_src_tgt_dino
0,dive,plugnplay,retrieval,instruct,0.12551188468933105,0.1266651302576065,0.9616570472717285,0.12551188468933105,0.13729800283908844,0.9321084022521973,0.12551188468933105,0.09955540299415588,0.8776657581329346
1,ritu-letter,retrieval,plugnplay,instruct,0.13932478427886963,0.1605808436870575,0.9975923299789429,0.13932478427886963,0.1594301462173462,0.9111950397491455,0.13932478427886963,0.10215239971876144,0.8403949737548828
2,rama-town,instruct,plugnplay,retrieval,0.15204040706157684,0.1651725172996521,0.9582052230834961,0.15204040706157684,0.1582336127758026,0.913791298866272,0.15204040706157684,0.21992819011211395,0.8373178243637085
3,bananas,retrieval,plugnplay,instruct,0.18705560266971588,0.1862395852804184,0.9070972204208374,0.18705560266971588,0.23772580921649933,0.9320840239524841,0.18705560266971588,0.22329720854759216,0.7809392213821411
4,china-folktale,instruct,plugnplay,retrieval,0.1431313455104828,0.1415264755487442,0.9990609884262085,0.1431313455104828,0.17141786217689514,0.9705641269683838,0.1431313455104828,0.17344984412193298,0.9194738864898682
5,the-cook,retrieval,instruct,plugnplay,0.15620775520801544,0.18286579847335815,0.6959307193756104,0.15620775520801544,0.17198637127876282,0.9743460416793823,0.15620781481266022,0.25071409344673157,0.7520569562911987
6,lake-spy,instruct,retrieval,plugnplay,0.14657363295555115,0.15315081179141998,0.9385939836502075,0.14657363295555115,0.1609303504228592,0.9159244298934937,0.14657363295555115,0.12609098851680756,0.7659690380096436
7,adventure,plugnplay,retrieval,instruct,0.12290695309638977,0.12477467954158783,0.9976935982704163,0.12290695309638977,0.13827747106552124,0.9396613240242004,0.12290696799755096,0.1912371963262558,0.8989945650100708
8,tea-rugs,retrieval,instruct,plugnplay,0.14643220603466034,0.15034237504005432,0.9854273796081543,0.14643220603466034,0.13442231714725494,0.9037235975265503,0.14643220603466034,0.15395092964172363,0.8080573081970215
9,food-monster,instruct,plugnplay,retrieval,0.14565379917621613,0.2063150703907013,0.886673092842102,0.14565379917621613,0.15859055519104004,0.9485735893249512,0.14565379917621613,0.12981411814689636,0.8190842866897583
10,singing-tree,instruct,retrieval,plugnplay,0.127010777592659,0.1285877525806427,0.9943143725395203,0.127010777592659,0.17831212282180786,0.9253836870193481,0.127010777592659,0.19173812866210938,0.8133282661437988
11,count-eggs,plugnplay,retrieval,instruct,0.15578868985176086,0.13994501531124115,0.9953723549842834,0.15578868985176086,0.12574529647827148,0.8433225154876709,,,
12,sweet-sour,instruct,retrieval,plugnplay,0.13787928223609924,0.18375098705291748,0.8214246034622192,0.13787928223609924,0.16093604266643524,0.9688237309455872,0.13787928223609924,0.1842269003391266,0.8587245941162109
13,book-of-flower,plugnplay,retrieval,instruct,0.1650058627128601,0.21028488874435425,0.8504843711853027,0.1650058627128601,0.1541551798582077,0.9640791416168213,0.1650058627128601,0.09607619047164917,0.8349052667617798
14,the-tree,retrieval,plugnplay,instruct,0.16198194026947021,0.16226160526275635,0.9132521748542786,0.16198194026947021,0.14960068464279175,0.907368004322052,0.16198194026947021,0.09092985838651657,0.8242236375808716
15,peacocks-pakoda,instruct,retrieval,plugnplay,0.16741502285003662,0.1589091420173645,0.9885331392288208,0.16741502285003662,0.20450863242149353,0.9152573347091675,0.16741502285003662,0.1842269003391266,0.7780160903930664
16,mango-tree,plugnplay,retrieval,instruct,0.16703085601329803,0.18040074408054352,0.9185377955436707,0.16703085601329803,0.1734658032655716,0.9111045002937317,0.16703085601329803,0.22998476028442383,0.8608747720718384
17,grandfather-strike,plugnplay,instruct,retrieval,0.16521084308624268,0.1603545844554901,0.9965548515319824,0.16521084308624268,0.1596771627664566,0.9253400564193726,0.16521084308624268,0.16627897322177887,0.8285413980484009
18,my-family,plugnplay,instruct,retrieval,0.12865978479385376,0.21402482688426971,0.9185948371887207,0.12865978479385376,0.1773642748594284,0.9815723896026611,0.12865978479385376,0.18718266487121582,0.8789175152778625
19,going-home,retrieval,instruct,plugnplay,0.19269143044948578,0.1791318953037262,0.9008690714836121,0.19269143044948578,0.15872497856616974,0.9702504873275757,0.19269144535064697,0.2023800015449524,0.8456485271453857
20,coffee-legend,plugnplay,retrieval,instruct,0.1472424417734146,0.15104259550571442,0.9966950416564941,0.1472424417734146,0.14314384758472443,0.9408456087112427,0.14724239706993103,0.11803235113620758,0.827771782875061
21,football,retrieval,plugnplay,instruct,0.1589846909046173,0.17222806811332703,0.9352665543556213,0.1589846909046173,0.17439588904380798,0.9749531745910645,0.1589846909046173,0.14121878147125244,0.7789570093154907
22,yummy-corn,retrieval,plugnplay,instruct,0.15703225135803223,0.14321915805339813,0.944266676902771,0.15703225135803223,0.16033779084682465,0.8844387531280518,0.15703225135803223,0.14288429915905,0.8391469717025757
23,city-stories,plugnplay,retrieval,instruct,0.15388160943984985,0.16239431500434875,0.998032808303833,0.15388160943984985,0.2140425145626068,0.9707695245742798,0.15388160943984985,0.1842269003391266,0.7621745467185974
24,father-inheritance,instruct,retrieval,plugnplay,0.14637617766857147,0.14832158386707306,0.9971613883972168,0.14637617766857147,0.16105219721794128,0.915928840637207,0.14637617766857147,0.1477028876543045,0.7386318445205688
