id,src_domain,domain_1,domain_2,domain_3,instructpix2pix_src_clip,instructpix2pix_tgt_clip,instructpix2pix_src_tgt_dino,blip-gpt-plugnplay_src_clip,blip-gpt-plugnplay_tgt_clip,blip-gpt-plugnplay_src_tgt_dino,retrieval_src_clip,retrieval_tgt_clip,retrieval_src_tgt_dino
0,dive,plugnplay,retrieval,instruct,0.13714481890201569,0.144266277551651,0.9869608879089355,0.13714481890201569,0.14546704292297363,0.9095007181167603,0.13714481890201569,0.10412827879190445,0.8150492906570435
1,ritu-letter,retrieval,plugnplay,instruct,0.15169303119182587,0.1680683046579361,0.9976003170013428,0.15169303119182587,0.1453329175710678,0.9179733991622925,0.15169303119182587,0.144304096698761,0.8751703500747681
2,rama-town,instruct,plugnplay,retrieval,0.14852187037467957,0.16983218491077423,0.9521875381469727,0.14852187037467957,0.12836740911006927,0.9365575313568115,0.14852187037467957,0.13792943954467773,0.7485154867172241
3,bananas,retrieval,plugnplay,instruct,0.19800809025764465,0.21134626865386963,0.9942682385444641,0.19800809025764465,0.20475828647613525,0.9506033062934875,0.19800809025764465,0.15617088973522186,0.8137298226356506
4,china-folktale,instruct,plugnplay,retrieval,0.14194388687610626,0.13891205191612244,0.9991329908370972,0.14194388687610626,0.1427045464515686,0.9738852381706238,0.14194388687610626,0.15244394540786743,0.8526290655136108
5,the-cook,retrieval,instruct,plugnplay,0.1779967099428177,0.19800008833408356,0.973719596862793,0.1779967099428177,0.20451411604881287,0.9783999919891357,0.1779967099428177,0.1944473683834076,0.7093779444694519
6,lake-spy,instruct,retrieval,plugnplay,0.14598365128040314,0.14960893988609314,0.9903531670570374,0.14598365128040314,0.14804156124591827,0.9219108819961548,0.14598365128040314,0.1553855538368225,0.8441617488861084
7,adventure,plugnplay,retrieval,instruct,0.11578366160392761,0.11722621321678162,0.9977772831916809,0.11578366160392761,0.1598421037197113,0.955282986164093,0.11578366160392761,0.18623575568199158,0.8656439781188965
8,tea-rugs,retrieval,instruct,plugnplay,0.16023199260234833,0.16383714973926544,0.9959143996238708,0.16023199260234833,0.1313844919204712,0.9010282754898071,0.16023199260234833,0.11570605635643005,0.8461030721664429
9,food-monster,instruct,plugnplay,retrieval,0.13929849863052368,0.1413605958223343,0.9858912229537964,0.13929849863052368,0.16827306151390076,0.8319114446640015,0.13929849863052368,0.1468130350112915,0.7353274822235107
