id,src_domain,domain_1,domain_2,domain_3,instructpix2pix_src_clip,instructpix2pix_tgt_clip,instructpix2pix_src_tgt_dino,blip-gpt-plugnplay_src_clip,blip-gpt-plugnplay_tgt_clip,blip-gpt-plugnplay_src_tgt_dino,retrieval_src_clip,retrieval_tgt_clip,retrieval_src_tgt_dino
0,dive,plugnplay,retrieval,instruct,0.15218496322631836,0.1461731493473053,0.9870094060897827,0.15218496322631836,0.15889549255371094,0.9321084022521973,0.15218496322631836,0.1464621126651764,0.7934648990631104
1,ritu-letter,retrieval,plugnplay,instruct,0.1439048945903778,0.15395979583263397,0.9959936738014221,0.1439048945903778,0.15012052655220032,0.9037716388702393,0.1439048945903778,0.13151496648788452,0.8106476068496704
2,rama-town,instruct,plugnplay,retrieval,0.13582299649715424,0.1372017115354538,0.9952033758163452,0.13582299649715424,0.1362341046333313,0.9086498022079468,0.13582299649715424,0.17835180461406708,0.8099868297576904
3,bananas,retrieval,plugnplay,instruct,0.17505019903182983,0.17687909305095673,0.9730784296989441,0.17505019903182983,0.18398065865039825,0.935347318649292,0.17505019903182983,0.18743500113487244,0.7681778073310852
4,china-folktale,instruct,plugnplay,retrieval,0.14170101284980774,0.1413959115743637,0.9990040063858032,0.14170101284980774,0.15086160600185394,0.9709805846214294,0.14170101284980774,0.18743500113487244,0.8006144762039185
5,the-cook,retrieval,instruct,plugnplay,0.14775222539901733,0.14666521549224854,0.9942365884780884,0.14775222539901733,0.15415529906749725,0.9732226133346558,0.14775222539901733,0.1273871213197708,0.7074530124664307
6,lake-spy,instruct,retrieval,plugnplay,0.15271426737308502,0.2128043919801712,0.9804310202598572,0.15271426737308502,0.14299899339675903,0.8915312886238098,0.15271426737308502,0.13374072313308716,0.829256534576416
7,adventure,plugnplay,retrieval,instruct,0.12439323216676712,0.12746241688728333,0.9940731525421143,0.12439323216676712,0.14116773009300232,0.9177132844924927,0.12439323216676712,0.16566798090934753,0.8657344579696655
8,tea-rugs,retrieval,instruct,plugnplay,0.15226240456104279,0.14388114213943481,0.966039776802063,0.15226240456104279,0.1308072805404663,0.8970629572868347,0.15226240456104279,0.11934944987297058,0.8466443419456482
9,food-monster,instruct,plugnplay,retrieval,0.1592177301645279,0.17555421590805054,0.9729419946670532,0.1592177301645279,0.1696137934923172,0.8880157470703125,0.1592177301645279,0.18253031373023987,0.7983385920524597
10,singing-tree,instruct,retrieval,plugnplay,0.15386860072612762,0.17013421654701233,0.9794144630432129,0.15386860072612762,0.15029288828372955,0.9406424760818481,0.15386860072612762,0.14878906309604645,0.7500426769256592
11,count-eggs,plugnplay,retrieval,instruct,0.15276436507701874,0.14546379446983337,0.9868636131286621,0.15276436507701874,0.14831164479255676,0.8287123441696167,0.15276436507701874,0.08696338534355164,0.7762997150421143
12,sweet-sour,instruct,retrieval,plugnplay,0.15128394961357117,0.14491070806980133,0.9922951459884644,0.15128394961357117,0.14258979260921478,0.9736104607582092,0.15128394961357117,0.15065191686153412,0.8057042360305786
13,book-of-flower,plugnplay,retrieval,instruct,0.16392822563648224,0.22052253782749176,0.8820924758911133,0.16392822563648224,0.15539000928401947,0.9672034978866577,0.16392822563648224,0.10279714316129684,0.8075752854347229
14,the-tree,retrieval,plugnplay,instruct,0.15339148044586182,0.15790656208992004,0.9845700263977051,0.15339148044586182,0.1669577807188034,0.9059953689575195,0.15339148044586182,0.13943105936050415,0.8156106472015381
15,peacocks-pakoda,instruct,retrieval,plugnplay,0.13699296116828918,0.149896502494812,0.9862455129623413,0.13699296116828918,0.16697943210601807,0.9023860692977905,0.13699296116828918,0.14547936618328094,0.8366744518280029
16,mango-tree,plugnplay,retrieval,instruct,0.14322295784950256,0.24212996661663055,0.8285643458366394,0.14322295784950256,0.15340393781661987,0.9346442222595215,0.14322295784950256,0.13437093794345856,0.8751201033592224
17,grandfather-strike,plugnplay,instruct,retrieval,0.14848652482032776,0.13850973546504974,0.9923124313354492,0.14848652482032776,0.16105997562408447,0.9146409630775452,0.14848652482032776,0.18268948793411255,0.8772868514060974
18,my-family,plugnplay,instruct,retrieval,0.12896685302257538,0.1450279951095581,0.9861555099487305,0.12896685302257538,0.15733878314495087,0.9851546287536621,0.12896685302257538,0.14533749222755432,0.8752409219741821
19,going-home,retrieval,instruct,plugnplay,0.15697920322418213,0.15718407928943634,0.9906438589096069,0.15697920322418213,0.1524021327495575,0.9370840787887573,0.15697920322418213,0.09751930087804794,0.7774699330329895
20,coffee-legend,plugnplay,retrieval,instruct,0.1367923468351364,0.13881134986877441,0.9909949898719788,0.1367923468351364,0.1566835194826126,0.9283181428909302,0.1367923468351364,0.13437090814113617,0.7252640724182129
21,football,retrieval,plugnplay,instruct,0.1549854278564453,0.17155830562114716,0.9562643766403198,0.1549854278564453,0.15751679241657257,0.9807049036026001,0.1549854278564453,0.13388071954250336,0.7675496339797974
22,yummy-corn,retrieval,plugnplay,instruct,0.17186881601810455,0.15391410887241364,0.9895952939987183,0.17186881601810455,0.18973176181316376,0.8846874237060547,0.17186881601810455,0.12492203712463379,0.8372153043746948
23,city-stories,plugnplay,retrieval,instruct,0.13941223919391632,0.13829047977924347,0.9981129169464111,0.13941223919391632,0.15984952449798584,0.9238914251327515,0.13941223919391632,0.14900493621826172,0.8772873282432556
24,father-inheritance,instruct,retrieval,plugnplay,0.13692238926887512,0.15679511427879333,0.9461609721183777,0.13692238926887512,0.14668962359428406,0.8739117383956909,0.13692238926887512,0.15576598048210144,0.7224607467651367
25,rain-singing,plugnplay,instruct,retrieval,0.1577315628528595,0.15806305408477783,0.957414448261261,0.1577315628528595,0.14605501294136047,0.9416853189468384,0.1577315628528595,0.1652335375547409,0.7764366269111633
26,king-food,retrieval,instruct,plugnplay,0.16151176393032074,0.17851151525974274,0.9813307523727417,0.16151176393032074,0.1775507628917694,0.9723756313323975,0.16151176393032074,0.14533749222755432,0.8251581192016602
27,tiffing-gang,retrieval,instruct,plugnplay,0.11191991716623306,0.12988822162151337,0.9869701266288757,0.11191991716623306,0.1406884342432022,0.9660967588424683,0.11191991716623306,0.12874415516853333,0.8399400115013123
28,carnival-day,instruct,retrieval,plugnplay,0.15966796875,0.16724826395511627,0.9863336682319641,0.15966796875,0.1553904414176941,0.9790453314781189,0.15966796875,0.1380051076412201,0.7883070707321167
29,kali-dance,retrieval,instruct,plugnplay,0.16429245471954346,0.18355150520801544,0.9803609251976013,0.16429245471954346,0.145827054977417,0.9267064332962036,0.16429245471954346,0.1613631248474121,0.8265886306762695
30,friends-in-wild,instruct,retrieval,plugnplay,0.14230215549468994,0.1299343705177307,0.9985181093215942,0.14230215549468994,0.15519142150878906,0.9467489123344421,0.14230215549468994,0.16049762070178986,0.813490629196167
31,camel-kalem,retrieval,plugnplay,instruct,0.15447086095809937,0.14704294502735138,0.9945440292358398,0.15447086095809937,0.16650621592998505,0.9244025349617004,0.15447086095809937,0.196088045835495,0.8021844625473022
32,red-tshirt,plugnplay,instruct,retrieval,0.13057276606559753,0.13353578746318817,0.9985389709472656,0.13057276606559753,0.14906808733940125,0.9584833383560181,0.13057276606559753,0.16019433736801147,0.876323938369751
33,make-ghee,retrieval,instruct,plugnplay,0.1365496665239334,0.1368628293275833,0.9796526432037354,0.1365496665239334,0.15189716219902039,0.8621183037757874,0.1365496665239334,0.16673684120178223,0.7782554030418396
34,moon-pizza,retrieval,instruct,plugnplay,0.15232759714126587,0.22717277705669403,0.7947211265563965,0.15232759714126587,0.15962344408035278,0.9508100748062134,0.15232759714126587,0.13540461659431458,0.8025057911872864
35,desert-camel,retrieval,instruct,plugnplay,0.13276168704032898,0.1394328474998474,0.9934247136116028,0.13276168704032898,0.1503172367811203,0.8693678379058838,0.13276168704032898,0.1415805071592331,0.8489011526107788
