Key,e2e-instruct,cap-retrieve,cap-edit
portugal_houses_palácio-de-cristal,3,2,2
india_agriculture_rice-cultivation,4,4,4
turkey_food_börek,3,3,3
japan_beverages_calpis,5,2,2
portugal_music_cavaquinho,4,4,2
japan_sport_judo,3,3,3
united-states_music_bluegrass,3,4,3
nigeria_agriculture_cocoa,4,4,4
turkey_flower_rose,2,4,4
india_utensil_Karahi,4,3,4
turkey_agriculture_greenhouse,4,4,3
portugal_agriculture_olive-oil-mills,4,5,4
turkey_houses_yalı,2,5,3
nigeria_sport_football,5,2,5
japan_beverages_barley-tea,2,4,4
turkey_vegetable_tomato,4,4,4
nigeria_vegetable_cabbage,5,2,5
portugal_education_queima-das-fitas,4,4,5
japan_flower_cherry-blossom,3,1,2
nigeria_religion_islam,5,5,2
turkey_sport_volleyball,5,4,2
india_fruit_Mango,5,5,5
india_fruit_Guava,5,5,5
turkey_utensil_hammer,3,4,3
japan_food_sushi,4,4,4
nigeria_music_afrobeat,5,5,5
nigeria_houses_koutammakou,4,4,4
india_religion_Buddhism,3,2,2
portugal_clothing_ribeira,4,2,5
turkey_food_kebab,3,1,5
japan_celebrations_oshōgatsu,3,4,4
japan_vegetable_daikon,4,4,4
united-states_agriculture_maize,5,5,5
turkey_flower_bellis-perennis,3,3,3
united-states_bird_american-robin,1,5,5
india_houses_Hut,4,4,4
japan_utensil_donabe,3,3,3
nigeria_bird_eagle,1,3,3
turkey_clothing_yelek,2,3,4
japan_religion_torii,2,2,3
united-states_celebrations_new-years-day,4,4,2
japan_bird_house-sparrow,2,3,2
united-states_clothing_sneakers,2,1,1
turkey_sport_wrestling,2,5,2
nigeria_food_nigeria-jollof-rice-and-chicken-meat,5,2,4
united-states_food_hotdog,2,1,3
united-states_agriculture_cotton,4,2,4
nigeria_vegetable_ewedu,5,5,5
turkey_flower_tulip,3,3,2
portugal_visual-arts_filigree,3,2,3
nigeria_utensil_knife,4,1,1
india_music_tanpura,4,3,3
india_sport_chess,2,3,2
japan_beverages_nihonshu,2,3,2
india_beverages_nimbu-paani,2,2,5
japan_beverages_matcha,2,2,2
turkey_music_anatolian-rock,2,4,2
japan_houses_kinkaku-ji,4,2,2
united-states_education_projector,3,3,3
