Key,e2e-instruct,cap-retrieve,cap-edit
portugal_houses_palácio-de-cristal,3,5,5
india_agriculture_rice-cultivation,4,4,2
turkey_food_börek,5,5,5
japan_beverages_calpis,4,1,4
portugal_music_cavaquinho,4,5,2
japan_sport_judo,5,5,5
united-states_music_bluegrass,4,5,5
nigeria_agriculture_cocoa,5,5,2
turkey_flower_rose,1,5,5
india_utensil_Karahi,5,5,5
turkey_agriculture_greenhouse,5,4,2
portugal_agriculture_olive-oil-mills,4,5,5
turkey_houses_yalı,1,5,5
nigeria_sport_football,4,5,5
japan_beverages_barley-tea,1,5,5
turkey_vegetable_tomato,5,2,2
nigeria_vegetable_cabbage,5,1,5
portugal_education_queima-das-fitas,5,5,5
japan_flower_cherry-blossom,3,1,1
nigeria_religion_islam,5,5,4
turkey_sport_volleyball,5,4,2
india_fruit_Mango,5,5,2
india_fruit_Guava,2,5,4
turkey_utensil_hammer,1,1,2
japan_food_sushi,5,3,1
nigeria_music_afrobeat,4,4,4
nigeria_houses_koutammakou,5,3,3
india_religion_Buddhism,5,5,5
portugal_clothing_ribeira,4,2,4
turkey_food_kebab,3,1,5
japan_celebrations_oshōgatsu,2,5,5
japan_vegetable_daikon,4,2,5
united-states_agriculture_maize,5,2,5
turkey_flower_bellis-perennis,2,4,4
united-states_bird_american-robin,3,5,5
india_houses_Hut,5,5,5
japan_utensil_donabe,5,5,5
nigeria_bird_eagle,1,3,3
turkey_clothing_yelek,2,4,4
japan_religion_torii,2,4,4
united-states_celebrations_new-years-day,3,3,4
japan_bird_house-sparrow,1,3,1
united-states_clothing_sneakers,5,1,1
turkey_sport_wrestling,5,5,5
nigeria_food_nigeria-jollof-rice-and-chicken-meat,5,1,1
united-states_food_hotdog,2,1,5
united-states_agriculture_cotton,5,2,5
nigeria_vegetable_ewedu,5,5,2
turkey_flower_tulip,5,4,2
portugal_visual-arts_filigree,5,1,4
nigeria_utensil_knife,5,2,1
india_music_tanpura,4,3,2
india_sport_chess,1,3,1
japan_beverages_nihonshu,5,5,5
india_beverages_nimbu-paani,1,1,5
japan_beverages_matcha,5,5,3
turkey_music_anatolian-rock,3,3,3
japan_houses_kinkaku-ji,5,5,2
united-states_education_projector,5,2,5
turkey_celebrations_ramadan,4,4,2
nigeria_education_university-of-abuja,4,4,2
portugal_music_pimba,5,2,5
japan_flower_prunus-mume,5,5,3
united-states_utensil_spatula,3,4,3
united-states_utensil_table-knife,3,2,4
nigeria_beverages_chapman,4,3,3
portugal_mammal_arouquesa-bull,4,3,1
nigeria_mammal_chimpanzee,5,4,4
portugal_sport_tennis,4,4,4
india_sport_kabaddi,4,4,4
nigeria_bird_ostrich,4,2,3
nigeria_clothing_wrapper,4,4,5
japan_food_ramen,4,5,3
turkey_utensil_peşkir,2,2,4
nigeria_celebrations_new-yam-festival,2,4,4
india_vegetable_Cabbage,2,4,3
japan_education_vocational-school,5,3,5
portugal_food_bifana,5,4,2
india_flower_Indian-Lotus,1,4,1
united-states_visual-arts_pop-art,4,3,4
nigeria_education_morning-assembly-at-a-primary-school,5,2,3
japan_mammal_japanese-macaque,5,5,3
united-states_utensil_fork,3,5,5
india_music_veena,2,4,2
nigeria_visual-arts_pottery,4,2,4
japan_education_kyūshoku,5,5,5
nigeria_beverages_palm-wine,5,2,3
india_religion_Sikhism,4,2,4
united-states_bird_blue-jay,3,2,4
japan_mammal_yezo-sika-deer,2,3,1
turkey_mammal_kangal-shepherd-dog,4,4,3
nigeria_agriculture_corn-farm,4,3,4
portugal_flower_dianthus-caryophyllus,5,2,3
portugal_sport_association-football,4,3,3
india_religion_Islam,3,4,4
united-states_vegetable_broccoli,2,2,2
united-states_music_country,5,3,5
turkey_education_imam-hatip-high-school,5,5,3
united-states_beverages_orange-juice,2,4,4
japan_religion_soryo,3,4,5
japan_education_kosha,5,3,5
india_education_Blackboard,1,3,4
united-states_sport_baseball,2,5,2
united-states_sport_golf,5,4,2
united-states_fruit_apple,5,3,2
united-states_music_pop-music,5,1,2
