Key,e2e-instruct,cap-retrieve,cap-edit
portugal_houses_palácio-de-cristal,1,1,1
india_agriculture_rice-cultivation,1,1,1
turkey_food_börek,1,1,1
japan_beverages_calpis,1,1,1
portugal_music_cavaquinho,1,1,1
japan_sport_judo,1,1,1
united-states_music_bluegrass,1,1,1
nigeria_agriculture_cocoa,1,1,1
turkey_flower_rose,1,1,1
india_utensil_Karahi,1,1,1
turkey_agriculture_greenhouse,1,1,1
portugal_agriculture_olive-oil-mills,1,1,1
turkey_houses_yalı,1,1,1
nigeria_sport_football,1,1,1
japan_beverages_barley-tea,1,1,1
turkey_vegetable_tomato,1,1,1
nigeria_vegetable_cabbage,1,1,1
portugal_education_queima-das-fitas,1,1,1
japan_flower_cherry-blossom,1,1,1
nigeria_religion_islam,1,1,1
turkey_sport_volleyball,1,1,5
india_fruit_Mango,1,1,1
india_fruit_Guava,1,1,1
turkey_utensil_hammer,1,1,1
japan_food_sushi,1,1,1
nigeria_music_afrobeat,1,1,1
nigeria_houses_koutammakou,1,1,1
india_religion_Buddhism,1,1,1
portugal_clothing_ribeira,2,1,1
turkey_food_kebab,1,1,1
japan_celebrations_oshōgatsu,1,1,1
japan_vegetable_daikon,1,1,1
united-states_agriculture_maize,1,1,1
turkey_flower_bellis-perennis,1,1,1
united-states_bird_american-robin,1,1,1
india_houses_Hut,1,1,1
japan_utensil_donabe,1,1,1
nigeria_bird_eagle,1,1,1
turkey_clothing_yelek,1,1,1
japan_religion_torii,1,1,1
united-states_celebrations_new-years-day,1,1,1
japan_bird_house-sparrow,1,1,1
united-states_clothing_sneakers,1,1,1
turkey_sport_wrestling,1,1,1
nigeria_food_nigeria-jollof-rice-and-chicken-meat,1,1,1
united-states_food_hotdog,1,1,1
united-states_agriculture_cotton,1,1,1
nigeria_vegetable_ewedu,1,1,1
turkey_flower_tulip,1,1,1
portugal_visual-arts_filigree,1,1,1
nigeria_utensil_knife,1,5,1
india_music_tanpura,1,1,1
india_sport_chess,1,1,1
japan_beverages_nihonshu,1,1,1
india_beverages_nimbu-paani,1,1,1
japan_beverages_matcha,1,1,1
turkey_music_anatolian-rock,1,1,1
japan_houses_kinkaku-ji,1,1,1
united-states_education_projector,1,1,1
turkey_celebrations_ramadan,1,1,
nigeria_education_university-of-abuja,1,1,1
portugal_music_pimba,1,1,1
japan_flower_prunus-mume,1,1,1
united-states_utensil_spatula,1,1,1
united-states_utensil_table-knife,1,1,1
nigeria_beverages_chapman,1,1,1
portugal_mammal_arouquesa-bull,1,1,1
nigeria_mammal_chimpanzee,1,1,1
portugal_sport_tennis,1,1,1
india_sport_kabaddi,1,1,1
nigeria_bird_ostrich,1,1,1
nigeria_clothing_wrapper,1,1,1
japan_food_ramen,1,1,1
turkey_utensil_peşkir,1,1,1
nigeria_celebrations_new-yam-festival,1,1,1
india_vegetable_Cabbage,1,1,1
japan_education_vocational-school,5,5,5
portugal_food_bifana,1,1,1
india_flower_Indian-Lotus,1,1,1
united-states_visual-arts_pop-art,1,1,1
nigeria_education_morning-assembly-at-a-primary-school,1,1,1
japan_mammal_japanese-macaque,1,1,1
united-states_utensil_fork,1,1,1
india_music_veena,1,1,1
nigeria_visual-arts_pottery,1,1,1
japan_education_kyūshoku,1,1,1
nigeria_beverages_palm-wine,1,1,1
india_religion_Sikhism,1,1,1
united-states_bird_blue-jay,1,1,1
japan_mammal_yezo-sika-deer,1,1,1
turkey_mammal_kangal-shepherd-dog,1,1,1
nigeria_agriculture_corn-farm,1,1,1
portugal_flower_dianthus-caryophyllus,1,1,1
portugal_sport_association-football,1,1,1
