Key,e2e-instruct,cap-retrieve,cap-edit
portugal_houses_palácio-de-cristal,2,4,4
brazil_agriculture_coffee,4,4,2
turkey_mammal_roe-deer,4,2,4
india_beverages_nimbu-paani,1,2,4
portugal_music_cavaquinho,4,2,4
india_sport_kabaddi,4,2,2
united-states_music_bluegrass,4,4,2
japan_agriculture_dairy,2,2,4
turkey_houses_yalı,4,2,4
brazil_utensil_squeegee,4,4,2
turkey_agriculture_wheat,4,4,2
portugal_agriculture_olive-oil-mills,4,2,4
turkey_houses_villa,1,1,2
japan_sport_judo,1,2,4
india_beverages_chai,4,2,2
turkey_vegetable_eggplant,2,2,2
japan_vegetable_gobo,2,2,2
portugal_education_queima-das-fitas,4,2,4
india_flower_Hibiscus,4,2,2
japan_religion_torii,2,2,4
turkey_sport_volleyball,2,1,2
brazil_fruit_guava,2,4,2
brazil_fruit_papaya,2,4,4
turkey_utensil_hammer,2,2,2
india_food_Chicken-tikka-masala,2,2,2
japan_music_idol,2,4,2
japan_clothing_kimono,3,3,4
brazil_religion_umbanda,2,4,2
portugal_clothing_ribeira,2,2,4
turkey_food_baklava,2,2,2
india_celebrations_Vijayadashami,2,4,4
india_vegetable_Spinach,4,2,4
united-states_agriculture_maize,1,3,1
turkey_flower_tulip,2,4,4
united-states_bird_american-robin,2,2,4
brazil_houses_sobrado,4,4,4
india_utensil_Skimmer,2,4,4
japan_bird_kiji,4,2,4
turkey_beverages_ayran,3,4,2
india_visual-arts_Pattachitra,4,3,4
united-states_celebrations_new-years-day,4,4,4
india_bird_Common-myna,4,4,4
united-states_clothing_sneakers,4,3,4
turkey_sport_wrestling,4,4,2
japan_food_sushi,4,4,2
united-states_food_hotdog,4,2,4
united-states_agriculture_cotton,4,2,4
japan_vegetable_shiitake,4,2,4
turkey_flower_rose,2,4,4
portugal_visual-arts_filigree,4,2,4
japan_utensil_donabe,4,5,4
brazil_music_forró,2,4,4
brazil_sport_futsal,4,2,5
india_beverages_kingfisher-beer,4,4,4
brazil_beverages_mate,4,2,4
india_beverages_filter-coffee,4,4,2
turkey_music_anatolian-rock,2,4,2
india_houses_Temple,4,5,4
united-states_education_projector,4,4,4
turkey_celebrations_ramadan,4,2,2
japan_education_vocational-school,2,2,4
portugal_music_pimba,2,4,4
india_flower_Jasmine,2,2,4
united-states_utensil_spatula,4,4,4
united-states_utensil_table-knife,2,4,4
japan_beverages_matcha,4,4,2
portugal_mammal_arouquesa-bull,2,4,4
japan_mammal_yezo-sika-deer,4,2,4
portugal_sport_tennis,4,4,2
brazil_sport_association-football,2,4,4
japan_bird_japanese-bush-warbler,4,2,2
japan_clothing_tabi,4,4,4
india_food_Samosa,4,4,4
turkey_utensil_peşkir,4,4,4
japan_celebrations_tanabata,1,4,4
brazil_vegetable_potato,4,5,5
india_education_Vedas,4,4,2
portugal_food_bifana,4,4,5
brazil_flower_bromelia,2,4,4
united-states_visual-arts_pop-art,4,2,2
japan_education_sotsugyōshiki,4,4,4
india_mammal_elephant,4,2,4
united-states_utensil_fork,4,4,2
brazil_music_samba,4,2,4
japan_visual-arts_manga,2,4,2
india_education_Central-Board-of-Secondary-Education,2,2,4
japan_food_miso-soup,4,4,2
brazil_religion_catholic-church,4,4,4
united-states_bird_blue-jay,4,4,4
india_mammal_langur-monkey,4,2,4
turkey_mammal_kangal-shepherd-dog,4,4,2
japan_agriculture_pig-farming,4,4,4
portugal_flower_dianthus-caryophyllus,4,2,4
portugal_sport_association-football,4,2,5
brazil_religion_protestantism-in-brazil,4,4,2
united-states_vegetable_broccoli,4,4,2
united-states_music_country,2,2,2
turkey_education_imam-hatip-high-school,4,4,4
united-states_beverages_orange-juice,2,2,4
india_religion_Hinduism,2,5,5
india_education_gurukula,2,2,4
brazil_education_whiteboard,3,5,4
united-states_sport_baseball,4,5,2
united-states_sport_golf,3,5,3
united-states_fruit_banana,5,4,1
united-states_music_pop-music,5,5,3
portugal_visual-arts_bordallo-pinheiro,3,5,3
india_fruit_Mango,5,5,5
brazil_utensil_mortar-and-pestle,5,5,5
brazil_fruit_pineapple,5,5,5
japan_vegetable_renkon,5,2,2
united-states_beverages_coffee,4,2,4
portugal_food_bacalhau-à-brás,4,4,3
brazil_utensil_wooden-spoon,2,4,4
united-states_clothing_cowboy-hat,1,3,4
japan_sport_kendō,4,4,4
japan_visual-arts_ukiyo-e,2,2,4
turkey_clothing_turkish-salvar,5,5,3
japan_beverages_yakult,4,4,4
brazil_mammal_jaguar,4,4,4
united-states_clothing_jeans,4,4,4
united-states_utensil_spoon,4,4,4
india_bird_House-sparrow,4,3,4
brazil_food_feijoada,4,4,4
india_music_harmonium,4,4,4
brazil_clothing_bikini,4,3,4
united-states_flower_narcissus,5,5,1
portugal_food_francesinha,4,5,5
japan_beverages_nihonshu,4,4,4
india_bird_Indian-roller,4,4,4
turkey_religion_alevism,4,4,4
portugal_vegetable_potato,4,4,4
turkey_sport_basketball,4,4,4
turkey_religion_islam,4,4,4
turkey_beverages_rakı,4,4,4
japan_bird_kounotori,4,4,4
turkey_celebrations_eid-al-adha,4,4,4
japan_celebrations_coming-of-age-day,4,4,4
japan_agriculture_稲作,4,4,4
brazil_flower_cattleya,4,4,4
turkey_bird_mallard,4,4,4
united-states_celebrations_christmas,4,4,4
united-states_houses_ranch-style-house,4,4,4
india_food_Biryani,4,4,4
portugal_food_pastel-de-nata,4,4,4
japan_houses_kinkaku-ji,4,4,4
portugal_celebrations_romaria-de-nossa-senhora-d-agonía,4,4,4
brazil_utensil_barbecue-grill,4,3,4
portugal_visual-arts_azulejo,4,4,4
brazil_bird_tucano,4,4,4
united-states_bird_mourning-dove,4,4,4
turkey_clothing_yelek,4,3,4
