Key,e2e-instruct,cap-retrieve,cap-edit
portugal_houses_palácio-de-cristal,4,2,4
brazil_agriculture_coffee,4,4,1
turkey_mammal_roe-deer,4,2,4
india_beverages_nimbu-paani,2,4,4
portugal_music_cavaquinho,4,4,1
india_sport_kabaddi,2,4,4
united-states_music_bluegrass,4,2,4
japan_agriculture_dairy,4,2,2
turkey_houses_yalı,2,4,4
brazil_utensil_squeegee,2,2,4
turkey_agriculture_wheat,4,4,4
portugal_agriculture_olive-oil-mills,4,2,4
turkey_houses_villa,4,2,4
japan_sport_judo,4,2,5
india_beverages_chai,4,4,4
turkey_vegetable_eggplant,2,1,4
japan_vegetable_gobo,5,2,5
portugal_education_queima-das-fitas,4,4,2
india_flower_Hibiscus,4,4,2
japan_religion_torii,4,1,4
turkey_sport_volleyball,4,2,4
brazil_fruit_guava,4,4,1
brazil_fruit_papaya,2,4,4
turkey_utensil_hammer,4,1,4
india_food_Chicken-tikka-masala,2,4,2
japan_music_idol,4,2,4
japan_clothing_kimono,2,4,4
brazil_religion_umbanda,2,4,4
portugal_clothing_ribeira,2,4,4
turkey_food_baklava,4,4,1
india_celebrations_Vijayadashami,4,1,4
india_vegetable_Spinach,4,1,4
united-states_agriculture_maize,4,2,4
turkey_flower_tulip,4,2,4
united-states_bird_american-robin,1,4,4
brazil_houses_sobrado,4,4,1
india_utensil_Skimmer,5,4,1
japan_bird_kiji,1,4,5
turkey_beverages_ayran,4,5,2
india_visual-arts_Pattachitra,4,2,1
united-states_celebrations_new-years-day,4,4,2
india_bird_Common-myna,2,4,4
united-states_clothing_sneakers,4,4,1
turkey_sport_wrestling,4,2,4
japan_food_sushi,4,5,1
united-states_food_hotdog,2,4,4
united-states_agriculture_cotton,5,2,4
japan_vegetable_shiitake,4,4,2
turkey_flower_rose,4,4,2
portugal_visual-arts_filigree,4,4,2
japan_utensil_donabe,4,2,4
brazil_music_forró,4,4,2
brazil_sport_futsal,2,4,5
india_beverages_kingfisher-beer,4,2,4
brazil_beverages_mate,2,4,4
india_beverages_filter-coffee,4,2,4
turkey_music_anatolian-rock,4,2,4
india_houses_Temple,2,4,4
united-states_education_projector,4,2,4
turkey_celebrations_ramadan,4,4,2
japan_education_vocational-school,4,4,2
portugal_music_pimba,4,2,4
india_flower_Jasmine,4,4,2
united-states_utensil_spatula,4,2,4
united-states_utensil_table-knife,4,1,4
japan_beverages_matcha,4,2,4
portugal_mammal_arouquesa-bull,4,4,1
japan_mammal_yezo-sika-deer,4,4,2
portugal_sport_tennis,4,2,4
brazil_sport_association-football,4,2,4
japan_bird_japanese-bush-warbler,4,2,4
japan_clothing_tabi,4,4,2
india_food_Samosa,4,4,1
turkey_utensil_peşkir,4,2,4
japan_celebrations_tanabata,4,1,4
brazil_vegetable_potato,2,4,4
india_education_Vedas,4,4,1
portugal_food_bifana,4,4,2
brazil_flower_bromelia,4,4,2
united-states_visual-arts_pop-art,2,4,4
