Key,e2e-instruct,cap-retrieve,cap-edit
portugal_houses_palácio-de-cristal,2,4,4
brazil_agriculture_coffee,1,2,4
turkey_mammal_roe-deer,1,4,4
india_beverages_nimbu-paani,4,1,2
portugal_music_cavaquinho,4,4,5
india_sport_kabaddi,4,1,4
united-states_music_bluegrass,2,5,4
japan_agriculture_dairy,2,4,4
turkey_houses_yalı,4,2,2
brazil_utensil_squeegee,4,4,2
turkey_agriculture_wheat,4,1,4
portugal_agriculture_olive-oil-mills,2,4,1
turkey_houses_villa,1,4,2
japan_sport_judo,2,4,1
india_beverages_chai,1,2,4
turkey_vegetable_eggplant,4,4,2
japan_vegetable_gobo,1,4,2
portugal_education_queima-das-fitas,2,1,4
india_flower_Hibiscus,2,4,5
japan_religion_torii,2,5,2
turkey_sport_volleyball,2,5,4
brazil_fruit_guava,1,2,5
brazil_fruit_papaya,5,4,2
turkey_utensil_hammer,4,4,2
india_food_Chicken-tikka-masala,4,2,5
japan_music_idol,2,5,4
japan_clothing_kimono,5,4,4
brazil_religion_umbanda,5,2,2
portugal_clothing_ribeira,5,2,2
turkey_food_baklava,2,2,5
india_celebrations_Vijayadashami,2,5,1
india_vegetable_Spinach,4,1,2
united-states_agriculture_maize,2,4,1
turkey_flower_tulip,2,5,4
united-states_bird_american-robin,4,1,2
brazil_houses_sobrado,2,2,5
india_utensil_Skimmer,2,5,5
japan_bird_kiji,5,2,4
turkey_beverages_ayran,1,2,5
india_visual-arts_Pattachitra,2,4,5
united-states_celebrations_new-years-day,2,2,5
india_bird_Common-myna,4,2,2
united-states_clothing_sneakers,2,4,5
turkey_sport_wrestling,1,4,5
japan_food_sushi,4,2,5
united-states_food_hotdog,5,4,4
united-states_agriculture_cotton,1,4,5
japan_vegetable_shiitake,2,2,5
turkey_flower_rose,1,2,5
portugal_visual-arts_filigree,2,2,5
japan_utensil_donabe,2,5,2
brazil_music_forró,4,2,5
brazil_sport_futsal,5,4,1
india_beverages_kingfisher-beer,1,5,2
brazil_beverages_mate,5,4,4
india_beverages_filter-coffee,4,5,4
turkey_music_anatolian-rock,2,5,4
india_houses_Temple,5,4,2
united-states_education_projector,2,5,2
turkey_celebrations_ramadan,2,4,5
japan_education_vocational-school,2,2,5
portugal_music_pimba,2,5,1
india_flower_Jasmine,4,2,5
united-states_utensil_spatula,2,5,1
united-states_utensil_table-knife,2,5,2
japan_beverages_matcha,2,5,4
portugal_mammal_arouquesa-bull,2,1,5
japan_mammal_yezo-sika-deer,1,4,5
portugal_sport_tennis,1,5,4
brazil_sport_association-football,2,5,1
japan_bird_japanese-bush-warbler,1,5,4
japan_clothing_tabi,2,1,4
india_food_Samosa,2,4,5
turkey_utensil_peşkir,1,5,2
japan_celebrations_tanabata,2,5,4
brazil_vegetable_potato,5,2,2
india_education_Vedas,1,2,5
portugal_food_bifana,1,4,5
brazil_flower_bromelia,5,4,4
united-states_visual-arts_pop-art,5,2,2
japan_education_sotsugyōshiki,1,2,5
india_mammal_elephant,1,2,5
united-states_utensil_fork,5,2,2
brazil_music_samba,1,4,5
japan_visual-arts_manga,4,5,2
india_education_Central-Board-of-Secondary-Education,2,2,5
japan_food_miso-soup,2,4,5
brazil_religion_catholic-church,2,4,2
united-states_bird_blue-jay,2,5,1
india_mammal_langur-monkey,5,2,2
turkey_mammal_kangal-shepherd-dog,1,5,2
japan_agriculture_pig-farming,2,1,4
portugal_flower_dianthus-caryophyllus,5,4,2
portugal_sport_association-football,5,4,1
brazil_religion_protestantism-in-brazil,2,5,5
united-states_vegetable_broccoli,5,2,4
united-states_music_country,2,4,5
turkey_education_imam-hatip-high-school,2,5,2
united-states_beverages_orange-juice,5,4,2
india_religion_Hinduism,2,1,5
india_education_gurukula,2,4,5
brazil_education_whiteboard,3,1,5
united-states_sport_baseball,4,5,3
united-states_sport_golf,5,2,3
united-states_fruit_banana,2,5,5
united-states_music_pop-music,5,2,3
portugal_visual-arts_bordallo-pinheiro,2,5,2
india_fruit_Mango,2,1,4
brazil_utensil_mortar-and-pestle,5,2,2
brazil_fruit_pineapple,1,2,5
japan_vegetable_renkon,5,5,4
united-states_beverages_coffee,5,2,2
portugal_food_bacalhau-à-brás,5,4,2
brazil_utensil_wooden-spoon,3,5,2
united-states_clothing_cowboy-hat,5,4,5
japan_sport_kendō,3,5,2
japan_visual-arts_ukiyo-e,1,2,5
turkey_clothing_turkish-salvar,1,5,2
japan_beverages_yakult,5,3,2
brazil_mammal_jaguar,2,1,5
united-states_clothing_jeans,5,1,1
united-states_utensil_spoon,5,2,2
india_bird_House-sparrow,2,5,2
brazil_food_feijoada,1,5,2
india_music_harmonium,5,3,1
brazil_clothing_bikini,2,4,5
united-states_flower_narcissus,1,4,5
portugal_food_francesinha,2,5,5
japan_beverages_nihonshu,1,5,2
india_bird_Indian-roller,2,5,2
turkey_religion_alevism,2,4,2
portugal_vegetable_potato,1,5,4
turkey_sport_basketball,4,1,4
turkey_religion_islam,5,1,1
turkey_beverages_rakı,1,2,5
japan_bird_kounotori,2,5,2
turkey_celebrations_eid-al-adha,5,2,2
japan_celebrations_coming-of-age-day,2,1,5
japan_agriculture_稲作,1,5,2
brazil_flower_cattleya,2,1,5
turkey_bird_mallard,5,1,2
united-states_celebrations_christmas,5,2,1
united-states_houses_ranch-style-house,1,5,4
india_food_Biryani,5,2,3
portugal_food_pastel-de-nata,5,1,5
japan_houses_kinkaku-ji,2,1,5
portugal_celebrations_romaria-de-nossa-senhora-d-agonía,3,3,5
brazil_utensil_barbecue-grill,1,2,5
portugal_visual-arts_azulejo,1,2,5
brazil_bird_tucano,1,2,5
united-states_bird_mourning-dove,5,2,1
turkey_clothing_yelek,2,3,5
portugal_clothing_traje-campino-ribatejano,1,5,3
turkey_celebrations_commemoration-of-atatürk-youth-and-sports-day,3,5,2
portugal_clothing_caretos-de-podence,2,5,5
india_mammal_deer,5,2,1
japan_sport_karate,2,2,5
turkey_music_qanun,5,4,1
united-states_sport_american-football,1,5,3
india_beverages_lassi,2,2,5
japan_utensil_chasen,2,5,2
japan_music_shamisen,5,1,3
united-states_fruit_apple,2,5,3
brazil_vegetable_cassava,5,1,2
turkey_clothing_fez,5,2,3
brazil_houses_casas-bahia,4,5,1
japan_flower_hydrangea-macrophylla,1,5,3
turkey_celebrations_national-sovereignty-and-childrens-day,1,5,3
brazil_celebrations_festa-junina,2,5,5
india_houses_Villa,1,5,4
portugal_houses_palácio-nacional-de-belém,2,3,5
portugal_utensil_nutcracker,2,5,5
india_clothing_Sari,1,2,5
brazil_agriculture_maize,4,1,5
turkey_flower_bellis-perennis,2,2,3
portugal_agriculture_vindima,2,5,1
india_celebrations_Ganesh-Chaturthi,5,2,2
brazil_celebrations_independence-day,2,5,1
japan_beverages_barley-tea,2,5,2
united-states_mammal_raccoon,3,1,3
japan_fruit_kyoho,3,4,5
united-states_religion_evangelicalism,3,5,1
turkey_food_i̇çli-pide,5,1,2
portugal_music_kizomba,5,1,2
brazil_agriculture_sugarcane,1,4,5
portugal_bird_house-sparrow,5,1,1
japan_education_kyūshoku,5,5,1
united-states_flower_lilium,2,5,1
