Key,cap-edit,cap-retrieve,e2e-instruct
india_beverages_filter-coffee,5,5,5
united-states_food_fried-chicken,5,5,5
japan_celebrations_tanabata,5,5,5
india_beverages_chai,5,5,5
united-states_sport_basketball,5,5,5
nigeria_music_traditional-flute-player,4,5,5
brazil_food_feijoada,5,5,5
portugal_education_cartilha-maternal,5,5,5
portugal_vegetable_beterraba,5,5,5
japan_beverages_yakult,5,3,2
japan_bird_japanese-bush-warbler,5,5,4
portugal_music_cavaquinho,5,5,5
united-states_music_country,5,3,5
brazil_fruit_guava,5,4,5
japan_beverages_nihonshu,5,5,4
india_sport_badminton,5,5,5
united-states_clothing_down-jacket,5,2,5
united-states_flower_rose,5,4,5
japan_education_vocational-school,4,5,5
india_religion_Hinduism,5,5,5
portugal_houses_casas-típicas-de-santana,5,5,5
brazil_vegetable_yam,2,5,5
united-states_food_hamburger,2,5,5
india_music_harmonium,5,3,5
united-states_utensil_fork,5,5,5
united-states_visual-arts_street-art,5,5,5
brazil_music_forró,5,5,5
brazil_agriculture_coffee,5,5,5
india_beverages_kingfisher-beer,5,5,3
brazil_fruit_papaya,5,4,5
nigeria_houses_aso-villa,5,1,5
united-states_celebrations_christmas,5,5,5
portugal_houses_aldeias-do-xisto,5,3,5
brazil_clothing_bikini,1,5,5
nigeria_music_talking-drum,2,5,5
japan_visual-arts_shodō,5,5,5
japan_agriculture_稲作,5,5,5
united-states_celebrations_halloween,5,5,5
brazil_houses_sobrado,5,5,5
japan_sport_judo,2,5,5
india_education_gurukula,5,2,5
united-states_utensil_tongs,5,4,1
brazil_sport_futsal,5,2,5
brazil_utensil_squeegee,5,5,5
nigeria_mammal_bat,5,1,5
portugal_sport_tennis,5,1,5
japan_visual-arts_manga,5,5,3
india_houses_Temple,5,4,5
united-states_clothing_jeans,5,5,5
united-states_bird_mourning-dove,5,5,5
india_beverages_nimbu-paani,5,5,5
united-states_fruit_blueberry,5,5,5
nigeria_religion_baháʼí-faith-in-nigeria,5,5,5
india_education_Vedas,5,5,5
brazil_religion_umbanda,5,3,5
portugal_vegetable_potato,5,5,3
portugal_beverages_port-wine,2,5,5
brazil_beverages_mate,5,2,2
nigeria_fruit_pineapple,5,5,5
portugal_religion_judaísmo,5,5,5
india_vegetable_Spinach,5,5,5
japan_vegetable_wasabi,5,5,5
portugal_music_fado-de-lisboa,5,5,5
portugal_religion_orthodoxy,5,5,3
united-states_utensil_spatula,5,5,5
japan_music_visual-kei,4,5,5
nigeria_mammal_african-forest-elephant,5,4,5
nigeria_clothing_wrapper,5,5,5
japan_beverages_matcha,5,5,5
japan_mammal_yezo-sika-deer,5,5,5
brazil_sport_association-football,4,5,5
japan_utensil_chasen,5,5,5
nigeria_visual-arts_glass-art,5,5,5
india_mammal_elephant,5,4,5
united-states_visual-arts_mural-painting,5,5,5
japan_beverages_barley-tea,5,5,5
brazil_vegetable_potato,5,5,5
japan_education_kyūshoku,3,5,5
japan_vegetable_daikon,5,5,5
brazil_flower_bromelia,2,5,5
nigeria_food_akara,5,5,5
india_flower_Hibiscus,4,5,5
nigeria_bird_duck,5,5,5
india_utensil_Skimmer,4,5,5
brazil_music_samba,5,3,5
brazil_vegetable_okra,5,5,5
japan_clothing_tabi,5,5,5
japan_visual-arts_ukiyo-e,5,5,5
brazil_religion_catholic-church,5,5,5
portugal_flower_dianthus-caryophyllus,5,1,5
japan_sport_karate,5,3,5
japan_flower_hydrangea-macrophylla,5,5,5
india_food_Samosa,5,5,5
japan_celebrations_oshōgatsu,5,5,5
india_mammal_langur-monkey,5,3,5
brazil_mammal_jaguar,5,5,5
nigeria_music_jazz,5,5,3
nigeria_education_computer-classes,5,5,5
brazil_religion_protestantism-in-brazil,4,5,5
portugal_houses_palácio-de-cristal,5,5,5
japan_food_miso-soup,5,5,5
nigeria_mammal_greater-cane-rat,5,5,5
india_flower_Jasmine,5,5,5
united-states_clothing_suit,5,5,5
united-states_agriculture_dairy-farming,5,5,1
brazil_education_whiteboard,4,5,5
japan_vegetable_renkon,5,1,5
japan_music_gagaku,5,5,3
japan_utensil_donabe,5,5,5
portugal_mammal_red-squirrel,2,5,5
united-states_mammal_american-black-bear,5,5,4
india_bird_House-sparrow,5,5,5
brazil_utensil_mortar-and-pestle,5,5,5
nigeria_visual-arts_pottery,1,5,5
