Key,cap-edit,cap-retrieve,e2e-instruct
india_beverages_filter-coffee,1,1,1
united-states_food_fried-chicken,1,1,1
japan_celebrations_tanabata,1,1,1
india_beverages_chai,1,1,1
united-states_sport_basketball,1,1,1
nigeria_music_traditional-flute-player,1,1,1
brazil_food_feijoada,1,1,1
portugal_education_cartilha-maternal,1,1,1
portugal_vegetable_beterraba,1,1,1
japan_beverages_yakult,1,1,1
japan_bird_japanese-bush-warbler,1,1,1
portugal_music_cavaquinho,1,1,1
united-states_music_country,1,1,1
brazil_fruit_guava,1,1,1
japan_beverages_nihonshu,1,1,1
india_sport_badminton,1,1,1
united-states_clothing_down-jacket,1,1,1
united-states_flower_rose,1,1,1
japan_education_vocational-school,1,1,1
india_religion_Hinduism,1,1,1
portugal_houses_casas-típicas-de-santana,1,1,1
brazil_vegetable_yam,1,1,1
united-states_food_hamburger,1,1,1
india_music_harmonium,1,1,1
united-states_utensil_fork,1,1,1
united-states_visual-arts_street-art,1,1,1
brazil_music_forró,1,1,1
brazil_agriculture_coffee,1,1,1
india_beverages_kingfisher-beer,1,1,1
brazil_fruit_papaya,1,1,1
nigeria_houses_aso-villa,1,1,1
united-states_celebrations_christmas,1,1,1
portugal_houses_aldeias-do-xisto,1,1,1
brazil_clothing_bikini,1,1,1
nigeria_music_talking-drum,1,1,1
japan_visual-arts_shodō,1,1,1
japan_agriculture_稲作,1,1,1
united-states_celebrations_halloween,1,1,1
brazil_houses_sobrado,1,1,1
japan_sport_judo,1,1,1
india_education_gurukula,1,1,1
united-states_utensil_tongs,1,1,1
brazil_sport_futsal,1,1,1
brazil_utensil_squeegee,1,1,1
nigeria_mammal_bat,1,1,1
portugal_sport_tennis,1,1,1
japan_visual-arts_manga,1,1,1
india_houses_Temple,1,1,1
united-states_clothing_jeans,1,1,1
united-states_bird_mourning-dove,1,1,1
india_beverages_nimbu-paani,1,1,1
united-states_fruit_blueberry,1,1,1
nigeria_religion_baháʼí-faith-in-nigeria,1,1,1
india_education_Vedas,1,1,1
brazil_religion_umbanda,1,1,1
portugal_vegetable_potato,1,1,1
portugal_beverages_port-wine,1,1,1
brazil_beverages_mate,1,1,1
nigeria_fruit_pineapple,1,1,1
portugal_religion_judaísmo,1,1,1
india_vegetable_Spinach,1,1,1
japan_vegetable_wasabi,1,1,1
portugal_music_fado-de-lisboa,1,1,1
portugal_religion_orthodoxy,1,1,1
united-states_utensil_spatula,1,1,1
japan_music_visual-kei,1,1,1
nigeria_mammal_african-forest-elephant,1,1,1
nigeria_clothing_wrapper,1,1,1
japan_beverages_matcha,1,1,1
japan_mammal_yezo-sika-deer,1,1,1
brazil_sport_association-football,1,1,1
japan_utensil_chasen,1,1,1
nigeria_visual-arts_glass-art,1,1,1
india_mammal_elephant,1,1,1
united-states_visual-arts_mural-painting,1,1,1
japan_beverages_barley-tea,1,1,1
brazil_vegetable_potato,1,1,1
japan_education_kyūshoku,1,1,1
japan_vegetable_daikon,1,1,1
brazil_flower_bromelia,1,1,1
nigeria_food_akara,1,1,1
india_flower_Hibiscus,1,1,1
nigeria_bird_duck,1,1,1
india_utensil_Skimmer,1,1,1
brazil_music_samba,1,1,1
brazil_vegetable_okra,1,1,1
japan_clothing_tabi,1,1,1
japan_visual-arts_ukiyo-e,1,1,1
brazil_religion_catholic-church,1,1,1
portugal_flower_dianthus-caryophyllus,1,1,1
japan_sport_karate,1,1,1
japan_flower_hydrangea-macrophylla,1,1,1
india_food_Samosa,1,1,1
japan_celebrations_oshōgatsu,1,1,1
india_mammal_langur-monkey,1,1,1
brazil_mammal_jaguar,1,1,1
nigeria_music_jazz,1,1,1
nigeria_education_computer-classes,1,1,1
brazil_religion_protestantism-in-brazil,1,1,1
portugal_houses_palácio-de-cristal,1,1,1
japan_food_miso-soup,1,1,1
nigeria_mammal_greater-cane-rat,1,1,1
india_flower_Jasmine,1,1,1
united-states_clothing_suit,1,1,1
united-states_agriculture_dairy-farming,1,1,1
brazil_education_whiteboard,1,1,1
japan_vegetable_renkon,1,1,1
japan_music_gagaku,1,1,1
japan_utensil_donabe,1,1,1
portugal_mammal_red-squirrel,1,1,1
united-states_mammal_american-black-bear,1,1,1
india_bird_House-sparrow,1,1,1
brazil_utensil_mortar-and-pestle,1,1,1
