Key,cap-edit,cap-retrieve,e2e-instruct
india_beverages_filter-coffee,5,1,5
united-states_food_fried-chicken,5,1,5
japan_celebrations_tanabata,5,5,4
india_beverages_chai,5,5,1
united-states_sport_basketball,1,5,5
nigeria_music_traditional-flute-player,5,5,1
brazil_food_feijoada,5,1,5
portugal_education_cartilha-maternal,5,1,5
portugal_vegetable_beterraba,5,1,5
japan_beverages_yakult,1,5,5
japan_bird_japanese-bush-warbler,5,1,5
portugal_music_cavaquinho,5,5,1
united-states_music_country,1,5,5
brazil_fruit_guava,5,5,1
japan_beverages_nihonshu,5,1,5
india_sport_badminton,1,5,5
united-states_clothing_down-jacket,5,5,1
united-states_flower_rose,1,5,5
japan_education_vocational-school,5,5,1
india_religion_Hinduism,5,5,1
portugal_houses_casas-típicas-de-santana,2,5,5
brazil_vegetable_yam,5,1,5
united-states_food_hamburger,5,5,1
india_music_harmonium,1,5,5
united-states_utensil_fork,5,1,5
united-states_visual-arts_street-art,5,5,1
brazil_music_forró,5,5,1
brazil_agriculture_coffee,5,5,1
india_beverages_kingfisher-beer,5,1,5
brazil_fruit_papaya,1,5,5
nigeria_houses_aso-villa,5,5,1
united-states_celebrations_christmas,5,1,5
portugal_houses_aldeias-do-xisto,5,1,1
brazil_clothing_bikini,5,5,1
nigeria_music_talking-drum,5,5,1
japan_visual-arts_shodō,1,5,5
japan_agriculture_稲作,5,1,5
united-states_celebrations_halloween,1,5,5
brazil_houses_sobrado,5,5,1
japan_sport_judo,5,1,5
india_education_gurukula,5,5,1
united-states_utensil_tongs,1,5,5
brazil_sport_futsal,1,5,5
brazil_utensil_squeegee,1,1,5
nigeria_mammal_bat,5,5,1
portugal_sport_tennis,1,5,5
japan_visual-arts_manga,5,1,5
india_houses_Temple,1,5,5
united-states_clothing_jeans,5,1,5
united-states_bird_mourning-dove,1,5,5
india_beverages_nimbu-paani,1,5,5
united-states_fruit_blueberry,1,5,5
nigeria_religion_baháʼí-faith-in-nigeria,1,5,5
india_education_Vedas,5,5,1
brazil_religion_umbanda,1,4,5
portugal_vegetable_potato,5,1,5
portugal_beverages_port-wine,5,1,5
brazil_beverages_mate,1,5,5
nigeria_fruit_pineapple,1,5,5
portugal_religion_judaísmo,5,1,5
india_vegetable_Spinach,1,5,5
japan_vegetable_wasabi,5,5,1
portugal_music_fado-de-lisboa,1,5,5
portugal_religion_orthodoxy,1,5,5
united-states_utensil_spatula,5,5,1
japan_music_visual-kei,5,5,1
nigeria_mammal_african-forest-elephant,1,5,5
nigeria_clothing_wrapper,1,5,5
japan_beverages_matcha,5,1,5
japan_mammal_yezo-sika-deer,5,5,1
brazil_sport_association-football,5,1,5
japan_utensil_chasen,5,1,5
nigeria_visual-arts_glass-art,5,1,5
india_mammal_elephant,5,5,1
united-states_visual-arts_mural-painting,1,5,5
japan_beverages_barley-tea,5,1,5
brazil_vegetable_potato,1,5,5
japan_education_kyūshoku,5,1,5
japan_vegetable_daikon,5,5,1
brazil_flower_bromelia,1,3,1
nigeria_food_akara,5,5,1
india_flower_Hibiscus,5,5,1
nigeria_bird_duck,5,1,5
india_utensil_Skimmer,5,5,1
brazil_music_samba,5,5,1
brazil_vegetable_okra,5,1,5
japan_clothing_tabi,5,5,1
japan_visual-arts_ukiyo-e,5,5,1
brazil_religion_catholic-church,5,1,5
portugal_flower_dianthus-caryophyllus,5,4,1
japan_sport_karate,5,5,1
japan_flower_hydrangea-macrophylla,5,1,5
india_food_Samosa,5,5,1
japan_celebrations_oshōgatsu,5,5,1
india_mammal_langur-monkey,1,5,5
brazil_mammal_jaguar,5,5,1
nigeria_music_jazz,1,5,5
nigeria_education_computer-classes,5,1,5
brazil_religion_protestantism-in-brazil,5,1,5
portugal_houses_palácio-de-cristal,5,5,1
japan_food_miso-soup,5,1,5
nigeria_mammal_greater-cane-rat,5,5,1
india_flower_Jasmine,5,5,1
united-states_clothing_suit,1,5,5
united-states_agriculture_dairy-farming,1,5,5
brazil_education_whiteboard,5,5,1
japan_vegetable_renkon,1,1,5
japan_music_gagaku,5,1,5
japan_utensil_donabe,5,1,5
portugal_mammal_red-squirrel,5,1,5
united-states_mammal_american-black-bear,1,5,5
india_bird_House-sparrow,5,1,5
brazil_utensil_mortar-and-pestle,1,5,5
nigeria_visual-arts_pottery,5,5,1
nigeria_food_nigeria-jollof-rice-and-chicken-meat,5,5,1
united-states_vegetable_kale,1,3,5
japan_bird_kounotori,5,1,5
nigeria_clothing_boubou,5,1,5
brazil_utensil_wooden-spoon,5,1,5
portugal_religion_nossa-senhora-de-fatima,1,5,5
portugal_fruit_orange,1,3,5
united-states_visual-arts_pop-art,5,5,1
india_fruit_Mango,5,5,1
india_clothing_Shalwar-kameez,5,1,5
japan_food_sushi,5,5,2
nigeria_flower_ixora,1,5,5
portugal_agriculture_salt-pans,5,1,5
portugal_houses_palácio-nacional-de-belém,1,5,5
nigeria_visual-arts_igbo-art,5,1,5
japan_religion_torii,5,1,5
japan_bird_kiji,1,5,5
nigeria_agriculture_corn-farm,5,1,5
nigeria_bird_eagle,1,5,5
nigeria_sport_boxing,5,5,1
india_bird_Indian-roller,5,1,5
united-states_bird_american-crow,5,1,5
united-states_celebrations_thanksgiving,5,1,5
portugal_education_queima-das-fitas,5,5,1
united-states_mammal_white-tailed-deer,5,5,1
portugal_clothing_capote-alentejano,1,5,5
india_education_Central-Board-of-Secondary-Education,5,5,1
portugal_music_pimba,5,1,5
portugal_food_pastel-de-nata,1,5,5
japan_celebrations_coming-of-age-day,5,5,1
united-states_houses_ranch-style-house,5,1,5
brazil_flower_cattleya,5,5,1
india_celebrations_Vijayadashami,5,1,5
japan_clothing_hanten,1,5,5
united-states_education_boarding-school,5,5,1
united-states_houses_california-bungalow,5,5,1
india_food_Biryani,1,5,5
india_visual-arts_Pattachitra,5,5,1
japan_fruit_kyoho,5,5,1
portugal_education_university-of-coimbra,5,1,5
brazil_utensil_barbecue-grill,5,5,1
nigeria_clothing_isiagu,1,5,5
brazil_bird_tucano,5,5,1
portugal_clothing_ribeira,5,1,5
portugal_mammal_iberian-lynx,5,5,1
nigeria_houses_residential-estate,5,1,5
portugal_music_kizomba,5,1,5
united-states_sport_volleyball,5,5,1
united-states_sport_baseball,5,1,5
india_mammal_deer,1,5,5
nigeria_celebrations_ofala-festival,1,5,5
nigeria_food_pounded-yam,1,5,5
united-states_religion_mormonism,1,5,5
india_beverages_lassi,5,5,1
nigeria_education_igbo-apprentice-system,5,5,1
japan_education_sotsugyōshiki,5,5,1
united-states_mammal_north-american-beaver,5,1,5
united-states_agriculture_wheat,5,1,5
brazil_vegetable_cassava,1,5,5
japan_sport_kendō,5,1,5
brazil_houses_casas-bahia,5,1,5
