Key,cap-edit,cap-retrieve,e2e-instruct
india_beverages_filter-coffee,5,5,2
turkey_food_baklava,1,3,3
japan_celebrations_tanabata,1,1,3
india_beverages_chai,5,4,5
turkey_sport_basketball,5,5,5
nigeria_music_traditional-flute-player,1,1,1
brazil_food_feijoada,1,1,1
portugal_education_cartilha-maternal,2,4,2
portugal_vegetable_beterraba,3,4,3
japan_beverages_yakult,3,2,2
japan_bird_japanese-bush-warbler,3,3,3
portugal_music_cavaquinho,3,3,3
turkey_music_qanun,4,1,1
brazil_fruit_guava,3,3,3
japan_beverages_nihonshu,5,5,3
india_sport_badminton,5,5,5
turkey_clothing_fez,2,2,5
turkey_flower_tulip,5,5,5
japan_education_vocational-school,3,3,5
india_religion_Hinduism,1,1,1
portugal_houses_casas-típicas-de-santana,1,1,3
brazil_vegetable_yam,1,1,1
turkey_food_kebab,1,1,4
india_music_harmonium,4,3,3
turkey_utensil_sieve,5,5,5
turkey_visual-arts_calligraphy,1,1,5
brazil_music_forró,5,5,5
brazil_agriculture_coffee,5,5,3
india_beverages_kingfisher-beer,5,5,5
brazil_fruit_papaya,4,1,4
nigeria_houses_aso-villa,4,4,5
turkey_celebrations_national-sovereignty-and-childrens-day,5,5,5
portugal_houses_aldeias-do-xisto,1,3,4
brazil_clothing_bikini,5,5,5
nigeria_music_talking-drum,3,3,4
japan_visual-arts_shodō,3,1,1
japan_agriculture_稲作,1,5,1
turkey_celebrations_commemoration-of-atatürk-youth-and-sports-day,3,3,3
brazil_houses_sobrado,4,3,3
japan_sport_judo,2,2,2
india_education_gurukula,2,2,5
turkey_utensil_hammer,5,5,3
brazil_sport_futsal,2,2,2
brazil_utensil_squeegee,2,2,5
nigeria_mammal_bat,5,5,3
portugal_sport_tennis,4,4,4
japan_visual-arts_manga,2,1,2
india_houses_Temple,1,1,1
turkey_clothing_yelek,5,5,5
turkey_bird_crow,5,3,3
india_beverages_nimbu-paani,5,5,5
turkey_fruit_fig,5,5,5
nigeria_religion_baháʼí-faith-in-nigeria,3,3,3
india_education_Vedas,3,3,3
brazil_religion_umbanda,4,4,4
portugal_vegetable_potato,5,5,5
portugal_beverages_port-wine,4,4,4
brazil_beverages_mate,3,3,3
nigeria_fruit_pineapple,5,5,5
portugal_religion_judaísmo,3,3,3
india_vegetable_Spinach,5,5,5
japan_vegetable_wasabi,5,5,3
portugal_music_fado-de-lisboa,3,3,3
portugal_religion_orthodoxy,1,1,1
turkey_utensil_peşkir,1,1,1
japan_music_visual-kei,3,3,1
nigeria_mammal_african-forest-elephant,5,5,5
nigeria_clothing_wrapper,4,4,4
japan_beverages_matcha,1,3,1
japan_mammal_yezo-sika-deer,5,5,5
brazil_sport_association-football,4,4,4
japan_utensil_chasen,1,5,1
nigeria_visual-arts_glass-art,4,5,4
india_mammal_elephant,3,3,2
turkey_visual-arts_paper-marbling,5,3,3
japan_beverages_barley-tea,5,3,5
brazil_vegetable_potato,5,5,5
japan_education_kyūshoku,3,4,3
japan_vegetable_daikon,3,3,5
brazil_flower_bromelia,3,4,4
nigeria_food_akara,3,3,5
india_flower_Hibiscus,1,1,1
nigeria_bird_duck,5,5,5
india_utensil_Skimmer,5,5,5
brazil_music_samba,1,1,4
brazil_vegetable_okra,3,3,3
japan_clothing_tabi,1,1,5
japan_visual-arts_ukiyo-e,1,1,1
brazil_religion_catholic-church,1,1,1
portugal_flower_dianthus-caryophyllus,5,5,5
japan_sport_karate,4,4,5
japan_flower_hydrangea-macrophylla,5,5,5
india_food_Samosa,1,1,2
japan_celebrations_oshōgatsu,1,1,5
india_mammal_langur-monkey,4,3,3
brazil_mammal_jaguar,3,1,2
nigeria_music_jazz,5,5,5
nigeria_education_computer-classes,5,5,5
brazil_religion_protestantism-in-brazil,1,4,1
portugal_houses_palácio-de-cristal,1,5,5
japan_food_miso-soup,3,5,1
nigeria_mammal_greater-cane-rat,3,2,3
india_flower_Jasmine,1,1,1
turkey_clothing_turkish-salvar,3,4,3
turkey_agriculture_wheat,3,3,3
brazil_education_whiteboard,1,3,3
japan_vegetable_renkon,3,3,3
japan_music_gagaku,1,4,4
