Key,cap-edit,cap-retrieve,e2e-instruct
india_beverages_filter-coffee,2,4,5
turkey_food_baklava,5,5,1
japan_celebrations_tanabata,2,5,4
india_beverages_chai,5,1,3
turkey_sport_basketball,4,1,5
nigeria_music_traditional-flute-player,1,5,4
brazil_food_feijoada,5,4,1
portugal_education_cartilha-maternal,1,5,5
portugal_vegetable_beterraba,1,5,1
japan_beverages_yakult,3,2,5
japan_bird_japanese-bush-warbler,5,4,1
portugal_music_cavaquinho,5,2,1
turkey_music_qanun,4,2,3
brazil_fruit_guava,2,2,5
japan_beverages_nihonshu,5,3,1
india_sport_badminton,4,5,1
turkey_clothing_fez,2,1,5
turkey_flower_tulip,4,4,4
japan_education_vocational-school,1,5,5
india_religion_Hinduism,2,5,5
portugal_houses_casas-típicas-de-santana,4,5,1
brazil_vegetable_yam,1,3,5
turkey_food_kebab,5,5,1
india_music_harmonium,5,2,5
turkey_utensil_sieve,1,5,5
turkey_visual-arts_calligraphy,5,1,5
brazil_music_forró,2,5,5
brazil_agriculture_coffee,5,3,3
india_beverages_kingfisher-beer,5,2,1
brazil_fruit_papaya,5,1,5
nigeria_houses_aso-villa,1,5,5
turkey_celebrations_national-sovereignty-and-childrens-day,5,4,1
portugal_houses_aldeias-do-xisto,3,1,4
brazil_clothing_bikini,1,5,4
nigeria_music_talking-drum,1,5,5
japan_visual-arts_shodō,3,1,5
japan_agriculture_稲作,5,5,2
turkey_celebrations_commemoration-of-atatürk-youth-and-sports-day,4,2,5
brazil_houses_sobrado,1,1,4
japan_sport_judo,1,5,5
india_education_gurukula,4,4,5
turkey_utensil_hammer,3,5,1
brazil_sport_futsal,1,5,5
brazil_utensil_squeegee,4,4,5
nigeria_mammal_bat,3,5,1
portugal_sport_tennis,5,1,5
japan_visual-arts_manga,3,5,1
india_houses_Temple,5,3,1
turkey_clothing_yelek,5,5,2
turkey_bird_crow,5,3,3
india_beverages_nimbu-paani,5,5,4
turkey_fruit_fig,4,5,4
nigeria_religion_baháʼí-faith-in-nigeria,5,4,4
india_education_Vedas,3,3,4
brazil_religion_umbanda,5,2,5
portugal_vegetable_potato,5,3,1
portugal_beverages_port-wine,5,3,5
brazil_beverages_mate,4,2,3
nigeria_fruit_pineapple,5,4,5
portugal_religion_judaísmo,5,4,3
india_vegetable_Spinach,4,5,3
japan_vegetable_wasabi,3,5,3
portugal_music_fado-de-lisboa,5,5,2
portugal_religion_orthodoxy,4,4,5
turkey_utensil_peşkir,3,4,4
japan_music_visual-kei,2,5,5
nigeria_mammal_african-forest-elephant,3,2,5
nigeria_clothing_wrapper,5,5,2
japan_beverages_matcha,1,5,4
japan_mammal_yezo-sika-deer,5,3,5
brazil_sport_association-football,1,5,5
japan_utensil_chasen,1,5,1
nigeria_visual-arts_glass-art,1,3,4
india_mammal_elephant,5,1,4
turkey_visual-arts_paper-marbling,5,4,2
japan_beverages_barley-tea,5,5,4
brazil_vegetable_potato,3,3,5
japan_education_kyūshoku,1,5,5
japan_vegetable_daikon,5,3,3
brazil_flower_bromelia,1,5,5
nigeria_food_akara,3,5,5
india_flower_Hibiscus,5,3,5
nigeria_bird_duck,4,4,4
india_utensil_Skimmer,1,5,4
brazil_music_samba,5,1,5
brazil_vegetable_okra,1,5,5
japan_clothing_tabi,4,5,4
japan_visual-arts_ukiyo-e,5,1,5
brazil_religion_catholic-church,5,5,1
portugal_flower_dianthus-caryophyllus,3,5,5
japan_sport_karate,5,1,4
japan_flower_hydrangea-macrophylla,5,5,2
india_food_Samosa,5,1,5
japan_celebrations_oshōgatsu,1,5,5
india_mammal_langur-monkey,5,1,5
brazil_mammal_jaguar,5,1,5
nigeria_music_jazz,5,5,2
nigeria_education_computer-classes,1,5,5
brazil_religion_protestantism-in-brazil,1,5,2
portugal_houses_palácio-de-cristal,1,5,5
japan_food_miso-soup,4,5,1
nigeria_mammal_greater-cane-rat,1,5,1
india_flower_Jasmine,5,5,5
turkey_clothing_turkish-salvar,5,1,1
turkey_agriculture_wheat,5,5,5
brazil_education_whiteboard,4,1,5
japan_vegetable_renkon,5,3,4
japan_music_gagaku,1,1,1
japan_utensil_donabe,5,5,5
portugal_mammal_red-squirrel,5,4,4
turkey_mammal_roe-deer,4,4,1
india_bird_House-sparrow,5,4,3
brazil_utensil_mortar-and-pestle,5,5,5
nigeria_visual-arts_pottery,5,5,5
nigeria_food_nigeria-jollof-rice-and-chicken-meat,1,5,5
turkey_vegetable_cucumber,3,5,1
japan_bird_kounotori,2,4,1
nigeria_clothing_boubou,4,3,3
brazil_utensil_wooden-spoon,1,4,2
portugal_religion_nossa-senhora-de-fatima,2,3,5
portugal_fruit_orange,4,1,4
turkey_visual-arts_anatolian-rug,4,4,4
india_fruit_Mango,4,4,4
india_clothing_Shalwar-kameez,4,4,4
japan_food_sushi,3,5,4
nigeria_flower_ixora,4,3,4
portugal_agriculture_salt-pans,5,5,3
portugal_houses_palácio-nacional-de-belém,5,3,1
nigeria_visual-arts_igbo-art,4,4,4
japan_religion_torii,4,4,4
japan_bird_kiji,3,4,4
nigeria_agriculture_corn-farm,4,4,4
nigeria_bird_eagle,4,4,4
nigeria_sport_boxing,5,2,5
india_bird_Indian-roller,5,5,5
turkey_bird_domestic-pigeon,4,4,1
turkey_celebrations_republic-day,4,4,5
portugal_education_queima-das-fitas,4,4,4
turkey_mammal_angora-goat,2,5,3
portugal_clothing_capote-alentejano,4,2,2
india_education_Central-Board-of-Secondary-Education,4,4,4
portugal_music_pimba,4,4,4
portugal_food_pastel-de-nata,5,5,4
japan_celebrations_coming-of-age-day,2,5,1
turkey_houses_yalı,3,5,5
brazil_flower_cattleya,4,4,4
india_celebrations_Vijayadashami,3,4,5
japan_clothing_hanten,5,5,5
turkey_education_boğaziçi-university,1,3,4
turkey_houses_villa,4,4,4
india_food_Biryani,5,5,5
india_visual-arts_Pattachitra,4,2,5
japan_fruit_kyoho,4,4,4
portugal_education_university-of-coimbra,2,4,5
brazil_utensil_barbecue-grill,4,4,4
nigeria_clothing_isiagu,4,1,4
brazil_bird_tucano,4,4,2
portugal_clothing_ribeira,4,4,2
portugal_mammal_iberian-lynx,5,3,1
nigeria_houses_residential-estate,1,3,2
portugal_music_kizomba,4,3,3
turkey_sport_wrestling,4,4,4
turkey_sport_football,5,5,5
india_mammal_deer,5,4,5
nigeria_celebrations_ofala-festival,4,4,4
nigeria_food_pounded-yam,4,4,4
turkey_religion_christianity,4,4,4
india_beverages_lassi,4,4,3
nigeria_education_igbo-apprentice-system,4,4,3
japan_education_sotsugyōshiki,5,3,4
turkey_mammal_angora-cat,5,5,1
turkey_agriculture_olive,4,4,4
brazil_vegetable_cassava,4,4,3
japan_sport_kendō,3,3,2
brazil_houses_casas-bahia,5,5,5
japan_agriculture_pig-farming,5,5,5
portugal_education_blackboard,5,5,5
brazil_celebrations_festa-junina,4,5,5
india_houses_Villa,5,5,5
nigeria_clothing_agbada,4,4,4
nigeria_sport_volleyball,5,5,5
india_clothing_Sari,4,2,4
brazil_agriculture_maize,3,1,3
portugal_flower_girassol,4,4,3
nigeria_utensil_cutting-board,4,4,4
india_celebrations_Ganesh-Chaturthi,2,2,2
brazil_celebrations_independence-day,4,4,4
japan_houses_kinkaku-ji,3,3,2
turkey_food_i̇çli-pide,3,4,4
japan_vegetable_gobo,4,4,4
turkey_fruit_watermelon,4,3,3
portugal_vegetable_lettuce,4,4,3
turkey_sport_tennis,4,4,2
brazil_agriculture_sugarcane,4,3,4
nigeria_vegetable_garden-egg,4,3,3
portugal_visual-arts_azulejo,2,5,5
portugal_agriculture_olive-oil-mills,2,4,3
nigeria_music_cultural-dance-troupe,2,3,4
portugal_houses_piódão,3,3,4
brazil_sport_brazilian-jiu-jitsu,3,4,3
japan_clothing_kimono,3,4,3
india_music_tabla,4,1,4
turkey_clothing_tesettür,5,5,5
turkey_religion_islam,5,5,5
india_sport_cricket,5,5,5
brazil_mammal_maned-wolf,5,4,1
india_flower_Indian-Lotus,5,5,5
india_mammal_rhinoceros,5,5,5
japan_music_idol,2,4,5
india_sport_hockey,5,5,5
japan_vegetable_shiitake,5,5,3
japan_mammal_japanese-macaque,5,4,3
nigeria_sport_football,3,5,2
portugal_sport_canoeing,5,5,5
brazil_fruit_jabuticaba,5,1,5
nigeria_agriculture_poultry-farming,5,5,5
portugal_bird_gull,5,5,5
turkey_flower_hyacinth,4,2,5
portugal_celebrations_noite-branca,5,5,5
brazil_fruit_mango,5,5,5
portugal_mammal_porco,5,1,3
portugal_celebrations_romaria-de-nossa-senhora-d-agonía,3,5,1
japan_flower_fuji,1,1,3
nigeria_flower_hibiscus,1,5,5
brazil_agriculture_livestock,5,2,1
nigeria_vegetable_okra,5,4,5
brazil_religion_candomblé,4,1,4
india_sport_chess,4,5,5
turkey_celebrations_ramadan,3,3,5
india_utensil_Pressure-Cooker,5,5,5
brazil_education_federal-university-of-rio-de-janeiro,5,4,5
brazil_music_frevo,5,4,4
portugal_education_computer,3,3,5
turkey_houses_mosque,5,1,5
portugal_flower_orquídea,4,5,5
turkey_music_anatolian-rock,1,1,1
brazil_bird_sabiá-laranjeira,5,1,5
