Key,cap-edit,cap-retrieve,e2e-instruct
india_beverages_filter-coffee,5,4,5
turkey_food_baklava,5,4,5
japan_celebrations_tanabata,5,5,1
india_beverages_chai,5,5,4
turkey_sport_basketball,4,5,5
nigeria_music_traditional-flute-player,5,5,5
brazil_food_feijoada,5,4,5
portugal_education_cartilha-maternal,3,5,5
portugal_vegetable_beterraba,3,5,3
japan_beverages_yakult,1,5,5
japan_bird_japanese-bush-warbler,5,5,5
portugal_music_cavaquinho,5,5,4
turkey_music_qanun,1,5,5
brazil_fruit_guava,5,5,4
japan_beverages_nihonshu,5,1,4
india_sport_badminton,5,5,5
turkey_clothing_fez,5,1,5
turkey_flower_tulip,5,5,5
japan_education_vocational-school,5,5,5
india_religion_Hinduism,5,5,5
portugal_houses_casas-típicas-de-santana,1,5,5
brazil_vegetable_yam,5,5,5
turkey_food_kebab,5,5,5
india_music_harmonium,5,5,5
turkey_utensil_sieve,5,1,5
turkey_visual-arts_calligraphy,5,2,2
brazil_music_forró,5,5,5
brazil_agriculture_coffee,5,4,2
india_beverages_kingfisher-beer,5,5,5
brazil_fruit_papaya,5,1,5
nigeria_houses_aso-villa,2,5,5
turkey_celebrations_national-sovereignty-and-childrens-day,5,5,5
portugal_houses_aldeias-do-xisto,5,4,5
brazil_clothing_bikini,5,5,1
nigeria_music_talking-drum,4,5,5
japan_visual-arts_shodō,1,3,5
japan_agriculture_稲作,5,4,5
turkey_celebrations_commemoration-of-atatürk-youth-and-sports-day,4,3,4
brazil_houses_sobrado,5,5,5
japan_sport_judo,5,5,5
india_education_gurukula,5,5,5
turkey_utensil_hammer,1,5,3
brazil_sport_futsal,5,5,5
brazil_utensil_squeegee,5,5,5
nigeria_mammal_bat,1,5,3
portugal_sport_tennis,5,5,5
japan_visual-arts_manga,5,1,5
india_houses_Temple,5,5,5
turkey_clothing_yelek,5,5,5
turkey_bird_crow,5,5,5
india_beverages_nimbu-paani,5,5,5
turkey_fruit_fig,5,5,5
nigeria_religion_baháʼí-faith-in-nigeria,5,5,5
india_education_Vedas,5,5,5
brazil_religion_umbanda,5,5,5
portugal_vegetable_potato,5,2,5
portugal_beverages_port-wine,5,5,5
brazil_beverages_mate,5,5,5
nigeria_fruit_pineapple,5,5,5
portugal_religion_judaísmo,5,3,5
india_vegetable_Spinach,5,5,5
japan_vegetable_wasabi,5,5,5
portugal_music_fado-de-lisboa,2,5,5
portugal_religion_orthodoxy,5,5,5
turkey_utensil_peşkir,4,4,3
japan_music_visual-kei,3,3,4
nigeria_mammal_african-forest-elephant,5,5,5
nigeria_clothing_wrapper,3,5,5
japan_beverages_matcha,2,1,4
japan_mammal_yezo-sika-deer,5,5,5
brazil_sport_association-football,5,5,5
japan_utensil_chasen,4,1,2
nigeria_visual-arts_glass-art,4,1,5
india_mammal_elephant,5,5,5
turkey_visual-arts_paper-marbling,5,5,3
japan_beverages_barley-tea,5,4,5
brazil_vegetable_potato,3,5,5
japan_education_kyūshoku,4,1,4
japan_vegetable_daikon,5,5,5
brazil_flower_bromelia,3,5,5
nigeria_food_akara,5,5,5
india_flower_Hibiscus,5,5,5
nigeria_bird_duck,5,5,5
india_utensil_Skimmer,5,5,1
brazil_music_samba,4,2,3
brazil_vegetable_okra,5,5,5
japan_clothing_tabi,5,5,1
japan_visual-arts_ukiyo-e,5,3,5
brazil_religion_catholic-church,5,5,4
portugal_flower_dianthus-caryophyllus,5,5,1
japan_sport_karate,5,5,2
japan_flower_hydrangea-macrophylla,5,5,5
india_food_Samosa,5,5,5
japan_celebrations_oshōgatsu,5,3,1
india_mammal_langur-monkey,1,5,5
brazil_mammal_jaguar,5,1,4
nigeria_music_jazz,5,5,5
nigeria_education_computer-classes,5,5,5
brazil_religion_protestantism-in-brazil,5,5,5
portugal_houses_palácio-de-cristal,1,5,3
japan_food_miso-soup,5,5,2
nigeria_mammal_greater-cane-rat,1,4,1
india_flower_Jasmine,5,5,1
turkey_clothing_turkish-salvar,1,1,3
turkey_agriculture_wheat,2,4,5
brazil_education_whiteboard,4,4,1
japan_vegetable_renkon,1,2,4
japan_music_gagaku,5,1,3
japan_utensil_donabe,4,1,4
portugal_mammal_red-squirrel,4,4,4
turkey_mammal_roe-deer,5,1,4
india_bird_House-sparrow,4,1,4
brazil_utensil_mortar-and-pestle,1,4,3
nigeria_visual-arts_pottery,5,5,2
nigeria_food_nigeria-jollof-rice-and-chicken-meat,1,5,1
turkey_vegetable_cucumber,2,4,5
japan_bird_kounotori,5,2,5
nigeria_clothing_boubou,4,1,5
brazil_utensil_wooden-spoon,3,1,4
portugal_religion_nossa-senhora-de-fatima,3,4,5
portugal_fruit_orange,2,3,2
turkey_visual-arts_anatolian-rug,4,4,1
india_fruit_Mango,5,5,1
india_clothing_Shalwar-kameez,5,1,4
japan_food_sushi,5,5,1
nigeria_flower_ixora,3,4,5
portugal_agriculture_salt-pans,5,1,2
portugal_houses_palácio-nacional-de-belém,1,4,4
nigeria_visual-arts_igbo-art,5,2,5
japan_religion_torii,5,2,5
japan_bird_kiji,1,4,4
nigeria_agriculture_corn-farm,4,2,5
nigeria_bird_eagle,1,5,5
nigeria_sport_boxing,4,4,1
india_bird_Indian-roller,5,1,5
turkey_bird_domestic-pigeon,5,1,5
turkey_celebrations_republic-day,4,4,1
portugal_education_queima-das-fitas,4,4,1
turkey_mammal_angora-goat,1,5,1
portugal_clothing_capote-alentejano,3,5,5
india_education_Central-Board-of-Secondary-Education,5,5,2
portugal_music_pimba,4,2,5
portugal_food_pastel-de-nata,1,4,4
japan_celebrations_coming-of-age-day,5,5,1
turkey_houses_yalı,5,3,5
brazil_flower_cattleya,4,4,4
india_celebrations_Vijayadashami,5,1,5
japan_clothing_hanten,3,5,5
turkey_education_boğaziçi-university,3,4,2
turkey_houses_villa,4,4,4
india_food_Biryani,1,4,4
india_visual-arts_Pattachitra,5,5,1
japan_fruit_kyoho,4,3,2
portugal_education_university-of-coimbra,2,1,4
brazil_utensil_barbecue-grill,5,5,1
nigeria_clothing_isiagu,3,5,5
brazil_bird_tucano,5,5,3
portugal_clothing_ribeira,5,1,5
portugal_mammal_iberian-lynx,4,4,2
nigeria_houses_residential-estate,2,4,3
portugal_music_kizomba,4,4,4
turkey_sport_wrestling,5,5,5
turkey_sport_football,5,4,5
india_mammal_deer,4,4,5
nigeria_celebrations_ofala-festival,5,3,4
nigeria_food_pounded-yam,1,5,5
turkey_religion_christianity,3,4,4
india_beverages_lassi,5,4,1
nigeria_education_igbo-apprentice-system,4,5,1
japan_education_sotsugyōshiki,5,4,1
turkey_mammal_angora-cat,4,4,4
turkey_agriculture_olive,4,2,4
brazil_vegetable_cassava,2,5,4
japan_sport_kendō,4,4,4
brazil_houses_casas-bahia,4,2,4
japan_agriculture_pig-farming,5,5,4
portugal_education_blackboard,1,5,5
brazil_celebrations_festa-junina,4,4,5
india_houses_Villa,5,4,4
nigeria_clothing_agbada,4,2,4
nigeria_sport_volleyball,4,4,5
india_clothing_Sari,5,5,2
brazil_agriculture_maize,1,1,1
portugal_flower_girassol,4,2,2
nigeria_utensil_cutting-board,4,3,4
india_celebrations_Ganesh-Chaturthi,4,3,4
