Key,cap-edit,cap-retrieve,e2e-instruct
india_beverages_filter-coffee,4,1,5
turkey_food_baklava,5,1,5
japan_celebrations_tanabata,4,5,1
india_beverages_chai,5,4,2
turkey_sport_basketball,1,4,5
nigeria_music_traditional-flute-player,4,5,1
brazil_food_feijoada,5,1,5
portugal_education_cartilha-maternal,4,1,5
portugal_vegetable_beterraba,5,1,4
japan_beverages_yakult,2,5,5
japan_bird_japanese-bush-warbler,5,2,3
portugal_music_cavaquinho,5,5,1
turkey_music_qanun,1,5,5
brazil_fruit_guava,5,5,1
japan_beverages_nihonshu,5,1,5
india_sport_badminton,2,5,5
turkey_clothing_fez,5,4,4
turkey_flower_tulip,2,5,5
japan_education_vocational-school,5,5,2
india_religion_Hinduism,5,5,3
portugal_houses_casas-típicas-de-santana,1,5,5
brazil_vegetable_yam,5,1,5
turkey_food_kebab,5,5,3
india_music_harmonium,1,5,5
turkey_utensil_sieve,5,1,5
turkey_visual-arts_calligraphy,5,5,1
brazil_music_forró,5,5,2
brazil_agriculture_coffee,5,5,1
india_beverages_kingfisher-beer,5,4,5
brazil_fruit_papaya,2,5,5
nigeria_houses_aso-villa,4,5,1
turkey_celebrations_national-sovereignty-and-childrens-day,5,3,5
portugal_houses_aldeias-do-xisto,5,1,1
brazil_clothing_bikini,5,5,2
nigeria_music_talking-drum,5,5,3
japan_visual-arts_shodō,1,5,5
japan_agriculture_稲作,5,2,5
turkey_celebrations_commemoration-of-atatürk-youth-and-sports-day,4,3,4
brazil_houses_sobrado,5,5,2
japan_sport_judo,4,1,5
india_education_gurukula,5,5,4
turkey_utensil_hammer,1,5,5
brazil_sport_futsal,4,1,5
brazil_utensil_squeegee,5,5,4
nigeria_mammal_bat,1,5,5
portugal_sport_tennis,2,5,5
japan_visual-arts_manga,1,5,1
india_houses_Temple,2,5,5
turkey_clothing_yelek,5,5,5
turkey_bird_crow,3,5,5
india_beverages_nimbu-paani,1,5,5
turkey_fruit_fig,1,5,5
nigeria_religion_baháʼí-faith-in-nigeria,3,5,5
india_education_Vedas,5,4,2
brazil_religion_umbanda,1,5,5
portugal_vegetable_potato,5,1,5
portugal_beverages_port-wine,5,1,5
brazil_beverages_mate,3,5,5
nigeria_fruit_pineapple,1,5,5
portugal_religion_judaísmo,5,1,5
india_vegetable_Spinach,1,5,5
japan_vegetable_wasabi,5,5,2
