Key,cap-edit,cap-retrieve,e2e-instruct
india_beverages_filter-coffee,4,5,1
turkey_food_baklava,2,5,4
japan_celebrations_tanabata,3,2,5
india_beverages_chai,2,4,5
turkey_sport_basketball,5,4,1
nigeria_music_traditional-flute-player,4,1,5
brazil_food_feijoada,2,5,4
portugal_education_cartilha-maternal,5,5,1
portugal_vegetable_beterraba,4,5,5
japan_beverages_yakult,5,4,1
japan_bird_japanese-bush-warbler,1,4,5
portugal_music_cavaquinho,2,3,5
turkey_music_qanun,5,4,4
brazil_fruit_guava,4,4,5
japan_beverages_nihonshu,1,5,4
india_sport_badminton,5,1,4
turkey_clothing_fez,4,5,5
turkey_flower_tulip,5,2,2
japan_education_vocational-school,4,1,5
india_religion_Hinduism,4,1,5
portugal_houses_casas-típicas-de-santana,5,1,4
brazil_vegetable_yam,4,5,1
turkey_food_kebab,1,4,5
india_music_harmonium,5,4,1
turkey_utensil_sieve,5,5,1
turkey_visual-arts_calligraphy,1,2,5
brazil_music_forró,4,1,5
brazil_agriculture_coffee,1,2,5
india_beverages_kingfisher-beer,1,5,4
brazil_fruit_papaya,4,5,2
nigeria_houses_aso-villa,5,1,5
turkey_celebrations_national-sovereignty-and-childrens-day,1,5,4
portugal_houses_aldeias-do-xisto,4,5,5
brazil_clothing_bikini,4,1,5
nigeria_music_talking-drum,5,1,5
japan_visual-arts_shodō,5,4,1
japan_agriculture_稲作,1,5,4
turkey_celebrations_commemoration-of-atatürk-youth-and-sports-day,3,4,3
brazil_houses_sobrado,4,4,5
japan_sport_judo,5,5,1
india_education_gurukula,3,3,5
turkey_utensil_hammer,5,4,5
brazil_sport_futsal,5,5,1
brazil_utensil_squeegee,3,3,5
nigeria_mammal_bat,5,4,5
portugal_sport_tennis,5,4,1
japan_visual-arts_manga,4,5,5
india_houses_Temple,4,4,5
turkey_clothing_yelek,2,5,5
turkey_bird_crow,5,3,2
india_beverages_nimbu-paani,5,2,2
turkey_fruit_fig,5,1,2
