Key,e2e-instruct,cap-retrieve,cap-edit
education_k5-sort_data-5,4,5,5
education_k5-analyse-9,1,1,1
education_k5-sort-1,4,1,4
education_k5-belong-6,5,5,4
education_k5-belong-1,5,5,1
education_k5-analyse-7,1,5,5
education_k5-sort_count-6,1,4,5
education_k5-count-7,5,4,1
education_k5-sort_count-1,1,1,4
education_k5-count-9,1,5,5
education_k5-analyse-6,1,5,1
education_k5-analyse-1,1,5,5
education_k5-analyse-8,5,1,5
education_k5-sort_data-4,1,4,1
education_k5-count-12,4,1,1
education_k5-count-8,5,4,1
education_k5-count-1,5,1,1
education_k5-count-6,1,1,1
education_k5-count-11,4,5,4
education_k5-sort_count-4,1,1,5
education_k5-count-5,3,4,5
education_k5-count-2,5,5,5
education_k5-sort_count-3,1,1,1
education_k5-analyse-2,1,3,4
education_k5-belong-4,1,4,5
education_k5-belong-3,1,5,1
education_k5-analyse-5,1,5,1
education_k5-analyse-10,5,1,1
education_k5-count-3,1,4,5
education_k5-sort_count-2,3,1,1
education_k5-sort_count-5,5,4,5
education_k5-count-4,5,1,5
education_k5-count-10,1,5,4
education_k5-sort_data-1,4,1,1
education_k5-sort-2,2,3,3
education_k5-analyse-11,4,1,1
education_k5-belong-2,5,5,1
education_k5-analyse-4,1,1,5
education_k5-analyse-3,5,4,2
education_k5-belong-5,4,1,1
stories_namukuru's_bicycle,4,5,3
stories_happy,5,5,5
stories_pehelwaan_ji,5,4,1
stories_dole_agu_lo_oo,3,4,4
stories_greetings,4,5,3
stories_feet_hands_and_head,1,5,1
stories_the_busy_big_mango_tree,1,3,5
stories_tingi_and_the_cows,1,1,5
stories_basara,4,5,4
stories_toto,5,4,3
stories_my_home,5,5,5
stories_mepu,4,4,5
stories_naughty_or_not,5,5,5
stories_pig,3,1,1
stories_cake,4,5,2
stories_cat_and_dog_and_the_yam,1,1,5
stories_hamo_os_du_ut,4,5,4
stories_asi_uli,1,1,1
stories_o_rain_come,5,1,2
stories_let_s_go,1,5,1
stories_importance_of_trees,4,1,4
stories_i_spy_shapes,1,1,3
stories_19-friends,1,4,5
stories_helping_others,1,5,5
stories_nakitto_at_school,5,1,5
stories_butandwa_eyakabi,4,1,5
stories_annoying_mosquito,5,1,1
stories_homes,3,3,4
stories_my_very_own_scooter,1,5,3
stories_who_colored_the_clouds,1,1,4
stories_i_feel,4,4,4
stories_apa_m_ba_serbisu,5,5,5
stories_pinky,5,5,5
stories_chingoo_s_ching_ching,2,2,2
stories_jojo_and_cow,1,5,5
stories_school,1,1,1
stories_greed,5,4,5
stories_baraka's_school_schedule,5,5,1
stories_don_likes_bats_and_frogs,1,1,1
stories_soccer_game_is_good,1,5,5
stories_mama__what’s_for_dinner,3,1,4
stories_my_family,1,1,5
stories_hơmư̆,1,1,1
stories_fire's_story,1,1,1
stories_reba_wants_ice_cream,5,4,5
stories_yes_you_can!,1,4,4
stories_where_do_these_ants_go,1,1,5
stories_happy_and_sad,5,5,5
stories_tiu_id_nor_solaia_id,3,5,3
stories_my_body,1,1,4
stories_different_people_with_different_hair,3,5,5
stories_la_pata_lupita,1,1,5
stories_milk_is_good,4,1,5
stories_learning_at_home,5,1,4
stories_wiar_kobit-19,4,1,5
stories_cat_and_dog_and_the_egg,4,1,5
stories_my_face_tells_a_story,1,1,1
stories_monu_was_lost_and_found!,1,5,4
stories_different_abilities,1,5,5
stories_lara_the_yellow_ladybird,5,1,2
stories_friends,5,5,3
