Key,e2e-instruct,cap-retrieve,cap-edit
education_k5-sort_data-5,5,1,5
education_k5-analyse-9,1,4,5
education_k5-sort-1,4,4,1
education_k5-belong-6,5,1,5
education_k5-belong-1,3,4,5
education_k5-analyse-7,5,3,1
education_k5-sort_count-6,5,3,1
education_k5-count-7,1,3,5
education_k5-sort_count-1,1,5,5
education_k5-count-9,2,3,1
education_k5-analyse-6,1,4,5
education_k5-analyse-1,1,3,1
education_k5-analyse-8,3,5,1
education_k5-sort_data-4,1,2,5
education_k5-count-12,3,1,4
education_k5-count-8,1,3,5
education_k5-count-1,5,1,1
education_k5-count-6,5,3,5
education_k5-count-11,5,2,5
education_k5-sort_count-4,1,4,3
education_k5-count-5,4,3,1
education_k5-count-2,3,5,1
education_k5-sort_count-3,1,5,5
education_k5-analyse-2,5,5,1
education_k5-belong-4,4,3,1
education_k5-belong-3,5,1,5
education_k5-analyse-5,5,1,5
education_k5-analyse-10,3,4,1
education_k5-count-3,5,1,4
education_k5-sort_count-2,5,1,4
education_k5-sort_count-5,1,3,3
education_k5-count-4,4,5,1
education_k5-count-10,3,3,1
education_k5-sort_data-1,3,4,1
education_k5-sort-2,5,4,1
education_k5-analyse-11,4,5,1
education_k5-belong-2,1,5,5
education_k5-analyse-4,5,3,1
education_k5-analyse-3,2,3,3
education_k5-belong-5,1,5,5
stories_namukuru's_bicycle,5,1,5
stories_happy,1,5,5
stories_pehelwaan_ji,1,5,5
stories_dole_agu_lo_oo,2,1,5
stories_greetings,5,1,5
stories_feet_hands_and_head,5,5,5
stories_the_busy_big_mango_tree,5,5,5
stories_tingi_and_the_cows,5,5,4
stories_basara,3,5,5
stories_toto,1,5,5
stories_my_home,5,1,3
stories_mepu,5,5,5
stories_naughty_or_not,1,4,4
stories_pig,4,2,1
stories_cake,3,1,5
stories_cat_and_dog_and_the_yam,5,1,1
stories_hamo_os_du_ut,1,5,5
stories_asi_uli,5,1,5
stories_o_rain_come,1,5,5
stories_let_s_go,5,1,4
stories_importance_of_trees,5,1,5
stories_i_spy_shapes,3,5,3
stories_19-friends,5,3,1
stories_helping_others,5,1,5
stories_nakitto_at_school,5,5,5
stories_butandwa_eyakabi,5,5,1
stories_annoying_mosquito,2,5,5
stories_homes,3,5,5
stories_my_very_own_scooter,5,1,5
stories_who_colored_the_clouds,5,1,5
stories_i_feel,5,5,1
stories_apa_m_ba_serbisu,5,5,5
stories_pinky,5,5,5
stories_chingoo_s_ching_ching,5,5,3
stories_jojo_and_cow,5,5,1
stories_school,4,5,1
stories_greed,5,5,5
stories_baraka's_school_schedule,5,1,5
stories_don_likes_bats_and_frogs,5,4,1
stories_soccer_game_is_good,5,1,5
stories_mama__what’s_for_dinner,5,1,5
stories_my_family,5,5,1
stories_hơmư̆,5,1,5
stories_fire's_story,5,5,3
stories_reba_wants_ice_cream,2,5,5
stories_yes_you_can!,5,1,4
stories_where_do_these_ants_go,5,5,5
stories_happy_and_sad,5,5,1
stories_tiu_id_nor_solaia_id,5,1,5
stories_my_body,1,5,5
stories_different_people_with_different_hair,5,5,1
stories_la_pata_lupita,1,5,3
stories_milk_is_good,3,5,1
stories_learning_at_home,4,5,3
stories_wiar_kobit-19,3,3,1
stories_cat_and_dog_and_the_egg,3,5,1
stories_my_face_tells_a_story,5,5,3
stories_monu_was_lost_and_found!,5,3,5
stories_different_abilities,5,1,5
stories_lara_the_yellow_ladybird,1,5,5
stories_friends,3,5,5
