Key,e2e-instruct,cap-retrieve,cap-edit
education_k5-sort_data-5,5,1,5
education_k5-analyse-9,2,3,5
education_k5-sort-1,3,4,1
education_k5-belong-6,1,5,1
education_k5-belong-1,1,5,1
education_k5-analyse-7,5,2,1
education_k5-sort_count-6,5,3,1
education_k5-count-7,1,2,5
education_k5-sort_count-1,1,5,3
education_k5-count-9,5,4,1
education_k5-analyse-6,3,4,4
education_k5-analyse-1,2,5,2
education_k5-analyse-8,1,4,2
education_k5-sort_data-4,2,3,5
education_k5-count-12,3,1,3
education_k5-count-8,1,1,4
education_k5-count-1,4,5,5
education_k5-count-6,3,2,4
education_k5-count-11,4,1,4
education_k5-sort_count-4,1,4,2
education_k5-count-5,4,4,1
education_k5-count-2,4,4,2
education_k5-sort_count-3,1,2,4
education_k5-analyse-2,2,4,1
education_k5-belong-4,4,3,1
education_k5-belong-3,4,1,3
education_k5-analyse-5,1,2,3
education_k5-analyse-10,2,3,1
education_k5-count-3,4,1,4
education_k5-sort_count-2,2,1,4
education_k5-sort_count-5,1,4,3
education_k5-count-4,2,4,1
education_k5-count-10,2,5,1
education_k5-sort_data-1,2,4,1
education_k5-sort-2,4,2,4
education_k5-analyse-11,2,4,1
education_k5-belong-2,2,4,4
education_k5-analyse-4,4,4,2
education_k5-analyse-3,2,4,4
education_k5-belong-5,2,2,4
stories_namukuru's_bicycle,5,1,5
stories_happy,1,5,1
stories_pehelwaan_ji,1,4,4
stories_dole_agu_lo_oo,3,1,5
stories_greetings,4,1,4
stories_feet_hands_and_head,1,3,5
stories_the_busy_big_mango_tree,4,4,2
stories_tingi_and_the_cows,4,4,5
stories_basara,1,4,4
stories_toto,2,4,2
stories_my_home,4,2,2
stories_mepu,4,4,2
stories_naughty_or_not,2,3,3
stories_pig,4,3,2
stories_cake,3,2,4
stories_cat_and_dog_and_the_yam,4,3,3
stories_hamo_os_du_ut,2,5,5
stories_asi_uli,4,2,4
stories_o_rain_come,2,4,4
stories_let_s_go,3,1,4
stories_importance_of_trees,3,1,3
stories_i_spy_shapes,4,2,4
stories_19-friends,4,2,4
stories_helping_others,4,2,2
stories_nakitto_at_school,4,4,2
stories_butandwa_eyakabi,4,4,2
stories_annoying_mosquito,2,3,4
stories_homes,2,4,4
stories_my_very_own_scooter,4,2,4
stories_who_colored_the_clouds,4,2,4
stories_i_feel,4,3,2
stories_apa_m_ba_serbisu,1,4,4
stories_pinky,4,4,2
stories_chingoo_s_ching_ching,4,2,2
stories_jojo_and_cow,4,4,2
stories_school,4,4,2
stories_greed,2,2,4
stories_baraka's_school_schedule,4,1,4
stories_don_likes_bats_and_frogs,1,4,1
stories_soccer_game_is_good,4,1,4
stories_mama__what’s_for_dinner,4,2,2
stories_my_family,2,4,3
stories_hơmư̆,4,2,3
stories_reba_wants_ice_cream,2,4,2
stories_yes_you_can!,2,4,4
stories_where_do_these_ants_go,4,2,4
stories_happy_and_sad,4,4,1
stories_tiu_id_nor_solaia_id,4,4,1
stories_my_body,4,2,4
stories_different_people_with_different_hair,2,4,4
stories_la_pata_lupita,2,4,2
stories_milk_is_good,2,4,4
stories_learning_at_home,4,4,3
stories_wiar_kobit-19,2,4,2
stories_cat_and_dog_and_the_egg,2,4,2
stories_my_face_tells_a_story,4,4,2
stories_monu_was_lost_and_found!,4,4,2
stories_different_abilities,5,1,5
stories_lara_the_yellow_ladybird,5,1,5
stories_friends,1,5,5
