Key,e2e-instruct,cap-retrieve,cap-edit
education_k5-sort_data-5,1,5,1
education_k5-analyse-9,5,1,1
education_k5-sort-1,1,3,3
education_k5-belong-1,1,5,1
education_k5-analyse-7,1,1,1
education_k5-sort_count-6,1,1,5
education_k5-count-7,1,1,3
education_k5-sort_count-1,5,1,1
education_k5-count-9,1,1,1
education_k5-analyse-6,1,1,5
education_k5-analyse-1,4,1,1
education_k5-analyse-8,1,1,1
education_k5-sort_data-4,1,1,4
education_k5-count-12,4,1,1
education_k5-count-8,1,5,1
education_k5-count-1,1,1,1
education_k5-count-6,1,1,1
education_k5-count-11,1,4,1
education_k5-sort_count-4,1,4,1
education_k5-count-5,1,1,1
education_k5-count-2,1,1,4
education_k5-sort_count-3,4,4,5
education_k5-analyse-2,1,1,1
education_k5-belong-4,1,1,1
education_k5-belong-3,1,1,5
education_k5-analyse-5,1,5,1
education_k5-analyse-10,1,1,1
education_k5-count-3,1,1,5
education_k5-sort_count-2,1,1,1
education_k5-sort_count-5,1,5,1
education_k5-count-4,4,1,1
education_k5-count-10,1,1,3
education_k5-sort_data-1,1,1,1
education_k5-sort-2,1,1,1
education_k5-analyse-11,1,1,5
education_k5-belong-2,1,1,1
education_k5-analyse-4,4,1,1
education_k5-analyse-3,1,1,3
education_k5-belong-5,1,1,1
stories_namukuru's_bicycle,5,1,1
stories_happy,1,5,1
stories_pehelwaan_ji,5,1,1
stories_dole_agu_lo_oo,4,1,1
stories_greetings,5,1,1
stories_feet_hands_and_head,1,3,1
stories_the_busy_big_mango_tree,4,1,1
stories_tingi_and_the_cows,1,1,4
stories_basara,1,1,5
stories_toto,5,1,1
stories_my_home,1,1,5
stories_mepu,1,5,1
stories_naughty_or_not,1,1,4
stories_pig,1,1,1
stories_cake,1,1,5
stories_cat_and_dog_and_the_yam,1,1,1
stories_hamo_os_du_ut,1,1,1
stories_asi_uli,5,1,1
stories_o_rain_come,1,1,1
stories_let_s_go,1,1,1
stories_importance_of_trees,1,5,1
stories_i_spy_shapes,1,5,1
stories_19-friends,1,4,1
stories_helping_others,1,5,1
stories_nakitto_at_school,1,5,1
stories_butandwa_eyakabi,1,1,5
stories_annoying_mosquito,1,1,5
stories_homes,5,1,1
stories_my_very_own_scooter,5,1,1
stories_who_colored_the_clouds,1,5,1
stories_i_feel,1,5,1
stories_apa_m_ba_serbisu,1,1,5
stories_pinky,1,1,1
stories_chingoo_s_ching_ching,1,1,5
stories_jojo_and_cow,1,1,5
stories_school,1,1,5
stories_greed,1,1,5
stories_baraka's_school_schedule,5,1,1
stories_don_likes_bats_and_frogs,1,5,1
stories_soccer_game_is_good,1,1,4
stories_mama__what’s_for_dinner,1,5,1
stories_my_family,1,4,1
stories_hơmư̆,1,1,1
stories_fire's_story,1,5,1
stories_reba_wants_ice_cream,1,1,4
stories_yes_you_can!,5,1,1
stories_where_do_these_ants_go,1,5,1
stories_happy_and_sad,1,1,5
stories_tiu_id_nor_solaia_id,1,1,2
stories_my_body,1,1,1
stories_different_people_with_different_hair,5,1,1
stories_la_pata_lupita,1,1,5
stories_milk_is_good,5,1,1
stories_learning_at_home,1,1,5
stories_wiar_kobit-19,1,1,1
stories_cat_and_dog_and_the_egg,1,1,3
stories_my_face_tells_a_story,1,1,1
stories_monu_was_lost_and_found!,1,1,5
stories_different_abilities,1,5,1
stories_lara_the_yellow_ladybird,1,1,1
stories_friends,4,1,1
