Key,e2e-instruct,cap-retrieve,cap-edit
education_k5-sort_data-5,3,5,4
education_k5-analyse-9,5,2,1
education_k5-sort-1,4,3,5
education_k5-belong-1,3,5,2
education_k5-analyse-7,3,5,2
education_k5-sort_count-6,2,4,5
education_k5-count-7,2,3,4
education_k5-sort_count-1,5,3,3
education_k5-count-9,5,3,2
education_k5-analyse-6,2,3,5
education_k5-analyse-1,5,3,5
education_k5-analyse-8,2,4,5
education_k5-sort_data-4,3,3,5
education_k5-count-12,5,3,3
education_k5-count-8,3,5,4
education_k5-count-1,5,3,5
education_k5-count-6,2,3,5
education_k5-count-11,2,5,2
education_k5-sort_count-4,2,5,3
education_k5-count-5,5,3,4
education_k5-count-2,2,4,5
education_k5-sort_count-3,2,2,5
education_k5-analyse-2,5,3,2
education_k5-belong-4,3,2,5
education_k5-belong-3,2,4,5
education_k5-analyse-5,2,5,2
education_k5-analyse-10,2,5,3
education_k5-count-3,4,3,5
education_k5-sort_count-2,2,5,4
education_k5-sort_count-5,3,5,4
education_k5-count-4,5,2,3
education_k5-count-10,2,3,5
education_k5-sort_data-1,3,4,5
education_k5-sort-2,3,2,5
education_k5-analyse-11,2,3,5
education_k5-belong-2,3,2,5
education_k5-analyse-4,5,2,2
education_k5-analyse-3,2,2,5
education_k5-belong-5,5,3,2
stories_namukuru's_bicycle,5,2,3
stories_happy,5,5,2
stories_pehelwaan_ji,5,2,5
stories_dole_agu_lo_oo,5,2,4
stories_greetings,2,5,4
stories_feet_hands_and_head,3,5,2
stories_the_busy_big_mango_tree,5,3,4
stories_tingi_and_the_cows,2,2,5
stories_basara,3,2,5
stories_toto,5,2,4
stories_my_home,1,4,5
stories_mepu,2,5,2
stories_naughty_or_not,4,3,5
stories_pig,5,5,5
stories_cake,2,3,5
stories_cat_and_dog_and_the_yam,3,5,2
stories_hamo_os_du_ut,2,5,2
stories_asi_uli,5,3,1
stories_o_rain_come,3,5,2
stories_let_s_go,5,2,4
stories_importance_of_trees,4,5,2
stories_i_spy_shapes,3,5,5
stories_19-friends,2,5,3
stories_helping_others,3,5,5
stories_nakitto_at_school,3,5,2
stories_butandwa_eyakabi,2,1,5
stories_annoying_mosquito,4,2,5
stories_homes,5,2,3
stories_my_very_own_scooter,5,4,2
stories_who_colored_the_clouds,2,5,1
stories_i_feel,2,5,2
stories_apa_m_ba_serbisu,2,2,5
stories_pinky,5,2,3
stories_chingoo_s_ching_ching,3,4,5
stories_jojo_and_cow,2,2,5
stories_school,2,4,5
stories_greed,2,3,5
stories_baraka's_school_schedule,5,2,3
stories_don_likes_bats_and_frogs,4,5,2
stories_soccer_game_is_good,2,4,5
stories_mama__what’s_for_dinner,2,5,2
stories_my_family,2,5,3
stories_hơmư̆,4,3,5
stories_fire's_story,3,5,2
stories_reba_wants_ice_cream,2,4,5
stories_yes_you_can!,5,2,1
stories_where_do_these_ants_go,2,5,2
stories_happy_and_sad,2,4,5
stories_tiu_id_nor_solaia_id,2,1,5
stories_my_body,3,5,2
stories_different_people_with_different_hair,5,3,5
stories_la_pata_lupita,3,3,5
stories_milk_is_good,5,3,4
stories_learning_at_home,2,4,5
stories_wiar_kobit-19,5,2,4
stories_cat_and_dog_and_the_egg,4,2,5
stories_my_face_tells_a_story,2,3,5
stories_monu_was_lost_and_found!,3,3,5
stories_different_abilities,2,5,4
stories_lara_the_yellow_ladybird,3,5,2
stories_friends,5,5,2
