Key,e2e-instruct,cap-retrieve,cap-edit
education_k5-sort_data-5,2,5,3
education_k5-analyse-9,5,3,1
education_k5-sort-1,2,1,5
education_k5-belong-6,4,5,4
education_k5-belong-1,3,5,5
education_k5-analyse-7,2,3,5
education_k5-sort_count-6,2,4,5
education_k5-count-7,5,3,1
education_k5-sort_count-1,5,2,3
education_k5-count-9,2,3,5
education_k5-analyse-6,5,2,3
education_k5-analyse-1,4,3,5
education_k5-analyse-8,5,3,5
education_k5-sort_data-4,5,3,2
education_k5-count-12,4,5,3
education_k5-count-8,5,4,3
education_k5-count-1,5,5,5
education_k5-count-6,3,5,2
education_k5-count-11,2,5,3
education_k5-sort_count-4,5,3,4
education_k5-count-5,3,4,5
education_k5-count-2,4,3,5
education_k5-sort_count-3,5,4,3
education_k5-analyse-2,4,3,5
education_k5-belong-4,2,3,5
education_k5-belong-3,2,5,4
education_k5-analyse-5,2,5,4
education_k5-analyse-10,4,3,5
education_k5-count-3,3,5,4
education_k5-sort_count-2,4,5,3
education_k5-sort_count-5,5,2,3
education_k5-count-4,4,2,5
education_k5-count-10,3,2,5
education_k5-sort_data-1,3,2,5
education_k5-sort-2,3,2,5
education_k5-analyse-11,3,2,5
education_k5-belong-2,5,3,2
education_k5-analyse-4,3,2,5
education_k5-analyse-3,5,3,2
education_k5-belong-5,5,3,3
stories_namukuru's_bicycle,3,5,1
stories_happy,5,2,2
stories_pehelwaan_ji,5,5,2
stories_dole_agu_lo_oo,3,5,1
stories_greetings,2,5,3
stories_feet_hands_and_head,5,4,1
stories_the_busy_big_mango_tree,1,4,5
stories_tingi_and_the_cows,3,3,5
stories_basara,5,3,3
stories_toto,5,3,5
stories_my_home,2,5,4
stories_mepu,1,2,5
stories_naughty_or_not,5,3,4
stories_pig,3,3,5
stories_cake,3,5,2
stories_cat_and_dog_and_the_yam,2,5,3
stories_hamo_os_du_ut,5,4,1
stories_asi_uli,4,5,4
stories_o_rain_come,5,2,4
stories_let_s_go,2,5,4
stories_importance_of_trees,4,5,1
stories_i_spy_shapes,4,5,1
stories_19-friends,3,5,2
stories_helping_others,2,5,3
stories_nakitto_at_school,4,1,5
stories_butandwa_eyakabi,2,1,5
stories_annoying_mosquito,5,2,3
stories_homes,5,2,3
stories_my_very_own_scooter,2,5,1
stories_who_colored_the_clouds,2,5,1
stories_i_feel,3,2,5
stories_apa_m_ba_serbisu,5,1,2
stories_pinky,3,1,5
stories_chingoo_s_ching_ching,2,3,5
stories_jojo_and_cow,1,3,5
stories_school,3,1,5
stories_greed,5,1,2
stories_baraka's_school_schedule,4,5,1
stories_don_likes_bats_and_frogs,2,4,5
stories_soccer_game_is_good,1,5,4
stories_mama__what’s_for_dinner,3,5,1
stories_my_family,2,3,5
stories_hơmư̆,3,5,2
stories_fire's_story,1,2,5
stories_reba_wants_ice_cream,5,3,2
stories_yes_you_can!,1,5,3
stories_where_do_these_ants_go,2,1,5
stories_happy_and_sad,2,4,5
stories_tiu_id_nor_solaia_id,3,5,1
stories_my_body,5,3,2
stories_different_people_with_different_hair,2,4,5
stories_la_pata_lupita,5,2,4
stories_milk_is_good,4,1,5
stories_learning_at_home,5,3,3
stories_wiar_kobit-19,3,3,5
stories_cat_and_dog_and_the_egg,4,2,5
stories_my_face_tells_a_story,3,2,5
stories_monu_was_lost_and_found!,3,5,3
stories_different_abilities,2,5,1
stories_lara_the_yellow_ladybird,5,2,4
stories_friends,5,2,4
