src_image_path,tgt_image_path,caption,llm_edit,retrieved_caption
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_arara.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/nigeria/brazil_bird_arara.jpg,"a blue and yellow parrot sitting on a branch","a green and white parrot perched on a tree branch in Nigeria","How to write Nysc Redeployment Letter Format"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_green-headed-tanager.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/nigeria/brazil_bird_green-headed-tanager.jpg,"a colorful bird is perched on a tree branch","A vibrant bird is sitting on a branch of a tree","Just In: Twitter Writes FG Over Ban; Seeks Dialogue"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_tucano.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/nigeria/brazil_bird_tucano.jpg,"a toucan is perched on a branch in a zoo","A toucan is sitting on a tree branch in a Nigerian zoo","Dangote Sugar Refinery announces 33.2% increase in profit"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_sabiá-laranjeira.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/nigeria/brazil_bird_sabiá-laranjeira.jpg,"a small bird is standing on a piece of wood","a tiny bird is perched on a stick","Depressed man on top a mast"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_great-kiskadee.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/nigeria/brazil_bird_great-kiskadee.jpg,"a small yellow and gray bird sitting on a branch","a tiny yellow and grey bird perched on a tree branch in Nigeria","65737269 690106654743978 340105237861053592 n - Simple Girl! Regina Daniels shares new stunning pictures"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_jaguar.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/nigeria/brazil_mammal_jaguar.jpg,"a jaguar walking on the side of a road","a leopard strolling on the edge of a road in Nigeria","#BiafraRememberanceDay: Cities; roads deserted as residents comply with sit-at-home order (Photos; Videos)"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_muriqui.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/nigeria/brazil_mammal_muriqui.jpg,"a monkey is hanging from a tree branch","A monkey is perched on a tree branch, swinging playfully","Red-Colobus-Monkeys-in-Jozani-Forest"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_capybara.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/nigeria/brazil_mammal_capybara.jpg,"a brown capybara sitting on the ground next to a tree","a brown bush rat sitting on the ground next to a palm tree","say no to rats"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_giant-anteater.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/nigeria/brazil_mammal_giant-anteater.jpg,"a large anteater walking on the ground in a zoo","a big antelope strolling on the floor in a wildlife park","Unbelievable! Nigerian Actress Caught Playing with Lions and Romancing a Snake in South Africa (Videos)"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_maned-wolf.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/nigeria/brazil_mammal_maned-wolf.jpg,"a spotted hyena walking across a grassy area","a spotted hyena strolling through a savannah field in Nigeria","Residential Land Land for sale 15 minutes from UNIZIK temp site Isu Achala Road  Awka North Anambra - 1"
https://storage.googleapis.com/image-transcreation/part1/brazil/food_churrasco.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/nigeria/brazil_food_churrasco.jpg,"a person grilling meat on skewers over an open fire","a person roasting suya on skewers over an open fire in Nigeria","Lady cooking on a cookstove in Nigeria"
