src_image_path,tgt_image_path,caption,llm_edit,retrieved_caption
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_arara.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/turkey/brazil_bird_arara.jpg,"a blue and yellow parrot sitting on a branch","a blue and yellow parrot perched on a tree branch in Turkey","A Memento For İstanbul; A Novel"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_green-headed-tanager.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/turkey/brazil_bird_green-headed-tanager.jpg,"a colorful bird is perched on a tree branch","A vibrant bird is sitting on a branch of a tree","A hawk perched on a rock on the roadside in Diyarbaku0131r; April 5; 2019."
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_tucano.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/turkey/brazil_bird_tucano.jpg,"a toucan is perched on a branch in a zoo","A colorful parrot is sitting on a tree branch in a zoo","A Bird Landed on a Fence - Freindship; Stories with the Phoenix"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_sabiá-laranjeira.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/turkey/brazil_bird_sabiá-laranjeira.jpg,"a small bird is standing on a piece of wood","a little bird is perched on a branch","A hawk perched on a rock on the roadside in Diyarbaku0131r; April 5; 2019."
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_great-kiskadee.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/turkey/brazil_bird_great-kiskadee.jpg,"a small yellow and gray bird sitting on a branch","a tiny yellow and gray bird perched on a tree branch in Turkey","A Memento For İstanbul; A Novel"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_jaguar.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/turkey/brazil_mammal_jaguar.jpg,"a jaguar walking on the side of a road","a leopard walking on the side of a road in Turkey","A hawk perched on a rock on the roadside in Diyarbaku0131r; April 5; 2019."
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_muriqui.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/turkey/brazil_mammal_muriqui.jpg,"a monkey is hanging from a tree branch","A monkey is swinging from a tree branch in the forests of Turkey","A Bornean orangutan called Suli holds her newborn baby at their enclosure at the Bioparc zoological park in Fuengirola; Spain; Aug. 12; 2021. (AFP Photo)"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_capybara.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/turkey/brazil_mammal_capybara.jpg,"a brown capybara sitting on the ground next to a tree","a brown capybara sitting on the ground next to a fig tree in Turkey","A hawk perched on a rock on the roadside in Diyarbaku0131r; April 5; 2019."
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_giant-anteater.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/turkey/brazil_mammal_giant-anteater.jpg,"a large anteater walking on the ground in a zoo","a big anteater strolling on the floor of a zoo in Turkey","A member of animal welfare charity ;Four Paws; checks a sedated deer at the zoo."
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_maned-wolf.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/turkey/brazil_mammal_maned-wolf.jpg,"a spotted hyena walking across a grassy area","a spotted hyena strolling through a green meadow in Turkey","MODEL ÇIKTILARI"
