src_image_path,model_path_1,model_path_2,model_path_3,model_1,model_2,model_3
https://storage.googleapis.com/image-transcreation/part1/nigeria/religion_dibia.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/brazil/nigeria_religion_dibia.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/brazil/nigeria_religion_dibia.png,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/brazil/nigeria_religion_dibia.jpg,cap-retrieve,cap-edit,e2e-instruct
https://storage.googleapis.com/image-transcreation/part1/india/food_Chicken-tikka-masala.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/brazil/india_food_Chicken-tikka-masala.png,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/brazil/india_food_Chicken-tikka-masala.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/brazil/india_food_Chicken-tikka-masala.jpg,cap-edit,e2e-instruct,cap-retrieve
https://storage.googleapis.com/image-transcreation/part1/united-states/sport_basketball.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/brazil/united-states_sport_basketball.png,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/brazil/united-states_sport_basketball.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/brazil/united-states_sport_basketball.jpg,cap-edit,cap-retrieve,e2e-instruct
https://storage.googleapis.com/image-transcreation/part1/india/visual-arts_Sculpture-in-the-Indian-subcontinent.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/brazil/india_visual-arts_Sculpture-in-the-Indian-subcontinent.png,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/brazil/india_visual-arts_Sculpture-in-the-Indian-subcontinent.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/brazil/india_visual-arts_Sculpture-in-the-Indian-subcontinent.jpg,cap-edit,cap-retrieve,e2e-instruct
https://storage.googleapis.com/image-transcreation/part1/united-states/utensil_tongs.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/brazil/united-states_utensil_tongs.png,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/brazil/united-states_utensil_tongs.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/brazil/united-states_utensil_tongs.jpg,cap-edit,e2e-instruct,cap-retrieve
https://storage.googleapis.com/image-transcreation/part1/turkey/fruit_apple.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/brazil/turkey_fruit_apple.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/brazil/turkey_fruit_apple.png,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/brazil/turkey_fruit_apple.jpg,e2e-instruct,cap-edit,cap-retrieve
https://storage.googleapis.com/image-transcreation/part1/india/houses_Villa.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/brazil/india_houses_Villa.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/brazil/india_houses_Villa.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/brazil/india_houses_Villa.png,e2e-instruct,cap-retrieve,cap-edit
https://storage.googleapis.com/image-transcreation/part1/portugal/clothing_capote-alentejano.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/brazil/portugal_clothing_capote-alentejano.png,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/brazil/portugal_clothing_capote-alentejano.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/brazil/portugal_clothing_capote-alentejano.jpg,cap-edit,cap-retrieve,e2e-instruct
https://storage.googleapis.com/image-transcreation/part1/portugal/vegetable_lettuce.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/brazil/portugal_vegetable_lettuce.png,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/brazil/portugal_vegetable_lettuce.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/brazil/portugal_vegetable_lettuce.jpg,cap-edit,cap-retrieve,e2e-instruct
https://storage.googleapis.com/image-transcreation/part1/nigeria/food_akara.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/brazil/nigeria_food_akara.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/brazil/nigeria_food_akara.png,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/brazil/nigeria_food_akara.jpg,cap-retrieve,cap-edit,e2e-instruct
