src_image_path,model_path_1,model_path_2,model_path_3,model_1,model_2,model_3
https://storage.googleapis.com/image-transcreation/part1/united-states/flower_common-sunflower.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/japan/united-states_flower_common-sunflower.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/japan/united-states_flower_common-sunflower.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/united-states_flower_common-sunflower.png,e2e-instruct,cap-retrieve,cap-edit
https://storage.googleapis.com/image-transcreation/part1/india/flower_Hibiscus.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/india_flower_Hibiscus.png,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/japan/india_flower_Hibiscus.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/japan/india_flower_Hibiscus.jpg,cap-edit,e2e-instruct,cap-retrieve
https://storage.googleapis.com/image-transcreation/part1/india/utensil_Skimmer.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/india_utensil_Skimmer.png,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/japan/india_utensil_Skimmer.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/japan/india_utensil_Skimmer.jpg,cap-edit,e2e-instruct,cap-retrieve
https://storage.googleapis.com/image-transcreation/part1/portugal/clothing_ribeira.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/japan/portugal_clothing_ribeira.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/japan/portugal_clothing_ribeira.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/portugal_clothing_ribeira.png,cap-retrieve,e2e-instruct,cap-edit
https://storage.googleapis.com/image-transcreation/part1/brazil/education_whiteboard.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/brazil_education_whiteboard.png,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/japan/brazil_education_whiteboard.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/japan/brazil_education_whiteboard.jpg,cap-edit,e2e-instruct,cap-retrieve
https://storage.googleapis.com/image-transcreation/part1/portugal/beverages_espresso.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/japan/portugal_beverages_espresso.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/portugal_beverages_espresso.png,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/japan/portugal_beverages_espresso.jpg,cap-retrieve,cap-edit,e2e-instruct
https://storage.googleapis.com/image-transcreation/part1/india/visual-arts_Pattachitra.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/japan/india_visual-arts_Pattachitra.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/india_visual-arts_Pattachitra.png,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/japan/india_visual-arts_Pattachitra.jpg,e2e-instruct,cap-edit,cap-retrieve
https://storage.googleapis.com/image-transcreation/part1/india/education_Central-Board-of-Secondary-Education.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/japan/india_education_Central-Board-of-Secondary-Education.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/india_education_Central-Board-of-Secondary-Education.png,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/japan/india_education_Central-Board-of-Secondary-Education.jpg,e2e-instruct,cap-edit,cap-retrieve
https://storage.googleapis.com/image-transcreation/part1/turkey/vegetable_eggplant.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/japan/turkey_vegetable_eggplant.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/japan/turkey_vegetable_eggplant.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/turkey_vegetable_eggplant.png,e2e-instruct,cap-retrieve,cap-edit
https://storage.googleapis.com/image-transcreation/part1/turkey/bird_crow.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/japan/turkey_bird_crow.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/japan/turkey_bird_crow.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/turkey_bird_crow.png,cap-retrieve,e2e-instruct,cap-edit
https://storage.googleapis.com/image-transcreation/part1/india/bird_House-sparrow.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/japan/india_bird_House-sparrow.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/japan/india_bird_House-sparrow.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/india_bird_House-sparrow.png,e2e-instruct,cap-retrieve,cap-edit
https://storage.googleapis.com/image-transcreation/part1/brazil/utensil_mortar-and-pestle.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/japan/brazil_utensil_mortar-and-pestle.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/brazil_utensil_mortar-and-pestle.png,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/japan/brazil_utensil_mortar-and-pestle.jpg,cap-retrieve,cap-edit,e2e-instruct
https://storage.googleapis.com/image-transcreation/part1/portugal/mammal_red-squirrel.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/japan/portugal_mammal_red-squirrel.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/portugal_mammal_red-squirrel.png,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/japan/portugal_mammal_red-squirrel.jpg,cap-retrieve,cap-edit,e2e-instruct
https://storage.googleapis.com/image-transcreation/part1/nigeria/celebrations_ofala-festival.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/nigeria_celebrations_ofala-festival.png,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/japan/nigeria_celebrations_ofala-festival.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/japan/nigeria_celebrations_ofala-festival.jpg,cap-edit,e2e-instruct,cap-retrieve
https://storage.googleapis.com/image-transcreation/part1/united-states/houses_ranch-style-house.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/united-states_houses_ranch-style-house.png,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/japan/united-states_houses_ranch-style-house.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/japan/united-states_houses_ranch-style-house.jpg,cap-edit,cap-retrieve,e2e-instruct
https://storage.googleapis.com/image-transcreation/part1/portugal/music_cante-alentejano.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/japan/portugal_music_cante-alentejano.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/portugal_music_cante-alentejano.png,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/japan/portugal_music_cante-alentejano.jpg,e2e-instruct,cap-edit,cap-retrieve
https://storage.googleapis.com/image-transcreation/part1/nigeria/mammal_african-forest-elephant.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/japan/nigeria_mammal_african-forest-elephant.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/nigeria_mammal_african-forest-elephant.png,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/japan/nigeria_mammal_african-forest-elephant.jpg,e2e-instruct,cap-edit,cap-retrieve
