Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
660625153bedd4cd34f3e5ca,657a54fc3b88677dfcf29c06,APPROVED,Not Applicable,2024-03-29T02:19:08.089000Z,2024-03-29T02:48:02.825000Z,2024-03-29T15:24:09.743000Z,2024-03-29T02:48:03.330245Z,1735.0,C7QVX14Z,4,25,Female,Asian,Japan,Canada,Japan,Japanese,No,Part-Time
6606371c43feb42d9e51aa36,651d6bb6247d06978a8cfc85,APPROVED,Not Applicable,2024-03-29T03:36:07.621000Z,2024-03-29T04:11:07.200000Z,2024-03-29T15:25:31.510000Z,2024-03-29T04:11:07.698064Z,2100.0,C7QVX14Z,22,33,Male,Asian,Japan,Japan,Japan,Japanese,No,Due to start a new job within the next month
660639f37c4131d1a26afaca,651035ad2ada965a5c9c87ab,APPROVED,Not Applicable,2024-03-29T03:48:44.257000Z,2024-03-29T05:01:19.894000Z,2024-03-29T18:06:20.100000Z,2024-03-29T05:01:20.502092Z,4356.0,C7QVX14Z,289,45,Female,Asian,Japan,United Kingdom,Japan,Japanese,No,Full-Time
66064b2bc1518b46ba35b96f,64622d83411780c303dc0660,APPROVED,Not Applicable,2024-03-29T05:01:36.371000Z,2024-03-29T05:42:17.314000Z,2024-03-29T18:11:44.168000Z,2024-03-29T05:42:17.799757Z,2441.0,C7QVX14Z,19,19,Female,Asian,Philippines,Japan,Japan,Tagalog-Filipino,Yes,Unemployed (and job seeking)
66065cb5e345a478af4a9007,601bdf107baab35ea427ec7e,APPROVED,Not Applicable,2024-03-29T06:17:39.474000Z,2024-03-29T07:32:05.027000Z,2024-03-29T18:56:52.730000Z,2024-03-29T07:32:05.515087Z,4466.0,C7QVX14Z,773,57,Female,Asian,Japan,United Kingdom,Japan,Japanese,DATA_EXPIRED,DATA_EXPIRED
660669f57e4ee2418f155b6f,65a98dd5b320353c4c4c9079,APPROVED,Not Applicable,2024-03-29T07:14:53.200000Z,2024-03-29T07:58:50.873000Z,2024-03-29T15:30:44.858000Z,2024-03-29T08:00:13.039855Z,2638.0,C7QVX14Z,26,23,Female,Asian,Philippines,Japan,Japan,Japanese,Yes,DATA_EXPIRED
66068fcfe5447a883c4d0dc6,5e8e1edf8ee4fe0c495a1eac,APPROVED,Not Applicable,2024-03-29T09:54:32.531000Z,2024-03-29T10:35:55.924000Z,2024-03-29T15:29:32.427000Z,2024-03-29T10:36:57.221833Z,2484.0,C7QVX14Z,212,46,Female,Asian,Japan,Japan,Japan,Japanese,DATA_EXPIRED,DATA_EXPIRED
6606909a87752e3648ce8705,645bbfbc6d5f2a43f1debde4,RETURNED,Not Applicable,2024-03-29T09:57:57.242000Z,2024-03-29T10:01:39.911000Z,,2024-03-29T10:04:33.590236Z,,C7QVX14Z,50,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6606aad9ea0e32887e365456,645370803cea22f8fb1f8342,APPROVED,Not Applicable,2024-03-29T11:49:45.748000Z,2024-03-29T12:45:46.736000Z,2024-03-29T19:13:59.251000Z,2024-03-29T12:45:47.301293Z,3361.0,C7QVX14Z,35,32,Prefer not to say,Asian,Japan,Japan,Japan,Japanese,DATA_EXPIRED,DATA_EXPIRED
6606b85246dcbbf43c4152ea,6461bbd8b010cffa35d7852a,APPROVED,Not Applicable,2024-03-29T12:47:21.401000Z,2024-03-29T13:26:18.867000Z,2024-03-29T15:28:09.397000Z,2024-03-29T13:26:19.636489Z,2338.0,C7QVX14Z,76,39,Female,Asian,Japan,Japan,Japan,Japanese,No,Full-Time
