Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66063df9e3234ce878d1cd3b,652fbbdf61e6b6fcfb879ab0,APPROVED,Not Applicable,2024-03-29T04:05:13.974000Z,2024-03-29T05:13:36.479000Z,2024-03-29T15:52:49.600000Z,2024-03-29T05:13:37.067101Z,4103.0,C14S9AP8,64,26,Male,Black,Benin,Switzerland,Nigeria,English,Yes,Unemployed (and job seeking)
66064051119605ef6a2d3bf8,60ddce06d1556fd085432049,APPROVED,Not Applicable,2024-03-29T04:15:17.922000Z,2024-03-29T05:33:40.144000Z,2024-03-29T15:55:21.300000Z,2024-03-29T05:33:51.209341Z,4703.0,C14S9AP8,298,48,Male,Black,Nigeria,South Africa,Nigeria,English,No,Full-Time
660644588e101be70d65538d,656a719e8caf4969dfb28319,APPROVED,Not Applicable,2024-03-29T04:32:24.985000Z,2024-03-29T05:13:37.444000Z,2024-03-29T15:50:47.938000Z,2024-03-29T05:13:38.009902Z,2473.0,C14S9AP8,53,27,Male,Black,Nigeria,Canada,Nigeria,English,Yes,Full-Time
66064ae9f3fc7d0eccbc425d,64810434459e0022918705e3,APPROVED,Not Applicable,2024-03-29T05:02:04.172000Z,2024-03-29T05:54:48.957000Z,2024-03-29T17:50:01.071000Z,2024-03-29T05:54:49.354920Z,3165.0,C14S9AP8,462,33,Female,Black,Nigeria,Canada,Nigeria,English,No,Full-Time
6606566e38299741784a925e,659efb5340a7896eba6cc441,APPROVED,Not Applicable,2024-03-29T05:51:15.298000Z,2024-03-29T06:06:45.771000Z,2024-03-30T17:19:50.987000Z,2024-03-29T06:06:46.219821Z,931.0,C14S9AP8,77,26,Male,Black,Nigeria,Australia,Nigeria,English,Yes,Part-Time
66066507244dad86e7346aaa,5f61bbe3c18cc915aac68b32,APPROVED,Not Applicable,2024-03-29T06:51:57.786000Z,2024-03-29T06:55:50.497000Z,2024-03-29T15:59:54.994000Z,2024-03-29T06:57:26.636343Z,233.0,C14S9AP8,761,23,Female,Black,Lesotho,South Africa,Nigeria,English,Yes,Other
6606759885bd8d89294d5ad6,6529ab7cce64633c2c5cc4a2,APPROVED,Not Applicable,2024-03-29T08:02:50.335000Z,2024-03-29T08:33:08.324000Z,2024-03-29T17:59:38.613000Z,2024-03-29T08:33:09.060272Z,1818.0,C14S9AP8,355,23,Male,Black,Nigeria,Canada,Nigeria,English,No,Full-Time
66069f66f69388c49666f9c1,650d93501453a03b44aa1d81,APPROVED,Not Applicable,2024-03-29T11:02:40.119000Z,2024-03-29T11:52:21.216000Z,2024-03-29T17:59:41.036000Z,2024-03-29T11:55:30.505936Z,2982.0,C14S9AP8,63,24,Male,Black,Nigeria,Canada,Nigeria,English,DATA_EXPIRED,Full-Time
6606b7153e218bfa86fecf29,65b518f421a3f02bb92aa56e,APPROVED,Not Applicable,2024-03-29T12:43:28.671000Z,2024-03-29T13:52:28.761000Z,2024-03-29T17:54:53.579000Z,2024-03-29T13:53:36.537717Z,4141.0,C14S9AP8,73,29,Female,Black,Nigeria,Canada,Nigeria,English,Yes,Full-Time
66063df9e3234ce878d1cd3b,652fbbdf61e6b6fcfb879ab0,APPROVED,Not Applicable,2024-03-29T04:05:13.974000Z,2024-03-29T05:13:36.479000Z,2024-03-29T15:52:49.600000Z,2024-03-29T05:13:37.241000Z,4103.0,C14S9AP8,97,27,Male,Black,Benin,Switzerland,Nigeria,English,Yes,Part-Time
66064051119605ef6a2d3bf8,60ddce06d1556fd085432049,APPROVED,Not Applicable,2024-03-29T04:15:17.922000Z,2024-03-29T05:33:40.144000Z,2024-03-29T15:55:21.300000Z,2024-03-29T05:33:52.586000Z,4703.0,C14S9AP8,327,48,Male,Black,Nigeria,South Africa,Nigeria,English,No,Full-Time
660644588e101be70d65538d,656a719e8caf4969dfb28319,APPROVED,Not Applicable,2024-03-29T04:32:24.985000Z,2024-03-29T05:13:37.444000Z,2024-03-29T15:50:47.938000Z,2024-03-29T05:13:38.328000Z,2473.0,C14S9AP8,225,27,Male,Black,Nigeria,Canada,Nigeria,English,No,Full-Time
66064ae9f3fc7d0eccbc425d,64810434459e0022918705e3,APPROVED,Not Applicable,2024-03-29T05:02:04.172000Z,2024-03-29T05:54:48.957000Z,2024-03-29T17:50:01.071000Z,2024-03-29T05:54:49.578000Z,3165.0,C14S9AP8,560,33,Female,Black,Nigeria,Canada,Nigeria,English,DATA_EXPIRED,Full-Time
6606566e38299741784a925e,659efb5340a7896eba6cc441,APPROVED,Not Applicable,2024-03-29T05:51:15.298000Z,2024-03-29T06:06:45.771000Z,2024-03-30T17:19:50.987000Z,2024-03-29T06:06:46.559000Z,931.0,C14S9AP8,124,26,Male,Black,Nigeria,Australia,Nigeria,English,DATA_EXPIRED,DATA_EXPIRED
66066507244dad86e7346aaa,5f61bbe3c18cc915aac68b32,APPROVED,Not Applicable,2024-03-29T06:51:57.786000Z,2024-03-29T06:55:50.497000Z,2024-03-29T15:59:54.994000Z,2024-03-29T06:57:28.143000Z,233.0,C14S9AP8,843,23,Female,Black,Lesotho,South Africa,Nigeria,English,Yes,Other
6606759885bd8d89294d5ad6,6529ab7cce64633c2c5cc4a2,APPROVED,Not Applicable,2024-03-29T08:02:50.335000Z,2024-03-29T08:33:08.324000Z,2024-03-29T17:59:38.613000Z,2024-03-29T08:33:09.578000Z,1818.0,C14S9AP8,430,24,Male,Black,Nigeria,Canada,Nigeria,English,No,Full-Time
66069f66f69388c49666f9c1,650d93501453a03b44aa1d81,APPROVED,Not Applicable,2024-03-29T11:02:40.119000Z,2024-03-29T11:52:21.216000Z,2024-03-29T17:59:41.036000Z,2024-03-29T11:55:31.996000Z,2982.0,C14S9AP8,74,24,Male,Black,Nigeria,Canada,Nigeria,English,DATA_EXPIRED,Full-Time
6606b7153e218bfa86fecf29,65b518f421a3f02bb92aa56e,APPROVED,Not Applicable,2024-03-29T12:43:28.671000Z,2024-03-29T13:52:28.761000Z,2024-03-29T17:54:53.579000Z,2024-03-29T13:53:38.046000Z,4141.0,C14S9AP8,174,29,Female,Black,Nigeria,Canada,Nigeria,English,DATA_EXPIRED,DATA_EXPIRED
