Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66060b2f6be42e3140245b60,60eee201a7ffc5b0e034e73e,APPROVED,Not Applicable,2024-03-29T00:28:31.350000Z,2024-03-29T00:53:01.296000Z,2024-03-29T16:34:08.256000Z,2024-03-29T00:53:02.016713Z,1470.0,C1815M8U,180,25,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
66060b43ab261d9bf4308be2,5f64c18a0d65c4021a1c3370,APPROVED,Not Applicable,2024-03-29T00:28:51.082000Z,2024-03-29T00:46:57.970000Z,2024-03-29T16:34:26.403000Z,2024-03-29T00:47:05.853444Z,1087.0,C1815M8U,377,20,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
66060b62e5447a883c4cf115,5fd6c50649a96863dab01a46,APPROVED,Not Applicable,2024-03-29T00:29:26.637000Z,2024-03-29T00:48:43.809000Z,2024-03-29T16:34:57.117000Z,2024-03-29T00:49:28.951724Z,1158.0,C1815M8U,90,21,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
66060b7b108c0b250589ed23,61327f725540dd7c223c8464,APPROVED,Not Applicable,2024-03-29T00:29:47.669000Z,2024-03-29T01:17:01.129000Z,2024-03-30T20:32:56.051000Z,2024-03-29T01:17:01.671449Z,2834.0,C1815M8U,239,21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66060bf40e8b8edc5bc64023,5e72e39ab0337024169e6e9f,APPROVED,Not Applicable,2024-03-29T00:31:48.621000Z,2024-03-29T00:51:47.701000Z,2024-03-29T16:36:02.898000Z,2024-03-29T00:52:06.132373Z,1200.0,C1815M8U,177,28,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
66060c0591605437499c62bd,60e9ec87eaec81c024447f04,APPROVED,Not Applicable,2024-03-29T00:32:05.786000Z,2024-03-29T01:09:03.110000Z,2024-03-29T16:36:12.716000Z,2024-03-29T01:09:03.547006Z,2218.0,C1815M8U,267,23,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
66060c1899e2c77aa092a21a,60dd1926197081ce030b743d,APPROVED,Not Applicable,2024-03-29T00:33:05.060000Z,2024-03-29T01:08:52.952000Z,2024-03-29T16:36:25.369000Z,2024-03-29T01:08:53.551584Z,2148.0,C1815M8U,369,22,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
66060c243bedd4cd34f3df06,60fd5bc629663dec819d54e3,APPROVED,Not Applicable,2024-03-29T00:32:36.024000Z,2024-03-29T01:23:08.117000Z,2024-03-30T20:32:54.708000Z,2024-03-29T01:23:09.421315Z,3033.0,C1815M8U,291,24,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
66060c72b46f9601bd2df466,64b147aa3ba73a83c5220e59,APPROVED,Not Applicable,2024-03-29T00:34:01.462000Z,2024-03-29T01:02:02.291000Z,2024-03-29T16:36:29.762000Z,2024-03-29T01:02:02.759562Z,1681.0,C1815M8U,42,22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
66060b2f6be42e3140245b60,60eee201a7ffc5b0e034e73e,APPROVED,Not Applicable,2024-03-29T00:28:31.350000Z,2024-03-29T00:53:01.296000Z,2024-03-29T16:34:08.256000Z,2024-03-29T00:53:02.261000Z,1470.0,C1815M8U,229,26,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
66060b43ab261d9bf4308be2,5f64c18a0d65c4021a1c3370,APPROVED,Not Applicable,2024-03-29T00:28:51.082000Z,2024-03-29T00:46:57.970000Z,2024-03-29T16:34:26.403000Z,2024-03-29T00:47:07.595000Z,1087.0,C1815M8U,386,21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,DATA_EXPIRED
66060b62e5447a883c4cf115,5fd6c50649a96863dab01a46,APPROVED,Not Applicable,2024-03-29T00:29:26.637000Z,2024-03-29T00:48:43.809000Z,2024-03-29T16:34:57.117000Z,2024-03-29T00:49:30.684000Z,1158.0,C1815M8U,128,22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
66060b7b108c0b250589ed23,61327f725540dd7c223c8464,APPROVED,Not Applicable,2024-03-29T00:29:47.669000Z,2024-03-29T01:17:01.129000Z,2024-03-30T20:32:56.051000Z,2024-03-29T01:17:01.921000Z,2834.0,C1815M8U,287,21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
66060bf40e8b8edc5bc64023,5e72e39ab0337024169e6e9f,APPROVED,Not Applicable,2024-03-29T00:31:48.621000Z,2024-03-29T00:51:47.701000Z,2024-03-29T16:36:02.898000Z,2024-03-29T00:52:09.339000Z,1200.0,C1815M8U,204,28,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
66060c0591605437499c62bd,60e9ec87eaec81c024447f04,APPROVED,Not Applicable,2024-03-29T00:32:05.786000Z,2024-03-29T01:09:03.110000Z,2024-03-29T16:36:12.716000Z,2024-03-29T01:09:03.824000Z,2218.0,C1815M8U,278,23,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
66060c1899e2c77aa092a21a,60dd1926197081ce030b743d,APPROVED,Not Applicable,2024-03-29T00:33:05.060000Z,2024-03-29T01:08:52.952000Z,2024-03-29T16:36:25.369000Z,2024-03-29T01:08:53.814000Z,2148.0,C1815M8U,377,22,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
66060c243bedd4cd34f3df06,60fd5bc629663dec819d54e3,APPROVED,Not Applicable,2024-03-29T00:32:36.024000Z,2024-03-29T01:23:08.117000Z,2024-03-30T20:32:54.708000Z,2024-03-29T01:23:09.639000Z,3033.0,C1815M8U,300,24,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
66060c72b46f9601bd2df466,64b147aa3ba73a83c5220e59,APPROVED,Not Applicable,2024-03-29T00:34:01.462000Z,2024-03-29T01:02:02.291000Z,2024-03-29T16:36:29.762000Z,2024-03-29T01:02:03.043000Z,1681.0,C1815M8U,72,22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
660612acc1518b46ba35afb0,5c8becf18f5b6400158e1214,APPROVED,Not Applicable,2024-03-29T01:00:50.782000Z,2024-03-29T01:20:29.891000Z,2024-03-29T16:36:35.414000Z,2024-03-29T01:20:30.628000Z,1180.0,C1815M8U,398,39,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
